#Duplication rate	Coverage
1.0	1870990.0
2.0	825088.0
3.0	355910.0
4.0	192726.0
5.0	102071.0
6.0	60748.0
7.0	36009.0
8.0	23036.0
9.0	14784.0
10.0	10159.0
11.0	6889.0
12.0	5006.0
13.0	3675.0
14.0	2703.0
15.0	2019.0
16.0	1556.0
17.0	1204.0
18.0	947.0
19.0	762.0
20.0	667.0
21.0	570.0
22.0	477.0
23.0	431.0
24.0	325.0
25.0	345.0
26.0	299.0
27.0	232.0
28.0	216.0
29.0	204.0
30.0	190.0
31.0	163.0
32.0	169.0
33.0	150.0
34.0	126.0
35.0	148.0
36.0	143.0
37.0	139.0
38.0	120.0
39.0	96.0
40.0	97.0
41.0	89.0
42.0	96.0
43.0	84.0
44.0	78.0
45.0	84.0
46.0	63.0
47.0	53.0
48.0	66.0
49.0	59.0
50.0	1933.0
