#Coverage (X)	Coverage
1.0	99.1714968325107
2.0	99.16489164155446
3.0	99.15244624439782
4.0	99.14291272469885
5.0	99.12917590166408
6.0	99.11712533534916
7.0	99.10110178368946
8.0	99.08474098068578
9.0	99.06827324432913
10.0	99.04533192729684
11.0	99.02037532784327
12.0	98.9878100090441
13.0	98.95378875151609
14.0	98.91625514462531
15.0	98.87374502400037
16.0	98.8284464105558
17.0	98.77869772449938
18.0	98.7253297557272
19.0	98.66909926335258
20.0	98.60511199006672
21.0	98.53419872576572
22.0	98.45624431145409
23.0	98.36924169035309
24.0	98.28006749962265
25.0	98.18125285584027
26.0	98.07374370789756
27.0	97.95497365532337
28.0	97.8278216730052
29.0	97.69074956578889
30.0	97.541248512701
31.0	97.37749242109861
32.0	97.19886436779151
33.0	96.99670275118953
34.0	96.775910054244
35.0	96.5345285740314
36.0	96.27204832071452
37.0	95.98360793955469
38.0	95.67102529755233
39.0	95.33897255966778
40.0	94.97376225672149
41.0	94.57999252289093
42.0	94.15563985011234
43.0	93.69671480175585
44.0	93.20044533628689
45.0	92.66952123881467
46.0	92.10203416027089
47.0	91.48636126775247
48.0	90.85366952082754
49.0	90.1678812513341
50.0	89.44404938511266
51.0	88.67667919294931
