#Insert size (bp)	insert size
141.0	1.0
142.0	2.0
144.0	4.0
145.0	2.0
146.0	2.0
147.0	8.0
148.0	10.0
149.0	14.0
150.0	51.0
151.0	14036.0
152.0	27096.0
153.0	27629.0
154.0	27694.0
155.0	27645.0
156.0	27811.0
157.0	27611.0
158.0	27910.0
159.0	27198.0
160.0	26631.0
161.0	26700.0
162.0	26881.0
163.0	26587.0
164.0	26600.0
165.0	26793.0
166.0	26904.0
167.0	26909.0
168.0	26787.0
169.0	26383.0
170.0	26230.0
171.0	26287.0
172.0	25709.0
173.0	25544.0
174.0	25515.0
175.0	25789.0
176.0	25884.0
177.0	25703.0
178.0	25526.0
179.0	25251.0
180.0	25263.0
181.0	24678.0
182.0	24672.0
183.0	24403.0
184.0	23928.0
185.0	24279.0
186.0	24328.0
187.0	24091.0
188.0	23956.0
189.0	23520.0
190.0	23430.0
191.0	22965.0
192.0	22675.0
193.0	22585.0
194.0	22350.0
195.0	22086.0
196.0	22202.0
197.0	22309.0
198.0	21938.0
199.0	21650.0
200.0	21806.0
201.0	21421.0
202.0	20963.0
203.0	20624.0
204.0	20421.0
205.0	20123.0
206.0	20167.0
207.0	19913.0
208.0	20022.0
209.0	19765.0
210.0	19792.0
211.0	19578.0
212.0	19227.0
213.0	18911.0
214.0	18792.0
215.0	18528.0
216.0	18565.0
217.0	18155.0
218.0	18190.0
219.0	18061.0
220.0	18101.0
221.0	17727.0
222.0	17583.0
223.0	17170.0
224.0	16726.0
225.0	16769.0
226.0	16516.0
227.0	16267.0
228.0	16193.0
229.0	16291.0
230.0	16169.0
231.0	15946.0
232.0	15482.0
233.0	15936.0
234.0	15182.0
235.0	15080.0
236.0	14961.0
237.0	14974.0
238.0	14512.0
239.0	14742.0
240.0	14773.0
241.0	14466.0
242.0	14466.0
243.0	14371.0
244.0	14155.0
245.0	13935.0
246.0	13894.0
247.0	13478.0
248.0	13664.0
249.0	13320.0
250.0	13221.0
251.0	13016.0
252.0	13009.0
253.0	12973.0
254.0	12626.0
255.0	12693.0
256.0	12607.0
257.0	12356.0
258.0	12251.0
259.0	11975.0
260.0	12091.0
261.0	11927.0
262.0	12016.0
263.0	11676.0
264.0	11662.0
265.0	11411.0
266.0	10984.0
267.0	11156.0
268.0	10912.0
269.0	10605.0
270.0	10865.0
271.0	10506.0
272.0	10407.0
273.0	10393.0
274.0	10342.0
275.0	10285.0
276.0	10106.0
277.0	9827.0
278.0	10131.0
279.0	9888.0
280.0	9891.0
281.0	9944.0
282.0	10006.0
283.0	9714.0
284.0	9859.0
285.0	9616.0
286.0	9595.0
287.0	9540.0
288.0	9174.0
289.0	9378.0
290.0	9564.0
291.0	9095.0
292.0	9057.0
293.0	9311.0
294.0	9125.0
