#Coverage	Number of genomic locations
0.0	17998.0
1.0	3589.0
2.0	6976.0
3.0	13453.0
4.0	27182.0
5.0	43146.0
6.0	66954.0
7.0	103985.0
8.0	146307.0
9.0	195360.0
10.0	255454.0
11.0	313726.0
12.0	373629.0
13.0	424509.0
14.0	471961.0
15.0	507292.0
16.0	544577.0
17.0	565081.0
18.0	575808.0
19.0	571615.0
20.0	565583.0
21.0	551030.0
22.0	529965.0
23.0	497083.0
24.0	466313.0
25.0	435686.0
26.0	400959.0
27.0	367863.0
28.0	334374.0
29.0	304329.0
30.0	273343.0
31.0	246692.0
32.0	222768.0
33.0	199671.0
34.0	175772.0
35.0	157287.0
36.0	139042.0
37.0	122616.0
38.0	108424.0
39.0	93590.0
40.0	82075.0
41.0	71908.0
42.0	63271.0
43.0	54251.0
44.0	47947.0
45.0	41724.0
46.0	36844.0
47.0	31038.0
48.0	27261.0
49.0	23673.0
50.0	21055.0
51.0	18052.0
52.0	16141.0
53.0	13863.0
54.0	12456.0
55.0	10427.0
56.0	9426.0
57.0	8241.0
58.0	7391.0
59.0	6729.0
60.0	5602.0
61.0	5163.0
62.0	4613.0
63.0	4035.0
64.0	3652.0
65.0	3458.0
66.0	2910.0
67.0	2882.0
68.0	2659.0
69.0	2418.0
70.0	2413.0
71.0	2134.0
72.0	1971.0
73.0	1750.0
74.0	1504.0
75.0	1421.0
76.0	1241.0
77.0	1177.0
78.0	1020.0
79.0	992.0
80.0	952.0
81.0	823.0
82.0	898.0
83.0	805.0
84.0	774.0
85.0	734.0
86.0	621.0
87.0	640.0
88.0	597.0
89.0	576.0
90.0	575.0
91.0	471.0
92.0	461.0
93.0	485.0
94.0	474.0
95.0	435.0
96.0	405.0
97.0	408.0
98.0	378.0
99.0	396.0
100.0	388.0
101.0	440.0
102.0	297.0
103.0	249.0
104.0	306.0
105.0	338.0
106.0	322.0
107.0	340.0
108.0	345.0
109.0	284.0
110.0	300.0
111.0	331.0
112.0	317.0
113.0	285.0
114.0	338.0
115.0	243.0
116.0	278.0
117.0	243.0
118.0	244.0
119.0	277.0
120.0	268.0
121.0	249.0
122.0	273.0
123.0	300.0
124.0	286.0
125.0	230.0
126.0	212.0
127.0	255.0
128.0	274.0
129.0	251.0
130.0	230.0
131.0	256.0
132.0	316.0
133.0	264.0
134.0	229.0
135.0	244.0
136.0	262.0
137.0	248.0
138.0	223.0
139.0	203.0
140.0	246.0
141.0	251.0
142.0	207.0
143.0	229.0
144.0	191.0
145.0	275.0
146.0	185.0
147.0	266.0
148.0	271.0
149.0	248.0
150.0	246.0
151.0	230.0
152.0	225.0
153.0	231.0
154.0	227.0
155.0	235.0
156.0	197.0
157.0	239.0
158.0	217.0
159.0	206.0
160.0	236.0
161.0	194.0
162.0	196.0
163.0	217.0
164.0	247.0
165.0	192.0
166.0	209.0
167.0	185.0
168.0	193.0
169.0	246.0
170.0	182.0
171.0	211.0
172.0	209.0
173.0	193.0
174.0	172.0
175.0	222.0
176.0	234.0
177.0	174.0
178.0	212.0
179.0	163.0
180.0	178.0
181.0	202.0
182.0	193.0
183.0	160.0
184.0	170.0
185.0	183.0
186.0	191.0
187.0	166.0
188.0	180.0
189.0	162.0
190.0	174.0
191.0	206.0
192.0	178.0
193.0	141.0
194.0	180.0
195.0	148.0
196.0	185.0
197.0	137.0
198.0	129.0
199.0	153.0
200.0	142.0
201.0	136.0
202.0	138.0
203.0	148.0
204.0	133.0
205.0	131.0
206.0	150.0
207.0	191.0
208.0	116.0
209.0	140.0
210.0	141.0
211.0	123.0
212.0	138.0
213.0	139.0
214.0	95.0
215.0	152.0
216.0	130.0
217.0	144.0
218.0	124.0
219.0	114.0
220.0	115.0
221.0	149.0
222.0	109.0
223.0	123.0
224.0	127.0
225.0	124.0
226.0	121.0
227.0	147.0
228.0	117.0
229.0	133.0
230.0	109.0
231.0	108.0
232.0	116.0
233.0	106.0
234.0	104.0
235.0	107.0
236.0	116.0
237.0	107.0
238.0	101.0
239.0	107.0
240.0	106.0
241.0	134.0
242.0	104.0
243.0	114.0
244.0	118.0
245.0	115.0
246.0	98.0
247.0	96.0
248.0	84.0
249.0	90.0
250.0	100.0
251.0	132.0
252.0	119.0
253.0	127.0
254.0	122.0
255.0	111.0
256.0	121.0
257.0	110.0
258.0	72.0
259.0	99.0
260.0	87.0
261.0	118.0
262.0	92.0
263.0	84.0
264.0	92.0
265.0	84.0
266.0	82.0
267.0	91.0
268.0	75.0
269.0	77.0
270.0	115.0
271.0	100.0
272.0	86.0
273.0	78.0
274.0	97.0
275.0	86.0
276.0	78.0
277.0	106.0
278.0	81.0
279.0	70.0
280.0	66.0
281.0	71.0
282.0	79.0
283.0	66.0
284.0	84.0
285.0	60.0
286.0	60.0
287.0	67.0
288.0	64.0
289.0	72.0
290.0	77.0
291.0	70.0
292.0	74.0
293.0	62.0
294.0	77.0
295.0	82.0
296.0	81.0
297.0	73.0
298.0	81.0
299.0	99.0
300.0	64.0
301.0	83.0
302.0	75.0
303.0	91.0
304.0	92.0
305.0	86.0
306.0	84.0
307.0	82.0
308.0	61.0
309.0	103.0
310.0	83.0
311.0	94.0
312.0	88.0
313.0	77.0
314.0	60.0
315.0	78.0
316.0	67.0
317.0	67.0
318.0	92.0
319.0	72.0
320.0	83.0
321.0	72.0
322.0	64.0
323.0	53.0
324.0	64.0
325.0	53.0
326.0	54.0
327.0	72.0
328.0	65.0
329.0	50.0
330.0	79.0
331.0	63.0
332.0	73.0
333.0	65.0
334.0	66.0
335.0	69.0
336.0	52.0
337.0	73.0
338.0	66.0
339.0	62.0
340.0	57.0
341.0	78.0
342.0	70.0
343.0	79.0
344.0	71.0
345.0	64.0
346.0	65.0
347.0	68.0
348.0	82.0
349.0	91.0
350.0	100.0
351.0	86.0
352.0	110.0
353.0	70.0
354.0	89.0
355.0	82.0
356.0	74.0
357.0	81.0
358.0	83.0
359.0	72.0
360.0	71.0
361.0	73.0
362.0	83.0
363.0	77.0
364.0	80.0
365.0	100.0
366.0	87.0
367.0	71.0
368.0	67.0
369.0	61.0
370.0	90.0
371.0	59.0
372.0	59.0
373.0	53.0
374.0	77.0
375.0	58.0
376.0	70.0
377.0	63.0
378.0	60.0
379.0	76.0
380.0	67.0
381.0	67.0
382.0	68.0
383.0	62.0
384.0	70.0
385.0	71.0
386.0	79.0
387.0	85.0
388.0	56.0
389.0	68.0
390.0	68.0
391.0	90.0
392.0	83.0
393.0	70.0
394.0	88.0
395.0	75.0
396.0	51.0
397.0	61.0
398.0	62.0
399.0	55.0
400.0	65.0
401.0	76.0
402.0	91.0
403.0	80.0
404.0	80.0
405.0	95.0
406.0	121.0
407.0	83.0
