#Insert size (bp)	insert size
142.0	1.0
145.0	1.0
146.0	1.0
147.0	3.0
148.0	4.0
149.0	5.0
150.0	18.0
151.0	3482.0
152.0	6560.0
153.0	6666.0
154.0	6901.0
155.0	6899.0
156.0	6936.0
157.0	6722.0
158.0	6841.0
159.0	6804.0
160.0	6629.0
161.0	6812.0
162.0	6714.0
163.0	6719.0
164.0	6777.0
165.0	6794.0
166.0	6721.0
167.0	6797.0
168.0	6660.0
169.0	6833.0
170.0	6619.0
171.0	6637.0
172.0	6632.0
173.0	6689.0
174.0	6649.0
175.0	6746.0
176.0	6676.0
177.0	6639.0
178.0	6585.0
179.0	6663.0
180.0	6544.0
181.0	6712.0
182.0	6613.0
183.0	6493.0
184.0	6520.0
185.0	6537.0
186.0	6639.0
187.0	6431.0
188.0	6503.0
189.0	6449.0
190.0	6365.0
191.0	6658.0
192.0	6492.0
193.0	6369.0
194.0	6320.0
195.0	6506.0
196.0	6313.0
197.0	6341.0
198.0	6304.0
199.0	6210.0
200.0	6233.0
201.0	6215.0
202.0	6279.0
203.0	6133.0
204.0	6088.0
205.0	5991.0
206.0	6015.0
207.0	6251.0
208.0	5992.0
209.0	6150.0
210.0	5850.0
211.0	5909.0
212.0	5867.0
213.0	5901.0
214.0	5884.0
215.0	5927.0
216.0	5833.0
217.0	5829.0
218.0	5626.0
219.0	5578.0
220.0	5761.0
221.0	5698.0
222.0	5752.0
223.0	5665.0
224.0	5471.0
225.0	5527.0
226.0	5383.0
227.0	5373.0
228.0	5357.0
229.0	5235.0
230.0	5234.0
231.0	5415.0
232.0	5270.0
233.0	5124.0
234.0	5073.0
235.0	4944.0
236.0	4991.0
237.0	4818.0
238.0	4901.0
239.0	4809.0
240.0	4846.0
241.0	4733.0
242.0	4779.0
243.0	4677.0
244.0	4676.0
245.0	4597.0
246.0	4395.0
247.0	4438.0
248.0	4467.0
249.0	4394.0
250.0	4347.0
251.0	4145.0
252.0	4110.0
253.0	4287.0
254.0	4096.0
255.0	3981.0
256.0	3872.0
257.0	3799.0
258.0	3819.0
259.0	3730.0
260.0	3751.0
261.0	3537.0
262.0	3590.0
263.0	3608.0
264.0	3395.0
265.0	3303.0
266.0	2891.0
267.0	2687.0
268.0	2602.0
269.0	2573.0
270.0	2501.0
271.0	2463.0
272.0	2328.0
273.0	2216.0
274.0	2262.0
275.0	2348.0
276.0	2136.0
277.0	2177.0
278.0	2162.0
279.0	2164.0
280.0	2150.0
281.0	2129.0
282.0	2166.0
283.0	2156.0
284.0	2116.0
285.0	2106.0
286.0	2152.0
287.0	2062.0
288.0	2051.0
289.0	2022.0
290.0	2006.0
291.0	2032.0
292.0	2018.0
293.0	1974.0
294.0	1937.0
295.0	2116.0
296.0	1999.0
297.0	2001.0
298.0	2021.0
299.0	1951.0
300.0	2005.0
301.0	1926.0
302.0	1932.0
303.0	1948.0
304.0	1919.0
305.0	1902.0
306.0	1849.0
307.0	1854.0
308.0	1792.0
309.0	1948.0
310.0	1910.0
311.0	1915.0
312.0	1822.0
313.0	1890.0
314.0	1848.0
315.0	1883.0
316.0	1876.0
317.0	1845.0
318.0	1824.0
319.0	1824.0
320.0	1790.0
321.0	1726.0
322.0	1782.0
323.0	1795.0
324.0	1661.0
325.0	1786.0
326.0	1738.0
327.0	1715.0
328.0	1742.0
329.0	1784.0
330.0	1709.0
331.0	1727.0
332.0	1734.0
333.0	1701.0
334.0	1644.0
335.0	1663.0
336.0	1684.0
337.0	1637.0
338.0	1673.0
339.0	1690.0
340.0	1662.0
341.0	1710.0
342.0	1574.0
343.0	1605.0
344.0	1622.0
345.0	1587.0
346.0	1564.0
347.0	1573.0
348.0	1593.0
349.0	1530.0
350.0	1615.0
351.0	1564.0
352.0	1580.0
353.0	1502.0
354.0	1460.0
355.0	1514.0
356.0	1545.0
357.0	1538.0
358.0	1571.0
359.0	1503.0
360.0	1534.0
361.0	1485.0
362.0	1525.0
363.0	1511.0
364.0	1476.0
365.0	1431.0
366.0	1427.0
367.0	1393.0
368.0	1399.0
369.0	1356.0
370.0	1452.0
371.0	1473.0
372.0	1391.0
373.0	1411.0
374.0	1370.0
375.0	1313.0
376.0	1308.0
377.0	1438.0
378.0	1403.0
379.0	1356.0
380.0	1372.0
381.0	1312.0
382.0	1408.0
383.0	1258.0
384.0	1288.0
385.0	1293.0
386.0	1312.0
387.0	1234.0
388.0	1283.0
389.0	1275.0
390.0	1284.0
391.0	1215.0
392.0	1256.0
393.0	1207.0
394.0	1286.0
395.0	1227.0
396.0	1217.0
397.0	1236.0
398.0	1183.0
399.0	1198.0
400.0	1209.0
401.0	1224.0
402.0	1225.0
403.0	1195.0
404.0	1135.0
405.0	1207.0
406.0	1163.0
407.0	1214.0
408.0	1196.0
409.0	1160.0
410.0	1044.0
411.0	1190.0
412.0	1132.0
413.0	1165.0
414.0	1129.0
415.0	1076.0
416.0	1086.0
417.0	1151.0
418.0	1080.0
419.0	1073.0
420.0	1075.0
421.0	1049.0
422.0	1035.0
423.0	1104.0
424.0	1018.0
425.0	1043.0
426.0	1066.0
427.0	999.0
428.0	1089.0
429.0	1047.0
430.0	1074.0
431.0	1008.0
432.0	1059.0
433.0	966.0
434.0	1032.0
435.0	972.0
436.0	1071.0
437.0	1001.0
438.0	983.0
439.0	968.0
440.0	947.0
441.0	988.0
442.0	976.0
443.0	1018.0
444.0	947.0
445.0	1026.0
446.0	898.0
447.0	861.0
448.0	903.0
449.0	971.0
450.0	916.0
451.0	911.0
452.0	880.0
453.0	839.0
454.0	882.0
455.0	909.0
456.0	901.0
457.0	906.0
458.0	896.0
459.0	860.0
460.0	897.0
461.0	890.0
462.0	902.0
463.0	805.0
464.0	937.0
465.0	900.0
466.0	867.0
467.0	894.0
468.0	868.0
469.0	856.0
470.0	843.0
471.0	829.0
472.0	879.0
473.0	823.0
474.0	808.0
475.0	824.0
476.0	794.0
477.0	797.0
478.0	788.0
479.0	804.0
480.0	786.0
481.0	802.0
482.0	794.0
483.0	799.0
484.0	762.0
485.0	761.0
486.0	771.0
487.0	770.0
488.0	739.0
489.0	803.0
490.0	747.0
491.0	722.0
492.0	742.0
493.0	711.0
494.0	748.0
495.0	739.0
496.0	745.0
497.0	717.0
498.0	688.0
499.0	692.0
500.0	697.0
501.0	722.0
502.0	671.0
503.0	686.0
504.0	690.0
505.0	711.0
506.0	672.0
507.0	663.0
508.0	688.0
509.0	686.0
510.0	645.0
511.0	684.0
512.0	616.0
513.0	662.0
514.0	663.0
515.0	653.0
516.0	657.0
517.0	681.0
518.0	651.0
519.0	666.0
520.0	633.0
521.0	657.0
522.0	688.0
523.0	594.0
524.0	590.0
525.0	630.0
526.0	658.0
527.0	634.0
528.0	577.0
529.0	599.0
530.0	594.0
531.0	593.0
532.0	585.0
533.0	623.0
534.0	600.0
535.0	639.0
536.0	629.0
537.0	566.0
538.0	550.0
539.0	542.0
540.0	592.0
541.0	575.0
542.0	625.0
543.0	567.0
544.0	589.0
545.0	554.0
546.0	552.0
547.0	505.0
548.0	550.0
549.0	525.0
550.0	548.0
551.0	519.0
552.0	562.0
553.0	503.0
554.0	542.0
555.0	552.0
556.0	491.0
557.0	531.0
558.0	548.0
559.0	507.0
560.0	482.0
561.0	496.0
562.0	504.0
563.0	506.0
564.0	495.0
565.0	473.0
566.0	461.0
567.0	498.0
568.0	469.0
569.0	463.0
570.0	488.0
571.0	471.0
572.0	465.0
573.0	437.0
574.0	445.0
575.0	502.0
576.0	454.0
577.0	428.0
578.0	426.0
579.0	436.0
580.0	455.0
581.0	417.0
582.0	431.0
583.0	436.0
584.0	467.0
585.0	459.0
586.0	455.0
587.0	402.0
588.0	385.0
589.0	451.0
590.0	421.0
591.0	423.0
592.0	381.0
593.0	423.0
594.0	399.0
595.0	406.0
596.0	424.0
597.0	430.0
598.0	386.0
599.0	402.0
600.0	393.0
601.0	356.0
602.0	382.0
603.0	370.0
604.0	407.0
605.0	374.0
606.0	380.0
607.0	370.0
608.0	356.0
609.0	373.0
610.0	348.0
611.0	374.0
612.0	340.0
613.0	324.0
614.0	351.0
615.0	379.0
616.0	356.0
617.0	370.0
618.0	320.0
619.0	330.0
620.0	340.0
621.0	316.0
622.0	313.0
623.0	356.0
624.0	333.0
625.0	324.0
626.0	326.0
627.0	318.0
628.0	332.0
629.0	300.0
630.0	337.0
631.0	310.0
632.0	301.0
633.0	315.0
634.0	310.0
635.0	286.0
636.0	316.0
637.0	309.0
638.0	296.0
639.0	276.0
640.0	319.0
641.0	295.0
642.0	272.0
643.0	265.0
644.0	280.0
645.0	266.0
646.0	300.0
647.0	281.0
648.0	283.0
649.0	288.0
650.0	268.0
651.0	257.0
652.0	268.0
653.0	269.0
654.0	258.0
655.0	256.0
656.0	272.0
657.0	296.0
658.0	247.0
659.0	251.0
660.0	253.0
661.0	264.0
662.0	239.0
663.0	229.0
664.0	231.0
665.0	227.0
666.0	261.0
667.0	218.0
668.0	244.0
669.0	220.0
670.0	228.0
671.0	233.0
672.0	241.0
673.0	221.0
674.0	251.0
675.0	221.0
676.0	268.0
677.0	213.0
678.0	194.0
679.0	218.0
680.0	223.0
681.0	252.0
682.0	234.0
683.0	237.0
684.0	224.0
685.0	210.0
686.0	214.0
687.0	184.0
688.0	230.0
