#GC Content (%)	Sample
1.0	0.0
2.0	6.734709683502318E-6
3.0	3.704090325926275E-5
4.0	5.0510322626267386E-5
5.0	6.397974199327203E-5
6.0	1.1112270977778826E-4
7.0	1.1112270977778823E-4
8.0	1.1785741946129058E-4
9.0	1.7846980661281143E-4
10.0	2.054086453468207E-4
11.0	2.5928632281483927E-4
12.0	2.5591896797308813E-4
13.0	2.761230970235951E-4
14.0	3.232660648081113E-4
15.0	3.670416777508764E-4
16.0	4.1418464553539256E-4
17.0	5.556135488889412E-4
18.0	7.509201297105085E-4
19.0	6.869403877172365E-4
20.0	8.65410194330048E-4
21.0	8.856143233805549E-4
22.0	0.0011482680010371452
23.0	0.0014883708400540126
24.0	0.0019160249049564096
25.0	0.0030104152285255364
26.0	0.0028656189703302366
27.0	0.004401132778168765
28.0	0.0062868514895494144
29.0	0.00888981678222306
30.0	0.012509723237105556
31.0	0.018675349952351927
32.0	0.024992507635477102
33.0	0.03335701706238698
34.0	0.04317622378093336
35.0	0.05075277217487347
36.0	0.06005340624779017
37.0	0.06681168741518476
38.0	0.07239139438796642
39.0	0.07498089026127305
40.0	0.07469129774488246
41.0	0.07174149490350845
42.0	0.06568025618835636
43.0	0.05856166805289441
44.0	0.050513689981109146
45.0	0.0416912202957211
46.0	0.03442783590206385
47.0	0.026938838734009277
48.0	0.020766477309079396
49.0	0.016072384659678283
50.0	0.012856560785805927
51.0	0.011051658590627303
52.0	0.006367668005751442
53.0	0.004795113294653651
54.0	0.0029565375510575177
55.0	0.0019901067114749356
56.0	0.0014109216786937356
57.0	8.721449040135503E-4
58.0	5.859197424647015E-4
59.0	5.152052907879273E-4
60.0	3.232660648081113E-4
61.0	3.2326606480811125E-4
62.0	2.4918425828958574E-4
63.0	1.245921291447929E-4
64.0	7.744916136027666E-5
65.0	3.704090325926275E-5
66.0	3.367354841751159E-5
67.0	3.704090325926275E-5
68.0	2.0204129050506956E-5
69.0	6.734709683502318E-6
70.0	0.0
71.0	6.734709683502318E-6
72.0	3.367354841751159E-6
73.0	0.0
74.0	0.0
75.0	2.0204129050506953E-5
76.0	0.0
77.0	0.0
78.0	0.0
79.0	0.0
80.0	0.0
81.0	0.0
82.0	0.0
83.0	6.734709683502318E-6
84.0	0.0
85.0	0.0
86.0	0.0
87.0	0.0
88.0	0.0
89.0	0.0
90.0	0.0
91.0	0.0
92.0	3.367354841751159E-6
93.0	0.0
94.0	0.0
95.0	0.0
96.0	0.0
97.0	0.0
98.0	0.0
99.0	0.0
100.0	1.0102064525253478E-5
