#Coverage (X)	Coverage
1.0	99.56476480214657
2.0	99.53916660257521
3.0	99.49191851184966
4.0	99.4640911631511
5.0	99.41882545227668
6.0	99.37411085945214
7.0	99.30601076489839
8.0	99.22124551856713
9.0	99.10472929204774
10.0	98.95863365496966
11.0	98.75824877715542
12.0	98.50439722285857
13.0	98.16519640161042
14.0	97.74998241768908
15.0	97.22436385965244
16.0	96.57096817046492
17.0	95.77021009524883
18.0	94.80327758952481
19.0	93.67578876714481
20.0	92.39262143413255
21.0	90.90952985928804
22.0	89.24753055929023
23.0	87.38800890508061
24.0	85.37264422738802
25.0	83.18609570288321
26.0	80.81711065257724
27.0	78.31274797741732
28.0	75.65847296704273
29.0	72.88557596565958
30.0	70.01207113042126
31.0	67.04515589854657
32.0	64.03394558161668
33.0	60.999687014301514
34.0	57.96889144249392
35.0	54.96871993784705
36.0	52.018593242387894
37.0	49.0909390023365
38.0	46.21564097702537
39.0	43.44061353422546
40.0	40.74841008611837
41.0	38.146902572610834
42.0	35.65250937620429
43.0	33.281821617893414
44.0	31.0152787197281
45.0	28.861213257597115
46.0	26.825671078764245
47.0	24.907928326686346
48.0	23.08902489531843
49.0	21.37630628344496
50.0	19.77555511776859
51.0	18.268313056439027
