#Insert size (bp)	insert size
143.0	4.0
145.0	1.0
146.0	2.0
147.0	1.0
148.0	3.0
149.0	5.0
150.0	17.0
151.0	7424.0
152.0	14649.0
153.0	15132.0
154.0	15125.0
155.0	15041.0
156.0	15288.0
157.0	14986.0
158.0	14830.0
159.0	15077.0
160.0	14667.0
161.0	14933.0
162.0	14538.0
163.0	14609.0
164.0	14727.0
165.0	14620.0
166.0	14567.0
167.0	14860.0
168.0	14969.0
169.0	14640.0
170.0	14735.0
171.0	14714.0
172.0	14468.0
173.0	14402.0
174.0	14598.0
175.0	14236.0
176.0	14805.0
177.0	14651.0
178.0	14794.0
179.0	14831.0
180.0	14538.0
181.0	14425.0
182.0	14524.0
183.0	14365.0
184.0	14418.0
185.0	14436.0
186.0	14220.0
187.0	14623.0
188.0	14672.0
189.0	14397.0
190.0	14712.0
191.0	14445.0
192.0	14465.0
193.0	14401.0
194.0	13818.0
195.0	13925.0
196.0	13805.0
197.0	14101.0
198.0	14103.0
199.0	14233.0
200.0	14181.0
201.0	14163.0
202.0	14163.0
203.0	13825.0
204.0	13435.0
205.0	13390.0
206.0	13530.0
207.0	13294.0
208.0	13713.0
209.0	13600.0
210.0	13901.0
211.0	13611.0
212.0	13192.0
213.0	13246.0
214.0	13118.0
215.0	12792.0
216.0	12468.0
217.0	12728.0
218.0	12471.0
219.0	12818.0
220.0	12784.0
221.0	12462.0
222.0	12623.0
223.0	12200.0
224.0	12060.0
225.0	11667.0
226.0	11447.0
227.0	11523.0
228.0	11359.0
229.0	11296.0
230.0	11411.0
231.0	11347.0
232.0	11390.0
233.0	11169.0
234.0	10798.0
235.0	10512.0
236.0	10231.0
237.0	9838.0
238.0	9916.0
239.0	9923.0
240.0	9719.0
241.0	9713.0
242.0	9918.0
243.0	9453.0
244.0	9317.0
245.0	9249.0
246.0	8768.0
247.0	8602.0
248.0	8447.0
249.0	7987.0
250.0	8039.0
251.0	8137.0
252.0	8019.0
253.0	7798.0
254.0	7565.0
255.0	7645.0
256.0	7276.0
257.0	7120.0
258.0	6700.0
259.0	6344.0
260.0	6403.0
261.0	6264.0
262.0	6313.0
263.0	5985.0
264.0	5761.0
265.0	5373.0
266.0	5062.0
267.0	4237.0
268.0	4052.0
269.0	4103.0
270.0	3963.0
271.0	3784.0
272.0	3661.0
273.0	3336.0
274.0	3368.0
275.0	3303.0
276.0	3312.0
277.0	3247.0
278.0	3240.0
279.0	3244.0
280.0	3321.0
281.0	3181.0
282.0	3229.0
283.0	3200.0
284.0	3095.0
285.0	3105.0
286.0	3074.0
287.0	3061.0
288.0	3123.0
289.0	3042.0
290.0	3048.0
291.0	3092.0
292.0	3045.0
293.0	2909.0
294.0	2945.0
295.0	2872.0
296.0	2815.0
297.0	2943.0
298.0	2895.0
299.0	2828.0
300.0	2740.0
301.0	2665.0
302.0	2745.0
303.0	2708.0
304.0	2816.0
305.0	2746.0
306.0	2637.0
307.0	2705.0
308.0	2562.0
309.0	2721.0
310.0	2587.0
311.0	2412.0
312.0	2446.0
313.0	2564.0
314.0	2489.0
315.0	2524.0
316.0	2384.0
317.0	2406.0
318.0	2431.0
319.0	2459.0
320.0	2367.0
321.0	2438.0
322.0	2329.0
323.0	2349.0
324.0	2279.0
325.0	2279.0
326.0	2351.0
327.0	2342.0
328.0	2360.0
329.0	2342.0
330.0	2188.0
331.0	2167.0
