#Duplication rate	Coverage
1.0	1148373.0
2.0	765841.0
3.0	299014.0
4.0	231710.0
5.0	116947.0
6.0	91526.0
7.0	53722.0
8.0	42207.0
9.0	27361.0
10.0	21631.0
11.0	15096.0
12.0	12225.0
13.0	8830.0
14.0	7453.0
15.0	5529.0
16.0	4573.0
17.0	3453.0
18.0	3030.0
19.0	2411.0
20.0	2018.0
21.0	1634.0
22.0	1492.0
23.0	1207.0
24.0	1009.0
25.0	884.0
26.0	777.0
27.0	682.0
28.0	577.0
29.0	534.0
30.0	459.0
31.0	392.0
32.0	314.0
33.0	331.0
34.0	264.0
35.0	239.0
36.0	230.0
37.0	238.0
38.0	223.0
39.0	182.0
40.0	150.0
41.0	182.0
42.0	154.0
43.0	124.0
44.0	127.0
45.0	91.0
46.0	113.0
47.0	105.0
48.0	112.0
49.0	85.0
50.0	2948.0
