#Insert size (bp)	insert size
142.0	5.0
143.0	2.0
144.0	1.0
145.0	6.0
146.0	8.0
147.0	1.0
148.0	9.0
149.0	21.0
150.0	40.0
151.0	22277.0
152.0	43033.0
153.0	44125.0
154.0	44171.0
155.0	43619.0
156.0	44133.0
157.0	43670.0
158.0	43889.0
159.0	43235.0
160.0	42780.0
161.0	43023.0
162.0	42454.0
163.0	42936.0
164.0	42920.0
165.0	42627.0
166.0	43250.0
167.0	43173.0
168.0	43114.0
169.0	42196.0
170.0	41641.0
171.0	41901.0
172.0	41183.0
173.0	41095.0
174.0	41206.0
175.0	40566.0
176.0	40971.0
177.0	40273.0
178.0	40568.0
179.0	40526.0
180.0	40356.0
181.0	39478.0
182.0	39802.0
183.0	38990.0
184.0	38770.0
185.0	38086.0
186.0	38231.0
187.0	38605.0
188.0	38325.0
189.0	38225.0
190.0	37541.0
191.0	37062.0
192.0	36882.0
193.0	36739.0
194.0	36420.0
195.0	35658.0
196.0	35485.0
197.0	35408.0
198.0	35386.0
199.0	34739.0
200.0	34343.0
201.0	34425.0
202.0	33696.0
203.0	33309.0
204.0	32652.0
205.0	32221.0
206.0	32358.0
207.0	31746.0
208.0	31828.0
209.0	31724.0
210.0	31668.0
211.0	31414.0
212.0	30424.0
213.0	30197.0
214.0	29676.0
215.0	29088.0
216.0	28792.0
217.0	28441.0
218.0	28455.0
219.0	28647.0
220.0	28612.0
221.0	27838.0
222.0	27782.0
223.0	26792.0
224.0	26492.0
225.0	26063.0
226.0	25359.0
227.0	25397.0
228.0	24926.0
229.0	24615.0
230.0	24875.0
231.0	24642.0
232.0	24487.0
233.0	24155.0
234.0	23397.0
235.0	22865.0
236.0	22519.0
237.0	21801.0
238.0	21911.0
239.0	21642.0
240.0	21462.0
241.0	21222.0
242.0	21107.0
243.0	21066.0
244.0	20428.0
245.0	19884.0
246.0	19816.0
247.0	19159.0
248.0	19059.0
249.0	18386.0
250.0	18601.0
251.0	18484.0
252.0	18430.0
253.0	18064.0
254.0	17776.0
255.0	17141.0
256.0	16834.0
257.0	16548.0
258.0	15846.0
259.0	15496.0
260.0	15208.0
261.0	15043.0
262.0	15169.0
263.0	14597.0
264.0	14076.0
265.0	13185.0
266.0	11423.0
267.0	9954.0
268.0	9052.0
269.0	8752.0
270.0	8589.0
271.0	8197.0
272.0	7939.0
273.0	6672.0
274.0	6382.0
275.0	6538.0
276.0	6328.0
277.0	6329.0
278.0	6271.0
279.0	6155.0
280.0	6240.0
281.0	6169.0
282.0	5932.0
283.0	5808.0
284.0	5922.0
285.0	5686.0
286.0	5632.0
287.0	5575.0
288.0	5514.0
289.0	5402.0
290.0	5158.0
291.0	5182.0
292.0	5058.0
293.0	5158.0
294.0	5214.0
295.0	5001.0
296.0	4910.0
297.0	4881.0
298.0	4786.0
299.0	4585.0
300.0	4665.0
301.0	4600.0
302.0	4496.0
303.0	4457.0
304.0	4239.0
305.0	4253.0
306.0	4282.0
307.0	4180.0
308.0	4267.0
309.0	4149.0
310.0	4001.0
311.0	4025.0
312.0	3918.0
313.0	3920.0
314.0	3857.0
315.0	3750.0
316.0	3808.0
317.0	3740.0
318.0	3622.0
319.0	3515.0
320.0	3589.0
321.0	3428.0
322.0	3423.0
323.0	3394.0
324.0	3378.0
325.0	3381.0
326.0	3297.0
327.0	3212.0
328.0	3225.0
329.0	3140.0
330.0	3199.0
331.0	3092.0
332.0	3011.0
333.0	3017.0
334.0	2880.0
335.0	2905.0
336.0	2868.0
337.0	2911.0
338.0	2773.0
339.0	2720.0
340.0	2702.0
341.0	2699.0
342.0	2539.0
343.0	2623.0
344.0	2480.0
345.0	2549.0
346.0	2411.0
347.0	2414.0
348.0	2466.0
349.0	2344.0
350.0	2370.0
351.0	2353.0
352.0	2302.0
353.0	2272.0
354.0	2260.0
355.0	2207.0
356.0	2289.0
357.0	2173.0
358.0	2077.0
359.0	2126.0
360.0	1942.0
361.0	2044.0
362.0	1935.0
363.0	1986.0
364.0	1893.0
365.0	1846.0
366.0	1876.0
367.0	1852.0
368.0	1849.0
369.0	1849.0
370.0	1742.0
371.0	1730.0
372.0	1742.0
373.0	1695.0
374.0	1653.0
375.0	1707.0
376.0	1725.0
377.0	1643.0
378.0	1573.0
379.0	1560.0
380.0	1531.0
381.0	1544.0
382.0	1477.0
383.0	1494.0
384.0	1460.0
385.0	1427.0
386.0	1415.0
387.0	1383.0
388.0	1340.0
389.0	1391.0
390.0	1328.0
391.0	1357.0
392.0	1319.0
393.0	1332.0
394.0	1389.0
395.0	1311.0
396.0	1274.0
397.0	1259.0
398.0	1213.0
399.0	1191.0
400.0	1167.0
401.0	1264.0
402.0	1092.0
403.0	1139.0
404.0	1164.0
405.0	1107.0
406.0	1119.0
407.0	1158.0
408.0	1098.0
409.0	1087.0
410.0	1053.0
411.0	997.0
412.0	954.0
413.0	1071.0
414.0	1004.0
415.0	1049.0
416.0	958.0
417.0	911.0
418.0	933.0
419.0	883.0
420.0	922.0
421.0	910.0
422.0	841.0
423.0	900.0
424.0	869.0
425.0	864.0
426.0	917.0
427.0	784.0
428.0	849.0
429.0	758.0
430.0	792.0
431.0	759.0
432.0	792.0
433.0	797.0
434.0	770.0
435.0	760.0
436.0	753.0
437.0	702.0
438.0	740.0
439.0	713.0
440.0	722.0
441.0	684.0
442.0	726.0
443.0	660.0
444.0	711.0
445.0	638.0
446.0	697.0
447.0	647.0
448.0	649.0
449.0	587.0
450.0	634.0
451.0	668.0
452.0	594.0
453.0	615.0
454.0	637.0
455.0	562.0
456.0	579.0
457.0	613.0
458.0	578.0
459.0	525.0
460.0	556.0
461.0	598.0
462.0	530.0
463.0	488.0
464.0	522.0
465.0	533.0
466.0	508.0
467.0	499.0
468.0	481.0
469.0	499.0
470.0	500.0
471.0	468.0
472.0	488.0
473.0	465.0
474.0	478.0
475.0	441.0
476.0	472.0
477.0	471.0
478.0	465.0
479.0	465.0
480.0	420.0
