#Insert size (bp)	insert size
141.0	1.0
142.0	4.0
143.0	3.0
144.0	1.0
145.0	3.0
146.0	8.0
147.0	4.0
148.0	20.0
149.0	12.0
150.0	51.0
151.0	28250.0
152.0	55454.0
153.0	55055.0
154.0	55566.0
155.0	54962.0
156.0	56265.0
157.0	55396.0
158.0	55416.0
159.0	55335.0
160.0	53890.0
161.0	54383.0
162.0	54021.0
163.0	54309.0
164.0	54106.0
165.0	54426.0
166.0	54375.0
167.0	54462.0
168.0	53724.0
169.0	53660.0
170.0	53066.0
171.0	52903.0
172.0	52361.0
173.0	51884.0
174.0	52246.0
175.0	51694.0
176.0	52016.0
177.0	52222.0
178.0	52137.0
179.0	50806.0
180.0	50866.0
181.0	50219.0
182.0	49723.0
183.0	48978.0
184.0	49061.0
185.0	48315.0
186.0	48529.0
187.0	47996.0
188.0	47522.0
189.0	47555.0
190.0	47416.0
191.0	46538.0
192.0	45921.0
193.0	45089.0
194.0	44201.0
195.0	44464.0
196.0	44290.0
197.0	43930.0
198.0	43272.0
199.0	43187.0
200.0	42776.0
201.0	42654.0
202.0	41879.0
203.0	41288.0
204.0	39946.0
205.0	39146.0
206.0	38674.0
207.0	38640.0
208.0	38660.0
209.0	37908.0
210.0	37950.0
211.0	37453.0
212.0	36816.0
213.0	36034.0
214.0	35071.0
215.0	34035.0
216.0	33446.0
217.0	33413.0
218.0	33080.0
219.0	33220.0
220.0	32920.0
221.0	31917.0
222.0	31431.0
223.0	30631.0
224.0	30285.0
225.0	29472.0
226.0	28189.0
227.0	28493.0
228.0	27804.0
229.0	27583.0
230.0	27065.0
231.0	27166.0
232.0	26886.0
233.0	25705.0
234.0	25003.0
235.0	24469.0
236.0	23940.0
237.0	22967.0
238.0	22741.0
239.0	22713.0
240.0	22550.0
241.0	22455.0
242.0	21868.0
243.0	21707.0
244.0	21261.0
245.0	20434.0
246.0	19486.0
247.0	19424.0
248.0	18944.0
249.0	18500.0
250.0	18552.0
251.0	18233.0
252.0	17953.0
253.0	17463.0
254.0	17025.0
255.0	16545.0
256.0	16441.0
257.0	15598.0
258.0	15103.0
259.0	14497.0
260.0	14313.0
261.0	14096.0
262.0	14122.0
263.0	13675.0
264.0	13258.0
265.0	12084.0
266.0	10666.0
267.0	9341.0
268.0	8765.0
269.0	8797.0
270.0	8404.0
271.0	8514.0
272.0	7981.0
273.0	7315.0
274.0	7178.0
275.0	7162.0
276.0	7063.0
277.0	6924.0
278.0	6719.0
279.0	6786.0
280.0	6680.0
281.0	6525.0
282.0	6499.0
283.0	6338.0
284.0	6343.0
285.0	6327.0
286.0	6141.0
287.0	5990.0
288.0	5980.0
289.0	5921.0
290.0	5640.0
291.0	5632.0
292.0	5656.0
293.0	5513.0
294.0	5644.0
295.0	5498.0
296.0	5450.0
297.0	5281.0
298.0	5184.0
299.0	5206.0
300.0	5091.0
301.0	4942.0
302.0	4874.0
303.0	4992.0
304.0	4872.0
305.0	4667.0
306.0	4742.0
307.0	4780.0
308.0	4583.0
309.0	4500.0
310.0	4543.0
311.0	4388.0
312.0	4336.0
313.0	4215.0
314.0	4095.0
315.0	4204.0
316.0	4027.0
317.0	4009.0
318.0	4017.0
319.0	3960.0
320.0	3938.0
321.0	3702.0
322.0	3778.0
323.0	3651.0
324.0	3532.0
325.0	3625.0
326.0	3670.0
327.0	3570.0
328.0	3437.0
329.0	3425.0
330.0	3324.0
331.0	3420.0
332.0	3264.0
333.0	3286.0
334.0	3141.0
335.0	3174.0
336.0	3099.0
337.0	2965.0
338.0	2959.0
339.0	2938.0
340.0	2957.0
341.0	2925.0
342.0	2862.0
343.0	2905.0
344.0	2735.0
345.0	2852.0
346.0	2670.0
347.0	2660.0
348.0	2632.0
349.0	2668.0
350.0	2578.0
351.0	2475.0
352.0	2457.0
353.0	2440.0
354.0	2405.0
355.0	2457.0
356.0	2490.0
357.0	2398.0
358.0	2288.0
359.0	2294.0
360.0	2278.0
361.0	2130.0
362.0	2149.0
363.0	2119.0
364.0	2054.0
365.0	2016.0
366.0	2060.0
367.0	1984.0
368.0	1946.0
369.0	1986.0
370.0	1964.0
371.0	1878.0
372.0	1942.0
373.0	1922.0
374.0	1917.0
375.0	1862.0
376.0	1820.0
377.0	1790.0
378.0	1750.0
379.0	1716.0
380.0	1706.0
381.0	1645.0
382.0	1606.0
383.0	1594.0
384.0	1596.0
385.0	1600.0
386.0	1662.0
387.0	1451.0
388.0	1553.0
389.0	1459.0
390.0	1462.0
391.0	1436.0
392.0	1464.0
393.0	1444.0
394.0	1427.0
395.0	1445.0
396.0	1305.0
397.0	1298.0
398.0	1324.0
399.0	1294.0
400.0	1334.0
401.0	1277.0
402.0	1264.0
403.0	1231.0
404.0	1207.0
405.0	1185.0
406.0	1197.0
407.0	1095.0
408.0	1158.0
409.0	1091.0
410.0	1123.0
411.0	1105.0
412.0	1145.0
413.0	1081.0
414.0	1084.0
415.0	1033.0
416.0	1075.0
417.0	1034.0
418.0	1030.0
419.0	997.0
420.0	993.0
421.0	1004.0
422.0	936.0
423.0	999.0
424.0	1006.0
425.0	945.0
426.0	918.0
427.0	899.0
428.0	892.0
429.0	880.0
430.0	886.0
431.0	836.0
432.0	823.0
433.0	845.0
434.0	840.0
435.0	800.0
436.0	853.0
437.0	801.0
438.0	773.0
439.0	785.0
440.0	794.0
441.0	761.0
442.0	709.0
443.0	739.0
444.0	705.0
445.0	733.0
446.0	756.0
447.0	671.0
448.0	693.0
449.0	738.0
450.0	659.0
451.0	610.0
452.0	662.0
453.0	681.0
454.0	630.0
455.0	656.0
456.0	658.0
457.0	638.0
458.0	610.0
459.0	594.0
460.0	554.0
461.0	606.0
462.0	573.0
463.0	580.0
464.0	570.0
465.0	507.0
466.0	547.0
