#GC Content (%)	Sample
1.0	0.0
2.0	0.0
3.0	0.0
4.0	0.0
5.0	0.0
6.0	0.0
7.0	0.0
8.0	0.0
9.0	0.0
10.0	0.0
11.0	0.0
12.0	0.0
13.0	0.0
14.0	0.0
15.0	7.77097385844394E-7
16.0	7.77097385844394E-7
17.0	7.77097385844394E-7
18.0	0.0
19.0	1.554194771688788E-6
20.0	2.331292157533182E-6
21.0	1.554194771688788E-6
22.0	3.108389543377576E-6
23.0	2.331292157533182E-6
24.0	2.331292157533182E-6
25.0	1.3987752945199093E-5
26.0	8.548071244288333E-6
27.0	1.3210655559354699E-5
28.0	2.5644213732865005E-5
29.0	2.952970066208697E-5
30.0	5.672810916664077E-5
31.0	1.2278138696341425E-4
32.0	3.426999471573777E-4
33.0	0.0010288769388579777
34.0	0.002926548755089988
35.0	0.007850237791800068
36.0	0.01812735071959218
37.0	0.03455518945634267
38.0	0.05682602343725716
39.0	0.08049796400484907
40.0	0.09976764788163253
41.0	0.11168365919617047
42.0	0.11412374498772186
43.0	0.10795048335457401
44.0	0.09411970408131548
45.0	0.07698082123651735
46.0	0.05937956544714183
47.0	0.043280438904603535
48.0	0.030171583102794445
49.0	0.020335861490161942
50.0	0.01404758944390911
51.0	0.010398340119983836
52.0	0.005323117093034099
53.0	0.003739392620683224
54.0	0.002128469739827795
55.0	0.0012690000310838956
56.0	8.563613192005222E-4
57.0	5.354200988467873E-4
58.0	3.6135028441764317E-4
59.0	2.611047216437164E-4
60.0	1.9893693077616484E-4
61.0	1.5464237978303442E-4
62.0	1.328836529793914E-4
63.0	7.460134904106181E-5
64.0	5.983649871001834E-5
65.0	4.740294053650803E-5
66.0	3.030679804793137E-5
67.0	2.7975505890398185E-5
68.0	1.7096142488576666E-5
69.0	1.3987752945199094E-5
70.0	1.0102266015977122E-5
71.0	1.010226601597712E-5
72.0	9.325168630132727E-6
73.0	6.216779086755152E-6
74.0	4.662584315066364E-6
75.0	8.548071244288333E-6
76.0	3.88548692922197E-6
77.0	2.331292157533182E-6
78.0	3.88548692922197E-6
79.0	1.554194771688788E-6
80.0	2.331292157533182E-6
81.0	3.108389543377576E-6
82.0	2.331292157533182E-6
83.0	1.554194771688788E-6
84.0	1.554194771688788E-6
85.0	7.77097385844394E-7
86.0	1.554194771688788E-6
87.0	0.0
88.0	7.77097385844394E-7
89.0	0.0
90.0	7.77097385844394E-7
91.0	7.77097385844394E-7
92.0	2.331292157533182E-6
93.0	0.0
94.0	7.77097385844394E-7
95.0	0.0
96.0	7.77097385844394E-7
97.0	0.0
98.0	0.0
99.0	0.0
100.0	7.77097385844394E-6
