#Mapping quality	mapping quality
0.0	324273.0
1.0	114355.0
2.0	35958.0
3.0	24134.0
4.0	19630.0
5.0	18081.0
6.0	17440.0
7.0	18178.0
8.0	19560.0
9.0	26614.0
10.0	31279.0
11.0	26200.0
12.0	16452.0
13.0	14969.0
14.0	14637.0
15.0	13492.0
16.0	13218.0
17.0	13997.0
18.0	15128.0
19.0	16349.0
20.0	17289.0
21.0	18933.0
22.0	44149.0
23.0	24299.0
24.0	32640.0
25.0	30273.0
26.0	34622.0
27.0	30728.0
28.0	43849.0
29.0	59198.0
30.0	54689.0
31.0	59538.0
32.0	76259.0
33.0	107201.0
34.0	120944.0
35.0	148467.0
36.0	223595.0
37.0	279955.0
38.0	424494.0
39.0	643939.0
40.0	1123688.0
41.0	1960782.0
42.0	3127968.0
43.0	1824036.0
44.0	652518.0
