#Coverage	Number of genomic locations
0.0	99027.0
1.0	1864.0
2.0	3376.0
3.0	1586.0
4.0	2006.0
5.0	3497.0
6.0	5777.0
7.0	9922.0
8.0	16479.0
9.0	23960.0
10.0	35704.0
11.0	50120.0
12.0	70786.0
13.0	94466.0
14.0	120305.0
15.0	151428.0
16.0	187347.0
17.0	221259.0
18.0	255885.0
19.0	291807.0
20.0	323968.0
21.0	352600.0
22.0	377340.0
23.0	404261.0
24.0	427357.0
25.0	437492.0
26.0	446925.0
27.0	446528.0
28.0	449057.0
29.0	445054.0
30.0	435680.0
31.0	424454.0
32.0	407606.0
33.0	389082.0
34.0	373346.0
35.0	355466.0
36.0	333667.0
37.0	313798.0
38.0	294470.0
39.0	272086.0
40.0	255660.0
41.0	235618.0
42.0	214833.0
43.0	197435.0
44.0	180308.0
45.0	165418.0
46.0	150367.0
47.0	136180.0
48.0	124167.0
49.0	113628.0
50.0	100655.0
51.0	91057.0
52.0	82326.0
53.0	73601.0
54.0	66449.0
55.0	60296.0
56.0	53846.0
57.0	47625.0
58.0	42494.0
59.0	37924.0
60.0	34392.0
61.0	29789.0
62.0	27107.0
63.0	23875.0
64.0	21609.0
65.0	19209.0
66.0	17489.0
67.0	15925.0
68.0	13667.0
69.0	12035.0
70.0	10814.0
71.0	10186.0
72.0	9076.0
73.0	8057.0
74.0	6990.0
75.0	6541.0
76.0	5919.0
77.0	5525.0
78.0	4979.0
79.0	4555.0
80.0	4030.0
81.0	3913.0
82.0	3665.0
83.0	3434.0
84.0	3070.0
85.0	2897.0
86.0	2519.0
87.0	2355.0
88.0	2174.0
89.0	2098.0
90.0	1987.0
91.0	1912.0
92.0	1660.0
93.0	1557.0
94.0	1324.0
95.0	1359.0
96.0	1202.0
97.0	1181.0
98.0	1074.0
99.0	1089.0
100.0	960.0
101.0	951.0
102.0	951.0
103.0	921.0
104.0	970.0
105.0	765.0
106.0	706.0
107.0	661.0
108.0	637.0
109.0	626.0
110.0	530.0
111.0	473.0
112.0	475.0
113.0	447.0
114.0	388.0
115.0	332.0
116.0	313.0
117.0	289.0
118.0	308.0
119.0	256.0
120.0	307.0
121.0	279.0
122.0	216.0
123.0	223.0
124.0	256.0
125.0	213.0
126.0	176.0
127.0	184.0
128.0	150.0
129.0	152.0
130.0	112.0
131.0	153.0
132.0	93.0
133.0	129.0
134.0	90.0
135.0	124.0
136.0	104.0
137.0	93.0
138.0	87.0
139.0	81.0
140.0	75.0
141.0	75.0
142.0	69.0
143.0	95.0
144.0	85.0
145.0	74.0
146.0	70.0
147.0	80.0
148.0	93.0
149.0	94.0
150.0	87.0
151.0	102.0
152.0	109.0
153.0	90.0
154.0	73.0
155.0	62.0
156.0	56.0
157.0	57.0
158.0	59.0
159.0	63.0
160.0	49.0
161.0	51.0
162.0	66.0
163.0	60.0
164.0	61.0
165.0	50.0
166.0	61.0
167.0	43.0
168.0	44.0
169.0	49.0
170.0	47.0
171.0	51.0
172.0	42.0
173.0	59.0
174.0	74.0
175.0	67.0
176.0	62.0
177.0	45.0
178.0	61.0
179.0	46.0
180.0	45.0
181.0	73.0
182.0	55.0
183.0	47.0
184.0	41.0
185.0	36.0
186.0	43.0
187.0	31.0
188.0	37.0
189.0	38.0
190.0	34.0
191.0	25.0
192.0	39.0
193.0	37.0
194.0	30.0
195.0	36.0
196.0	36.0
197.0	54.0
198.0	39.0
199.0	55.0
200.0	30.0
201.0	23.0
202.0	25.0
203.0	37.0
204.0	27.0
205.0	27.0
206.0	31.0
207.0	45.0
208.0	35.0
209.0	41.0
210.0	40.0
211.0	40.0
212.0	30.0
213.0	29.0
214.0	29.0
215.0	30.0
216.0	27.0
217.0	28.0
218.0	29.0
219.0	18.0
220.0	22.0
221.0	18.0
222.0	27.0
223.0	22.0
224.0	24.0
225.0	24.0
226.0	23.0
227.0	13.0
228.0	15.0
229.0	14.0
230.0	16.0
231.0	21.0
232.0	17.0
233.0	28.0
234.0	17.0
235.0	15.0
236.0	15.0
237.0	26.0
238.0	26.0
239.0	39.0
240.0	37.0
241.0	36.0
242.0	20.0
243.0	36.0
244.0	27.0
245.0	34.0
246.0	27.0
247.0	29.0
248.0	19.0
249.0	21.0
250.0	19.0
251.0	16.0
252.0	18.0
253.0	15.0
254.0	23.0
255.0	27.0
256.0	28.0
257.0	23.0
258.0	18.0
259.0	17.0
260.0	15.0
261.0	14.0
262.0	20.0
263.0	13.0
264.0	17.0
265.0	14.0
266.0	8.0
267.0	10.0
268.0	14.0
269.0	29.0
270.0	17.0
271.0	16.0
272.0	12.0
273.0	13.0
274.0	19.0
275.0	18.0
276.0	12.0
277.0	12.0
278.0	11.0
279.0	6.0
280.0	5.0
281.0	5.0
282.0	2.0
283.0	1.0
284.0	3.0
285.0	1.0
286.0	4.0
287.0	11.0
288.0	5.0
289.0	1.0
290.0	8.0
291.0	5.0
292.0	8.0
293.0	3.0
294.0	6.0
295.0	4.0
296.0	6.0
297.0	2.0
298.0	6.0
299.0	7.0
300.0	4.0
301.0	5.0
302.0	4.0
303.0	3.0
304.0	4.0
305.0	4.0
307.0	1.0
308.0	6.0
309.0	5.0
310.0	1.0
311.0	4.0
312.0	7.0
313.0	4.0
314.0	1.0
315.0	7.0
316.0	13.0
317.0	7.0
318.0	3.0
319.0	4.0
320.0	6.0
321.0	3.0
322.0	5.0
323.0	1.0
324.0	2.0
325.0	1.0
327.0	4.0
328.0	3.0
329.0	4.0
330.0	6.0
331.0	7.0
332.0	6.0
333.0	3.0
334.0	2.0
335.0	1.0
336.0	4.0
337.0	2.0
338.0	2.0
339.0	3.0
340.0	3.0
341.0	6.0
342.0	1.0
343.0	2.0
344.0	2.0
345.0	2.0
347.0	5.0
348.0	1.0
349.0	3.0
350.0	6.0
351.0	3.0
352.0	4.0
353.0	8.0
354.0	7.0
355.0	7.0
356.0	3.0
357.0	1.0
358.0	4.0
359.0	5.0
360.0	2.0
361.0	1.0
363.0	2.0
365.0	1.0
366.0	3.0
367.0	1.0
369.0	3.0
370.0	1.0
371.0	4.0
372.0	4.0
373.0	2.0
374.0	2.0
375.0	2.0
376.0	8.0
377.0	5.0
378.0	5.0
379.0	6.0
380.0	10.0
381.0	6.0
382.0	2.0
383.0	4.0
384.0	14.0
385.0	5.0
386.0	1.0
387.0	3.0
388.0	4.0
389.0	1.0
390.0	6.0
392.0	5.0
393.0	4.0
394.0	5.0
395.0	4.0
396.0	5.0
397.0	6.0
398.0	4.0
399.0	4.0
400.0	3.0
401.0	6.0
402.0	8.0
403.0	7.0
404.0	4.0
405.0	11.0
406.0	3.0
407.0	2.0
408.0	8.0
409.0	5.0
410.0	5.0
411.0	5.0
412.0	8.0
413.0	4.0
414.0	11.0
415.0	5.0
416.0	3.0
417.0	6.0
418.0	5.0
419.0	7.0
420.0	3.0
421.0	7.0
423.0	2.0
424.0	3.0
425.0	1.0
426.0	6.0
427.0	4.0
428.0	9.0
429.0	6.0
430.0	2.0
431.0	2.0
432.0	3.0
433.0	4.0
434.0	3.0
435.0	7.0
436.0	5.0
437.0	5.0
438.0	5.0
439.0	6.0
440.0	2.0
441.0	6.0
442.0	6.0
443.0	9.0
444.0	7.0
445.0	5.0
446.0	6.0
447.0	5.0
448.0	6.0
449.0	3.0
450.0	4.0
451.0	4.0
452.0	8.0
453.0	2.0
454.0	10.0
455.0	9.0
456.0	2.0
457.0	2.0
458.0	3.0
459.0	8.0
460.0	4.0
461.0	5.0
462.0	3.0
463.0	8.0
464.0	4.0
465.0	4.0
466.0	2.0
467.0	2.0
468.0	3.0
469.0	6.0
470.0	8.0
471.0	9.0
472.0	4.0
473.0	4.0
474.0	10.0
475.0	7.0
476.0	5.0
477.0	7.0
478.0	3.0
479.0	2.0
480.0	6.0
481.0	6.0
482.0	11.0
483.0	7.0
484.0	12.0
485.0	10.0
486.0	9.0
487.0	10.0
488.0	10.0
489.0	10.0
490.0	16.0
491.0	18.0
492.0	16.0
493.0	13.0
494.0	16.0
495.0	11.0
496.0	18.0
497.0	10.0
498.0	7.0
499.0	6.0
500.0	18.0
501.0	6.0
502.0	9.0
503.0	10.0
504.0	6.0
505.0	16.0
506.0	7.0
507.0	12.0
508.0	17.0
509.0	7.0
510.0	9.0
511.0	9.0
512.0	8.0
513.0	15.0
514.0	6.0
515.0	6.0
516.0	7.0
517.0	8.0
518.0	4.0
519.0	3.0
520.0	11.0
521.0	2.0
522.0	10.0
523.0	14.0
524.0	9.0
525.0	8.0
526.0	15.0
527.0	16.0
528.0	13.0
529.0	14.0
530.0	13.0
531.0	9.0
532.0	14.0
533.0	11.0
534.0	15.0
535.0	11.0
536.0	12.0
537.0	10.0
538.0	6.0
539.0	12.0
540.0	12.0
541.0	4.0
542.0	18.0
543.0	6.0
544.0	5.0
545.0	13.0
546.0	14.0
547.0	12.0
548.0	25.0
549.0	14.0
550.0	17.0
551.0	25.0
552.0	14.0
553.0	14.0
554.0	21.0
555.0	15.0
556.0	19.0
557.0	16.0
558.0	19.0
559.0	13.0
560.0	22.0
561.0	17.0
562.0	20.0
563.0	11.0
564.0	14.0
565.0	22.0
566.0	16.0
567.0	12.0
568.0	14.0
569.0	15.0
570.0	11.0
571.0	13.0
572.0	20.0
573.0	18.0
574.0	23.0
575.0	26.0
576.0	20.0
577.0	26.0
578.0	27.0
579.0	27.0
580.0	28.0
581.0	18.0
582.0	26.0
583.0	21.0
584.0	31.0
585.0	20.0
586.0	14.0
587.0	19.0
588.0	27.0
589.0	27.0
590.0	18.0
591.0	17.0
592.0	11.0
593.0	30.0
594.0	22.0
595.0	21.0
596.0	31.0
597.0	28.0
598.0	27.0
599.0	30.0
600.0	26.0
601.0	17.0
602.0	17.0
603.0	23.0
604.0	25.0
605.0	24.0
606.0	35.0
607.0	29.0
608.0	25.0
609.0	22.0
610.0	20.0
611.0	28.0
612.0	41.0
613.0	26.0
614.0	28.0
615.0	32.0
616.0	29.0
617.0	27.0
618.0	28.0
619.0	24.0
620.0	26.0
621.0	36.0
622.0	33.0
623.0	29.0
624.0	20.0
625.0	30.0
626.0	40.0
627.0	30.0
628.0	25.0
629.0	57.0
630.0	36.0
631.0	35.0
