#Duplication rate	Coverage
1.0	1278388.0
2.0	354315.0
3.0	106248.0
4.0	41058.0
5.0	16322.0
6.0	7542.0
7.0	3832.0
8.0	2075.0
9.0	1260.0
10.0	820.0
11.0	565.0
12.0	394.0
13.0	291.0
14.0	244.0
15.0	208.0
16.0	173.0
17.0	156.0
18.0	133.0
19.0	94.0
20.0	96.0
21.0	74.0
22.0	75.0
23.0	64.0
24.0	52.0
25.0	58.0
26.0	41.0
27.0	30.0
28.0	30.0
29.0	35.0
30.0	28.0
31.0	25.0
32.0	20.0
33.0	26.0
34.0	35.0
35.0	24.0
36.0	24.0
37.0	15.0
38.0	16.0
39.0	13.0
40.0	14.0
41.0	15.0
42.0	9.0
43.0	12.0
44.0	6.0
45.0	5.0
46.0	13.0
47.0	5.0
48.0	4.0
49.0	4.0
50.0	113.0
