#Insert size (bp)	insert size
142.0	1.0
143.0	2.0
145.0	1.0
146.0	1.0
147.0	2.0
148.0	1.0
149.0	5.0
150.0	13.0
151.0	2121.0
152.0	4031.0
153.0	3987.0
154.0	4004.0
155.0	4114.0
156.0	3977.0
157.0	4125.0
158.0	4168.0
159.0	4294.0
160.0	4000.0
161.0	4007.0
162.0	3963.0
163.0	4107.0
164.0	4074.0
165.0	4014.0
166.0	4201.0
167.0	4281.0
168.0	3987.0
169.0	4120.0
170.0	4230.0
171.0	4157.0
172.0	4166.0
173.0	4172.0
174.0	4212.0
175.0	4122.0
176.0	4162.0
177.0	4122.0
178.0	4096.0
179.0	4122.0
180.0	4181.0
181.0	4057.0
182.0	4074.0
183.0	4162.0
184.0	4075.0
185.0	4163.0
186.0	4206.0
187.0	4230.0
188.0	4221.0
189.0	4260.0
190.0	4190.0
191.0	4166.0
192.0	4057.0
193.0	4109.0
194.0	4208.0
195.0	4300.0
196.0	4133.0
197.0	4346.0
198.0	4253.0
199.0	4092.0
200.0	4286.0
201.0	4273.0
202.0	4250.0
203.0	4202.0
204.0	4209.0
205.0	4126.0
206.0	4144.0
207.0	4217.0
208.0	4213.0
209.0	4242.0
210.0	4283.0
211.0	4156.0
212.0	4327.0
213.0	4336.0
214.0	4192.0
215.0	4127.0
216.0	4176.0
217.0	4181.0
218.0	4111.0
219.0	4319.0
220.0	4351.0
221.0	4408.0
222.0	4295.0
223.0	4288.0
224.0	4232.0
225.0	4261.0
226.0	4170.0
227.0	4326.0
228.0	4217.0
229.0	4148.0
230.0	4233.0
231.0	4157.0
232.0	4196.0
233.0	4187.0
234.0	4246.0
235.0	4208.0
236.0	4267.0
237.0	4112.0
238.0	4176.0
239.0	4198.0
240.0	4308.0
241.0	4311.0
242.0	4070.0
243.0	4369.0
244.0	4287.0
245.0	4195.0
246.0	4111.0
247.0	4151.0
248.0	4217.0
249.0	4135.0
250.0	4199.0
251.0	4108.0
252.0	4105.0
253.0	4064.0
254.0	4133.0
255.0	4079.0
256.0	4039.0
257.0	3970.0
258.0	4245.0
259.0	4069.0
260.0	4019.0
261.0	4117.0
262.0	4084.0
263.0	3976.0
264.0	4109.0
265.0	3913.0
266.0	3832.0
267.0	3912.0
268.0	3798.0
269.0	3868.0
270.0	3866.0
271.0	3827.0
272.0	3825.0
273.0	3754.0
274.0	3790.0
275.0	3745.0
276.0	3789.0
277.0	3755.0
278.0	3700.0
279.0	3637.0
280.0	3689.0
281.0	3656.0
282.0	3777.0
283.0	3763.0
284.0	3862.0
285.0	3629.0
286.0	3804.0
287.0	3677.0
288.0	3800.0
289.0	3698.0
290.0	3826.0
291.0	3663.0
292.0	3693.0
293.0	3717.0
294.0	3797.0
295.0	3675.0
296.0	3702.0
297.0	3632.0
298.0	3548.0
299.0	3635.0
300.0	3550.0
301.0	3516.0
302.0	3632.0
303.0	3631.0
304.0	3661.0
305.0	3570.0
306.0	3512.0
307.0	3662.0
308.0	3418.0
309.0	3525.0
310.0	3609.0
311.0	3497.0
312.0	3558.0
313.0	3483.0
314.0	3517.0
315.0	3368.0
316.0	3360.0
317.0	3402.0
318.0	3482.0
319.0	3416.0
320.0	3462.0
321.0	3317.0
322.0	3399.0
323.0	3442.0
324.0	3478.0
325.0	3378.0
326.0	3309.0
327.0	3342.0
328.0	3412.0
329.0	3431.0
330.0	3313.0
331.0	3230.0
332.0	3377.0
333.0	3313.0
334.0	3427.0
335.0	3236.0
336.0	3295.0
337.0	3315.0
338.0	3227.0
339.0	3211.0
340.0	3334.0
341.0	3238.0
342.0	3168.0
343.0	3171.0
344.0	3294.0
345.0	3188.0
346.0	3174.0
347.0	3109.0
348.0	3170.0
349.0	3090.0
350.0	3202.0
351.0	3132.0
352.0	3154.0
353.0	3119.0
354.0	3185.0
355.0	3051.0
356.0	3067.0
357.0	2989.0
358.0	2969.0
359.0	3160.0
360.0	2975.0
361.0	3032.0
362.0	2989.0
363.0	3053.0
364.0	3049.0
365.0	3006.0
366.0	2985.0
367.0	2940.0
368.0	2857.0
369.0	2985.0
370.0	2975.0
371.0	2868.0
372.0	2894.0
373.0	2973.0
374.0	2842.0
375.0	2896.0
376.0	2821.0
377.0	2868.0
378.0	2785.0
379.0	2901.0
380.0	2824.0
381.0	2794.0
382.0	2867.0
383.0	2779.0
384.0	2746.0
385.0	2758.0
386.0	2722.0
387.0	2639.0
388.0	2698.0
389.0	2755.0
390.0	2731.0
391.0	2759.0
392.0	2649.0
393.0	2627.0
394.0	2641.0
395.0	2617.0
396.0	2764.0
397.0	2645.0
398.0	2635.0
399.0	2694.0
