#Mapping quality	mapping quality
0.0	82128.0
1.0	253201.0
2.0	42810.0
3.0	31894.0
4.0	24637.0
5.0	22300.0
6.0	21061.0
7.0	19679.0
8.0	21040.0
9.0	24685.0
10.0	27907.0
11.0	28265.0
12.0	15586.0
13.0	13876.0
14.0	11453.0
15.0	11528.0
16.0	10728.0
17.0	10358.0
18.0	9932.0
19.0	10536.0
20.0	12613.0
21.0	14009.0
22.0	14990.0
23.0	16237.0
24.0	16902.0
25.0	16054.0
26.0	16590.0
27.0	16065.0
28.0	15798.0
29.0	16579.0
30.0	15735.0
31.0	15611.0
32.0	17669.0
33.0	18173.0
34.0	18412.0
35.0	19959.0
36.0	22129.0
37.0	24714.0
38.0	31616.0
39.0	45747.0
40.0	89654.0
41.0	245961.0
42.0	999328.0
43.0	4150659.0
44.0	5493270.0
