#Duplication rate	Coverage
1.0	1594064.0
2.0	612366.0
3.0	225328.0
4.0	109407.0
5.0	51022.0
6.0	27631.0
7.0	14969.0
8.0	8902.0
9.0	5289.0
10.0	3449.0
11.0	2232.0
12.0	1582.0
13.0	1139.0
14.0	811.0
15.0	630.0
16.0	532.0
17.0	422.0
18.0	324.0
19.0	297.0
20.0	260.0
21.0	224.0
22.0	175.0
23.0	147.0
24.0	157.0
25.0	120.0
26.0	134.0
27.0	100.0
28.0	113.0
29.0	87.0
30.0	101.0
31.0	70.0
32.0	69.0
33.0	75.0
34.0	57.0
35.0	54.0
36.0	57.0
37.0	63.0
38.0	75.0
39.0	52.0
40.0	45.0
41.0	51.0
42.0	39.0
43.0	47.0
44.0	37.0
45.0	40.0
46.0	30.0
47.0	26.0
48.0	24.0
49.0	22.0
50.0	651.0
