#Coverage (X)	Coverage
1.0	99.17590577690989
2.0	99.16396214394793
3.0	99.12515356246409
4.0	99.09971987574345
5.0	99.06659521325184
6.0	99.02698874444204
7.0	98.97600621200525
8.0	98.91433034427193
9.0	98.84579429066378
10.0	98.76542153744663
11.0	98.67659282370268
12.0	98.57371471250762
13.0	98.45646640380255
14.0	98.32137667643735
15.0	98.16523752982309
16.0	97.98885507692826
17.0	97.77978392059623
18.0	97.55002527328669
19.0	97.29403505193054
20.0	97.00348890628155
21.0	96.67074521442399
22.0	96.29832924861634
23.0	95.88177448496168
24.0	95.40819956724894
25.0	94.88119087562376
26.0	94.28884590533684
27.0	93.62587556823767
28.0	92.89056893067881
29.0	92.09177678402877
30.0	91.20578460085687
31.0	90.25071347166944
32.0	89.20192759707183
33.0	88.073213153954
34.0	86.8485794932264
35.0	85.537453201235
36.0	84.13088477890089
37.0	82.63127611384454
38.0	81.04486224310804
39.0	79.39075133430204
40.0	77.62744502083349
41.0	75.7999951468709
42.0	73.88715487774434
43.0	71.94073753578668
44.0	69.93269367995094
45.0	67.88174487264854
46.0	65.79112379139606
47.0	63.66092091826138
48.0	61.52696715213038
49.0	59.366156663120044
50.0	57.20006531160173
51.0	55.03185174430919
