#GC Content (%)	Sample
1.0	0.0
2.0	0.0
3.0	0.0
4.0	0.0
5.0	0.0
6.0	0.0
7.0	0.0
8.0	0.0
9.0	0.0
10.0	0.0
11.0	0.0
12.0	1.4378455322544699E-6
13.0	1.4378455322544699E-6
14.0	0.0
15.0	0.0
16.0	1.4378455322544699E-6
17.0	2.8756910645089398E-6
18.0	0.0
19.0	1.4378455322544699E-6
20.0	8.62707319352682E-6
21.0	1.43784553225447E-5
22.0	2.588121958058046E-5
23.0	7.045443108046902E-5
24.0	1.969848379188624E-4
25.0	5.205000826761181E-4
26.0	7.89377197207704E-4
27.0	0.0017369174029633998
28.0	0.0036219328957490097
29.0	0.00619567639848451
30.0	0.010602672954844463
31.0	0.016963701589538235
32.0	0.024873289862470074
33.0	0.034273923952349794
34.0	0.04430577223088924
35.0	0.05458205424991193
36.0	0.06411209443769457
37.0	0.07127687872491859
38.0	0.07635966268143814
39.0	0.07851930667088435
40.0	0.07675507020280811
41.0	0.07340057657605843
42.0	0.06699928826646154
43.0	0.059154403042481145
44.0	0.05040798866977721
45.0	0.04174784502900852
46.0	0.03425235626936598
47.0	0.026907841290610152
48.0	0.021025615218157108
49.0	0.01602910199357283
50.0	0.01290466365198387
51.0	0.01121663299711712
52.0	0.00644298583003228
53.0	0.004601105703214303
54.0	0.0029288913492023553
55.0	0.0019195237855597171
56.0	0.0013170665075450945
57.0	8.670208559494454E-4
58.0	5.492569933212074E-4
59.0	3.925318303054703E-4
60.0	3.2926662688627357E-4
61.0	2.7031496006384034E-4
62.0	2.1567682983817047E-4
63.0	1.5097378088671935E-4
64.0	5.3200284693415386E-5
65.0	4.744890256439751E-5
66.0	1.8691991919308112E-5
67.0	1.006491872578129E-5
68.0	4.313536596763409E-6
69.0	1.4378455322544699E-6
70.0	1.4378455322544699E-6
71.0	2.8756910645089398E-6
72.0	1.4378455322544699E-6
73.0	0.0
74.0	1.4378455322544699E-6
75.0	2.8756910645089398E-6
76.0	0.0
77.0	0.0
78.0	0.0
79.0	0.0
80.0	1.4378455322544699E-6
81.0	0.0
82.0	0.0
83.0	0.0
84.0	0.0
85.0	0.0
86.0	2.8756910645089398E-6
87.0	0.0
88.0	0.0
89.0	0.0
90.0	0.0
91.0	0.0
92.0	0.0
93.0	0.0
94.0	0.0
95.0	0.0
96.0	0.0
97.0	0.0
98.0	0.0
99.0	0.0
100.0	5.7513821290178796E-6
