#Mapping quality	mapping quality
0.0	180018.0
1.0	187599.0
2.0	42543.0
3.0	28621.0
4.0	23242.0
5.0	21834.0
6.0	20079.0
7.0	19322.0
8.0	20199.0
9.0	23849.0
10.0	31937.0
11.0	24151.0
12.0	15675.0
13.0	13790.0
14.0	12253.0
15.0	11290.0
16.0	10106.0
17.0	10541.0
18.0	11384.0
19.0	11688.0
20.0	13092.0
21.0	13698.0
22.0	15930.0
23.0	15987.0
24.0	17532.0
25.0	17393.0
26.0	18401.0
27.0	17985.0
28.0	18447.0
29.0	18098.0
30.0	16781.0
31.0	17475.0
32.0	18097.0
33.0	18986.0
34.0	19487.0
35.0	21650.0
36.0	26209.0
37.0	30759.0
38.0	45813.0
39.0	74674.0
40.0	171912.0
41.0	545365.0
42.0	2201018.0
43.0	6320619.0
44.0	1641390.0
