#Duplication rate	Coverage
1.0	1771985.0
2.0	892417.0
3.0	383978.0
4.0	232806.0
5.0	124078.0
6.0	79965.0
7.0	48223.0
8.0	32588.0
9.0	21567.0
10.0	15254.0
11.0	10619.0
12.0	8078.0
13.0	5861.0
14.0	4523.0
15.0	3363.0
16.0	2771.0
17.0	2199.0
18.0	1834.0
19.0	1493.0
20.0	1228.0
21.0	1029.0
22.0	887.0
23.0	711.0
24.0	630.0
25.0	581.0
26.0	523.0
27.0	459.0
28.0	412.0
29.0	353.0
30.0	350.0
31.0	321.0
32.0	245.0
33.0	228.0
34.0	215.0
35.0	220.0
36.0	176.0
37.0	180.0
38.0	182.0
39.0	151.0
40.0	149.0
41.0	149.0
42.0	120.0
43.0	123.0
44.0	106.0
45.0	114.0
46.0	110.0
47.0	102.0
48.0	112.0
49.0	95.0
50.0	2617.0
