#Insert size (bp)	insert size
142.0	2.0
143.0	3.0
144.0	1.0
145.0	6.0
146.0	12.0
147.0	11.0
148.0	11.0
149.0	25.0
150.0	60.0
151.0	18890.0
152.0	37355.0
153.0	36863.0
154.0	36284.0
155.0	36174.0
156.0	36379.0
157.0	35720.0
158.0	36317.0
159.0	36783.0
160.0	36474.0
161.0	36667.0
162.0	36912.0
163.0	36709.0
164.0	36772.0
165.0	36096.0
166.0	35927.0
167.0	35735.0
168.0	35338.0
169.0	35852.0
170.0	35436.0
171.0	36140.0
172.0	35558.0
173.0	35822.0
174.0	36118.0
175.0	35112.0
176.0	34755.0
177.0	34341.0
178.0	34092.0
179.0	33873.0
180.0	34609.0
181.0	34591.0
182.0	34463.0
183.0	34094.0
184.0	34050.0
185.0	34140.0
186.0	33569.0
187.0	32391.0
188.0	32599.0
189.0	32321.0
190.0	32409.0
191.0	32223.0
192.0	32164.0
193.0	32032.0
194.0	31325.0
195.0	31834.0
196.0	31471.0
197.0	30596.0
198.0	29914.0
199.0	29723.0
200.0	29317.0
201.0	29512.0
202.0	29636.0
203.0	29411.0
204.0	28721.0
205.0	28837.0
206.0	28783.0
207.0	27840.0
208.0	27382.0
209.0	27216.0
210.0	26514.0
211.0	26385.0
212.0	26751.0
213.0	26014.0
214.0	25844.0
215.0	25424.0
216.0	25513.0
217.0	24986.0
218.0	23934.0
219.0	23800.0
220.0	23396.0
221.0	23010.0
222.0	22687.0
223.0	22659.0
224.0	22645.0
225.0	21954.0
226.0	22053.0
227.0	22205.0
228.0	21074.0
229.0	20372.0
230.0	20108.0
231.0	19569.0
232.0	19478.0
233.0	19522.0
234.0	19536.0
235.0	19015.0
236.0	18448.0
237.0	18255.0
238.0	18132.0
239.0	17285.0
240.0	17204.0
241.0	17257.0
242.0	16594.0
243.0	16505.0
244.0	16347.0
245.0	16006.0
246.0	15591.0
247.0	15801.0
248.0	15737.0
249.0	14870.0
250.0	14469.0
251.0	14168.0
252.0	14172.0
253.0	13896.0
254.0	13622.0
255.0	13847.0
256.0	13344.0
257.0	13102.0
258.0	13008.0
259.0	12602.0
260.0	12160.0
261.0	12003.0
262.0	12130.0
263.0	11621.0
264.0	11704.0
265.0	11432.0
266.0	10831.0
267.0	10385.0
268.0	10172.0
269.0	9629.0
270.0	9753.0
271.0	9620.0
272.0	9491.0
273.0	9228.0
274.0	9277.0
275.0	9258.0
276.0	9173.0
277.0	9201.0
278.0	9180.0
279.0	9165.0
280.0	8813.0
281.0	8862.0
282.0	8457.0
283.0	8664.0
284.0	8612.0
285.0	8530.0
286.0	8729.0
287.0	8355.0
288.0	8577.0
289.0	8199.0
290.0	8239.0
291.0	8031.0
292.0	8151.0
293.0	8040.0
294.0	7663.0
295.0	7811.0
296.0	8089.0
297.0	8027.0
298.0	7863.0
299.0	7692.0
300.0	7630.0
301.0	7722.0
302.0	7555.0
303.0	7368.0
304.0	7468.0
305.0	7376.0
306.0	7552.0
307.0	7457.0
308.0	7543.0
309.0	7429.0
310.0	7308.0
311.0	7219.0
312.0	7008.0
313.0	6978.0
314.0	6824.0
315.0	6978.0
316.0	6928.0
317.0	7102.0
318.0	6921.0
319.0	6904.0
320.0	6699.0
321.0	6717.0
322.0	6592.0
323.0	6637.0
324.0	6436.0
325.0	6282.0
326.0	6420.0
327.0	6428.0
328.0	6328.0
329.0	6462.0
330.0	6296.0
331.0	6273.0
332.0	6159.0
333.0	6090.0
334.0	6107.0
335.0	6231.0
336.0	5922.0
337.0	5863.0
338.0	5839.0
339.0	5989.0
340.0	6040.0
341.0	5760.0
342.0	5772.0
343.0	5702.0
344.0	5779.0
345.0	5623.0
346.0	5532.0
347.0	5555.0
348.0	5546.0
349.0	5753.0
350.0	5481.0
351.0	5455.0
352.0	5457.0
353.0	5199.0
354.0	5264.0
355.0	5272.0
356.0	5270.0
357.0	5162.0
358.0	5029.0
359.0	5266.0
360.0	5029.0
361.0	5075.0
362.0	5024.0
363.0	4876.0
364.0	4984.0
365.0	4809.0
366.0	4873.0
367.0	4585.0
368.0	4863.0
369.0	4772.0
370.0	4688.0
371.0	4745.0
372.0	4501.0
373.0	4656.0
374.0	4466.0
375.0	4478.0
376.0	4370.0
377.0	4497.0
378.0	4517.0
379.0	4357.0
380.0	4222.0
381.0	4437.0
382.0	4439.0
383.0	4449.0
384.0	4311.0
385.0	4268.0
386.0	4181.0
387.0	4107.0
388.0	4182.0
389.0	4014.0
390.0	4100.0
391.0	4136.0
392.0	3956.0
393.0	4211.0
394.0	4054.0
395.0	3851.0
396.0	3983.0
397.0	3970.0
398.0	3823.0
399.0	3780.0
400.0	3718.0
401.0	3658.0
402.0	3684.0
403.0	3680.0
404.0	3805.0
405.0	3767.0
406.0	3582.0
407.0	3671.0
408.0	3610.0
409.0	3668.0
410.0	3463.0
411.0	3380.0
412.0	3487.0
413.0	3602.0
414.0	3509.0
415.0	3375.0
416.0	3490.0
417.0	3368.0
418.0	3325.0
419.0	3307.0
420.0	3393.0
421.0	3197.0
422.0	3279.0
423.0	3255.0
424.0	3270.0
425.0	3215.0
426.0	3171.0
427.0	3137.0
428.0	3101.0
429.0	3087.0
430.0	3063.0
431.0	2966.0
432.0	3004.0
433.0	2978.0
434.0	2964.0
435.0	3120.0
436.0	3078.0
437.0	2857.0
438.0	2939.0
439.0	2890.0
440.0	2900.0
441.0	2855.0
442.0	2747.0
443.0	2852.0
444.0	2832.0
445.0	2745.0
446.0	2753.0
447.0	2626.0
448.0	2582.0
449.0	2666.0
450.0	2627.0
451.0	2577.0
452.0	2543.0
453.0	2595.0
454.0	2551.0
455.0	2607.0
456.0	2556.0
457.0	2591.0
458.0	2512.0
459.0	2553.0
460.0	2468.0
461.0	2459.0
462.0	2476.0
463.0	2390.0
464.0	2343.0
465.0	2308.0
466.0	2327.0
467.0	2303.0
468.0	2338.0
469.0	2351.0
470.0	2258.0
471.0	2273.0
472.0	2205.0
473.0	2222.0
474.0	2149.0
475.0	2172.0
476.0	2190.0
477.0	2152.0
478.0	2147.0
479.0	2186.0
480.0	2084.0
481.0	2068.0
482.0	2036.0
483.0	2051.0
