#GC Content (%)	Sample
1.0	0.0
2.0	2.4835629525258665E-6
3.0	1.0762106127612086E-5
4.0	9.106397492594845E-6
5.0	1.572923203266382E-5
6.0	1.821279498518969E-5
7.0	3.808129860539662E-5
8.0	4.387627882795697E-5
9.0	4.801555041550008E-5
10.0	5.877765654311218E-5
11.0	6.37447824481639E-5
12.0	8.195757743335359E-5
13.0	1.1176033286366397E-4
14.0	1.0927676991113811E-4
15.0	1.308009821663623E-4
16.0	1.9537361893203484E-4
17.0	2.177256855047676E-4
18.0	2.483562952525866E-4
19.0	3.0051111725562984E-4
20.0	3.7253444287887994E-4
21.0	4.304842451044835E-4
22.0	5.488674125082165E-4
23.0	6.987090439772772E-4
24.0	9.52860319452424E-4
25.0	0.0014859984999279767
26.0	0.0016167994820943392
27.0	0.0024943250586534783
28.0	0.0038238590925723254
29.0	0.005542484655720224
30.0	0.008938343066140593
31.0	0.01380198718150375
32.0	0.021405001233502932
33.0	0.03143942341602494
34.0	0.04406337390371392
35.0	0.05621627528474049
36.0	0.06660750267810871
37.0	0.07368979636439497
38.0	0.07690683824223349
39.0	0.07754842533830267
40.0	0.07513688571140005
41.0	0.07069379158933127
42.0	0.06507266077344774
43.0	0.05752925223230917
44.0	0.049885673318752065
45.0	0.04218662816592188
46.0	0.03488164166822579
47.0	0.02760563007164251
48.0	0.021717930165521187
49.0	0.016958595694164125
50.0	0.013589228621904032
51.0	0.011892955125328866
52.0	0.006893542901894296
53.0	0.005033354250452422
54.0	0.003263401719618989
55.0	0.0021747732920951507
56.0	0.001481031374022925
57.0	9.826630748827345E-4
58.0	7.05331878517346E-4
59.0	4.917454646001215E-4
60.0	4.114435958017852E-4
61.0	3.4190383313106095E-4
62.0	3.1210107770075047E-4
63.0	2.0944714232968138E-4
64.0	8.526899470338808E-5
65.0	5.7121947908094924E-5
66.0	2.7319192477784532E-5
67.0	2.4007775207750042E-5
68.0	1.0762106127612088E-5
69.0	5.7949802225603555E-6
70.0	6.622834540068977E-6
71.0	3.311417270034488E-6
72.0	2.4835629525258665E-6
73.0	5.794980222560355E-6
74.0	1.6557086350172443E-6
75.0	4.139271587543111E-6
76.0	1.6557086350172443E-6
77.0	8.278543175086221E-7
78.0	8.278543175086221E-7
79.0	2.4835629525258665E-6
80.0	1.6557086350172443E-6
81.0	1.6557086350172443E-6
82.0	8.278543175086221E-7
83.0	0.0
84.0	8.278543175086221E-7
85.0	8.278543175086221E-7
86.0	8.278543175086221E-7
87.0	8.278543175086221E-7
88.0	8.278543175086221E-7
89.0	0.0
90.0	8.278543175086221E-7
91.0	0.0
92.0	0.0
93.0	0.0
94.0	0.0
95.0	0.0
96.0	8.278543175086221E-7
97.0	8.278543175086221E-7
98.0	0.0
99.0	0.0
100.0	9.106397492594843E-6
