#Mapping quality	mapping quality
0.0	242129.0
1.0	139595.0
2.0	43364.0
3.0	29116.0
4.0	23912.0
5.0	21627.0
6.0	18828.0
7.0	18397.0
8.0	20588.0
9.0	24474.0
10.0	30773.0
11.0	20477.0
12.0	16036.0
13.0	14509.0
14.0	13459.0
15.0	12458.0
16.0	12183.0
17.0	11724.0
18.0	12874.0
19.0	13357.0
20.0	14975.0
21.0	17015.0
22.0	19292.0
23.0	18280.0
24.0	18192.0
25.0	18952.0
26.0	18465.0
27.0	18344.0
28.0	18092.0
29.0	18758.0
30.0	18811.0
31.0	18583.0
32.0	19608.0
33.0	19682.0
34.0	22738.0
35.0	25146.0
36.0	29642.0
37.0	36583.0
38.0	56952.0
39.0	110250.0
40.0	331360.0
41.0	1227674.0
42.0	4051317.0
43.0	5040518.0
44.0	212729.0
