#Duplication rate	Coverage
1.0	698438.0
2.0	608132.0
3.0	138066.0
4.0	157240.0
5.0	46593.0
6.0	51548.0
7.0	19342.0
8.0	20614.0
9.0	8939.0
10.0	9128.0
11.0	4755.0
12.0	4577.0
13.0	2538.0
14.0	2520.0
15.0	1505.0
16.0	1476.0
17.0	975.0
18.0	948.0
19.0	601.0
20.0	635.0
21.0	418.0
22.0	424.0
23.0	300.0
24.0	295.0
25.0	227.0
26.0	219.0
27.0	184.0
28.0	167.0
29.0	126.0
30.0	129.0
31.0	113.0
32.0	98.0
33.0	97.0
34.0	86.0
35.0	76.0
36.0	73.0
37.0	77.0
38.0	76.0
39.0	51.0
40.0	46.0
41.0	63.0
42.0	45.0
43.0	49.0
44.0	48.0
45.0	42.0
46.0	41.0
47.0	39.0
48.0	49.0
49.0	31.0
50.0	1025.0
