#Coverage (X)	Coverage
1.0	93.5964359936021
2.0	91.78296971195033
3.0	88.29509163571426
4.0	86.70568363109474
5.0	83.98609701898602
6.0	82.50308770056687
7.0	80.17444120125639
8.0	78.75740153597422
9.0	76.72335642408288
10.0	75.3534825931009
11.0	73.47558485346634
12.0	72.13761828988069
13.0	70.42238263139127
14.0	69.10748899511849
15.0	67.47846629604663
16.0	66.1969111889714
17.0	64.65219310024878
18.0	63.391547576499505
19.0	61.9196264242186
20.0	60.68351799215356
21.0	59.264495947020286
22.0	58.06487646524399
23.0	56.72932001492132
24.0	55.5572317587123
25.0	54.273406374297174
26.0	53.1369598271957
27.0	51.89483845043701
28.0	50.77585494243901
29.0	49.56509794066926
30.0	48.481320182724424
31.0	47.30746341337021
32.0	46.234888980559106
33.0	45.11008171764577
34.0	44.06377176145143
35.0	42.96064729226242
36.0	41.941654694929426
37.0	40.8855562241175
38.0	39.88760482039104
39.0	38.85913628285682
40.0	37.88987592029517
41.0	36.907948068228414
42.0	35.97501214310479
43.0	35.01547449002044
44.0	34.10277364553485
45.0	33.17151575148853
46.0	32.28911817410477
47.0	31.404935632290744
48.0	30.558952974412904
49.0	29.712328716417275
50.0	28.90415933727644
51.0	28.08992765958672
