#Insert size (bp)	insert size
139.0	1.0
140.0	1.0
142.0	1.0
143.0	1.0
145.0	2.0
146.0	1.0
147.0	4.0
148.0	5.0
149.0	7.0
150.0	17.0
151.0	7734.0
152.0	14595.0
153.0	15014.0
154.0	15081.0
155.0	14966.0
156.0	14951.0
157.0	14621.0
158.0	14802.0
159.0	14736.0
160.0	14684.0
161.0	14779.0
162.0	15040.0
163.0	14888.0
164.0	14951.0
165.0	14975.0
166.0	15176.0
167.0	15098.0
168.0	15283.0
169.0	15266.0
170.0	15004.0
171.0	15024.0
172.0	15136.0
173.0	15040.0
174.0	15008.0
175.0	15094.0
176.0	15271.0
177.0	15236.0
178.0	15446.0
179.0	15653.0
180.0	15551.0
181.0	15666.0
182.0	15664.0
183.0	15525.0
184.0	15497.0
185.0	15554.0
186.0	15639.0
187.0	16010.0
188.0	15822.0
189.0	16187.0
190.0	16235.0
191.0	16109.0
192.0	15929.0
193.0	15722.0
194.0	15892.0
195.0	16043.0
196.0	15996.0
197.0	16062.0
198.0	16452.0
199.0	16520.0
200.0	16758.0
201.0	17043.0
202.0	16730.0
203.0	16885.0
204.0	16332.0
205.0	16589.0
206.0	16620.0
207.0	16956.0
208.0	16990.0
209.0	17267.0
210.0	17673.0
211.0	17838.0
212.0	18044.0
213.0	17869.0
214.0	17722.0
215.0	17466.0
216.0	17202.0
217.0	17420.0
218.0	17720.0
219.0	18388.0
220.0	18215.0
221.0	18465.0
222.0	18650.0
223.0	18408.0
224.0	18414.0
225.0	18264.0
226.0	17858.0
227.0	17877.0
228.0	18178.0
229.0	18520.0
230.0	19128.0
231.0	19204.0
232.0	18999.0
233.0	19527.0
234.0	19228.0
235.0	18964.0
236.0	18553.0
237.0	18594.0
238.0	18671.0
239.0	18813.0
240.0	19326.0
241.0	19688.0
242.0	19733.0
243.0	20082.0
244.0	19955.0
245.0	19649.0
246.0	19335.0
247.0	19108.0
248.0	19036.0
249.0	19172.0
250.0	19253.0
251.0	19605.0
252.0	20087.0
253.0	20257.0
254.0	19829.0
255.0	19827.0
256.0	19463.0
257.0	18620.0
258.0	18302.0
259.0	17869.0
260.0	18061.0
261.0	17869.0
262.0	17951.0
263.0	17769.0
264.0	17435.0
265.0	15587.0
266.0	12230.0
267.0	8382.0
268.0	6683.0
269.0	6157.0
270.0	5543.0
271.0	5442.0
272.0	4814.0
273.0	2032.0
274.0	1949.0
275.0	1986.0
276.0	1949.0
277.0	1920.0
278.0	1944.0
279.0	1966.0
280.0	1851.0
281.0	1872.0
282.0	1788.0
283.0	1697.0
284.0	1764.0
285.0	1684.0
286.0	1694.0
287.0	1695.0
288.0	1681.0
289.0	1718.0
290.0	1603.0
291.0	1629.0
292.0	1703.0
293.0	1616.0
294.0	1596.0
295.0	1567.0
296.0	1521.0
297.0	1414.0
298.0	1419.0
299.0	1402.0
300.0	1380.0
301.0	1383.0
302.0	1336.0
303.0	1353.0
304.0	1330.0
305.0	1338.0
306.0	1333.0
307.0	1262.0
308.0	1249.0
309.0	1287.0
310.0	1226.0
311.0	1239.0
312.0	1211.0
313.0	1204.0
314.0	1140.0
315.0	1225.0
316.0	1155.0
317.0	1188.0
318.0	1108.0
319.0	1110.0
320.0	1112.0
321.0	1030.0
322.0	1047.0
323.0	1064.0
324.0	1047.0
325.0	1021.0
326.0	980.0
327.0	1037.0
328.0	975.0
329.0	918.0
330.0	956.0
331.0	930.0
332.0	935.0
333.0	970.0
334.0	975.0
335.0	906.0
336.0	863.0
337.0	855.0
338.0	818.0
339.0	809.0
340.0	835.0
341.0	808.0
342.0	772.0
343.0	807.0
344.0	775.0
345.0	768.0
346.0	777.0
347.0	722.0
348.0	753.0
349.0	697.0
350.0	681.0
351.0	706.0
352.0	660.0
353.0	700.0
354.0	687.0
355.0	709.0
356.0	684.0
357.0	678.0
358.0	675.0
359.0	683.0
360.0	592.0
361.0	595.0
362.0	636.0
363.0	566.0
364.0	560.0
365.0	582.0
366.0	539.0
367.0	537.0
368.0	591.0
369.0	583.0
370.0	504.0
371.0	538.0
372.0	517.0
373.0	523.0
374.0	504.0
375.0	504.0
376.0	490.0
377.0	505.0
378.0	505.0
379.0	453.0
380.0	432.0
381.0	468.0
382.0	499.0
383.0	418.0
384.0	455.0
385.0	445.0
386.0	443.0
387.0	418.0
388.0	409.0
389.0	440.0
390.0	426.0
391.0	405.0
392.0	396.0
393.0	394.0
394.0	378.0
395.0	381.0
396.0	356.0
397.0	390.0
398.0	351.0
399.0	350.0
400.0	372.0
401.0	372.0
402.0	352.0
403.0	292.0
404.0	340.0
405.0	339.0
406.0	322.0
407.0	289.0
408.0	311.0
409.0	327.0
410.0	307.0
411.0	291.0
412.0	338.0
413.0	298.0
414.0	284.0
415.0	299.0
416.0	289.0
417.0	311.0
418.0	250.0
419.0	300.0
420.0	287.0
421.0	260.0
422.0	258.0
423.0	272.0
424.0	267.0
425.0	252.0
426.0	272.0
427.0	219.0
428.0	263.0
429.0	205.0
430.0	240.0
431.0	217.0
432.0	227.0
433.0	258.0
434.0	222.0
435.0	227.0
436.0	196.0
437.0	202.0
438.0	216.0
439.0	192.0
440.0	180.0
441.0	204.0
442.0	189.0
443.0	192.0
444.0	153.0
445.0	188.0
446.0	205.0
447.0	209.0
448.0	185.0
449.0	195.0
450.0	178.0
451.0	153.0
452.0	163.0
453.0	166.0
454.0	180.0
455.0	183.0
456.0	161.0
457.0	142.0
458.0	189.0
459.0	155.0
460.0	166.0
461.0	155.0
462.0	167.0
463.0	154.0
464.0	145.0
465.0	161.0
466.0	139.0
467.0	141.0
468.0	119.0
469.0	152.0
470.0	138.0
471.0	145.0
472.0	125.0
473.0	143.0
474.0	127.0
475.0	147.0
476.0	129.0
477.0	138.0
478.0	126.0
479.0	124.0
480.0	118.0
481.0	118.0
482.0	120.0
483.0	142.0
484.0	115.0
485.0	98.0
486.0	134.0
487.0	122.0
488.0	94.0
489.0	109.0
490.0	128.0
491.0	131.0
492.0	109.0
493.0	109.0
494.0	111.0
