#GC Content (%)	Sample
1.0	0.0
2.0	0.0
3.0	0.0
4.0	0.0
5.0	0.0
6.0	0.0
7.0	0.0
8.0	0.0
9.0	0.0
10.0	0.0
11.0	0.0
12.0	0.0
13.0	0.0
14.0	0.0
15.0	2.131709823132036E-6
16.0	0.0
17.0	0.0
18.0	0.0
19.0	0.0
20.0	0.0
21.0	0.0
22.0	2.131709823132036E-6
23.0	6.395129469396108E-6
24.0	0.0
25.0	4.263419646264072E-6
26.0	0.0
27.0	0.0
28.0	6.395129469396108E-6
29.0	2.131709823132036E-6
30.0	1.2790258938792216E-5
31.0	1.7053678585056287E-5
32.0	4.902932593203683E-5
33.0	6.821471434022516E-5
34.0	2.259612412519958E-4
35.0	5.35059165606141E-4
36.0	0.0015923872378796312
37.0	0.0045064345661011244
38.0	0.010302553575197129
39.0	0.019596808404052805
40.0	0.03222292568646386
41.0	0.048901423342648895
42.0	0.06460146619001636
43.0	0.08043367504641799
44.0	0.09213249855576658
45.0	0.09598876162581245
46.0	0.0956327660853494
47.0	0.08956165650906935
48.0	0.07826146273664643
49.0	0.06718509849565237
50.0	0.055919012080399566
51.0	0.047946417341885754
52.0	0.02981196187650152
53.0	0.02456582400177358
54.0	0.017929811322363556
55.0	0.01223814609460102
56.0	0.008835937216882288
57.0	0.006032738799463662
58.0	0.00413551705687615
59.0	0.002839437484411872
60.0	0.0021167878543701117
61.0	0.0014964602958386893
62.0	0.0010573280722734899
63.0	8.526839292528144E-4
64.0	4.817664200278401E-4
65.0	3.5386383063991796E-4
66.0	2.856491162996928E-4
67.0	1.8119533496622307E-4
68.0	1.3856113850358235E-4
69.0	1.3642942868045033E-4
70.0	1.0658549115660181E-4
71.0	8.740010274841348E-5
72.0	7.460984380962126E-5
73.0	7.247813398648921E-5
74.0	7.247813398648924E-5
75.0	4.4765906285772756E-5
76.0	2.9843937523848504E-5
77.0	2.771222770071647E-5
78.0	2.558051787758443E-5
79.0	1.2790258938792215E-5
80.0	2.5580517877584433E-5
81.0	1.9185388408188323E-5
82.0	2.131709823132036E-5
83.0	2.558051787758443E-5
84.0	6.395129469396108E-6
85.0	1.492196876192425E-5
86.0	6.395129469396108E-6
87.0	8.526839292528144E-6
88.0	4.263419646264072E-6
89.0	8.526839292528144E-6
90.0	1.065854911566018E-5
91.0	4.263419646264072E-6
92.0	2.131709823132036E-6
93.0	2.131709823132036E-6
94.0	8.526839292528144E-6
95.0	8.526839292528144E-6
96.0	8.526839292528144E-6
97.0	6.395129469396108E-6
98.0	0.0
99.0	2.131709823132036E-6
100.0	4.4765906285772756E-5
