#Duplication rate	Coverage
1.0	1615524.0
2.0	819782.0
3.0	357444.0
4.0	223340.0
5.0	122345.0
6.0	81905.0
7.0	51211.0
8.0	36686.0
9.0	24887.0
10.0	18295.0
11.0	13314.0
12.0	10069.0
13.0	7527.0
14.0	6002.0
15.0	4689.0
16.0	3674.0
17.0	3029.0
18.0	2446.0
19.0	2026.0
20.0	1686.0
21.0	1354.0
22.0	1231.0
23.0	950.0
24.0	845.0
25.0	705.0
26.0	656.0
27.0	506.0
28.0	454.0
29.0	443.0
30.0	341.0
31.0	287.0
32.0	280.0
33.0	264.0
34.0	217.0
35.0	217.0
36.0	190.0
37.0	172.0
38.0	150.0
39.0	153.0
40.0	133.0
41.0	113.0
42.0	101.0
43.0	99.0
44.0	96.0
45.0	82.0
46.0	68.0
47.0	64.0
48.0	68.0
49.0	54.0
50.0	1461.0
