#Insert size (bp)	insert size
140.0	1.0
141.0	1.0
142.0	1.0
143.0	2.0
144.0	1.0
145.0	2.0
146.0	7.0
147.0	5.0
148.0	3.0
149.0	7.0
150.0	29.0
151.0	9425.0
152.0	18318.0
153.0	18368.0
154.0	18203.0
155.0	18462.0
156.0	18349.0
157.0	18406.0
158.0	18497.0
159.0	18299.0
160.0	17852.0
161.0	18095.0
162.0	18134.0
163.0	18085.0
164.0	18167.0
165.0	17704.0
166.0	18053.0
167.0	18017.0
168.0	17976.0
169.0	17942.0
170.0	17815.0
171.0	17963.0
172.0	17656.0
173.0	17534.0
174.0	17467.0
175.0	17669.0
176.0	17563.0
177.0	17422.0
178.0	17179.0
179.0	17504.0
180.0	17057.0
181.0	17201.0
182.0	16778.0
183.0	16704.0
184.0	16904.0
185.0	16680.0
186.0	16947.0
187.0	16371.0
188.0	16783.0
189.0	16526.0
190.0	16589.0
191.0	16077.0
192.0	16081.0
193.0	16036.0
194.0	15899.0
195.0	16005.0
196.0	15850.0
197.0	15896.0
198.0	15841.0
199.0	15578.0
200.0	15333.0
201.0	15366.0
202.0	15460.0
203.0	15146.0
204.0	14558.0
205.0	14180.0
206.0	14335.0
207.0	14509.0
208.0	14397.0
209.0	14405.0
210.0	13988.0
211.0	14083.0
212.0	14046.0
213.0	13585.0
214.0	13391.0
215.0	13362.0
216.0	13173.0
217.0	12836.0
218.0	13132.0
219.0	12921.0
220.0	12822.0
221.0	12599.0
222.0	12719.0
223.0	12135.0
224.0	12080.0
225.0	11851.0
226.0	11622.0
227.0	11633.0
228.0	11551.0
229.0	11487.0
230.0	11357.0
231.0	11277.0
232.0	11310.0
233.0	10836.0
234.0	10551.0
235.0	10398.0
236.0	10236.0
237.0	10271.0
238.0	10193.0
239.0	10050.0
240.0	10035.0
241.0	9903.0
242.0	9714.0
243.0	9379.0
244.0	9480.0
245.0	9500.0
246.0	9125.0
247.0	9028.0
248.0	8920.0
249.0	8813.0
250.0	8703.0
251.0	8539.0
252.0	8476.0
253.0	8407.0
254.0	8248.0
255.0	8041.0
256.0	7825.0
257.0	7731.0
258.0	7509.0
259.0	7533.0
260.0	7309.0
261.0	7320.0
262.0	7384.0
263.0	7134.0
264.0	6958.0
265.0	6802.0
266.0	6512.0
267.0	6242.0
268.0	6188.0
269.0	6234.0
270.0	6077.0
271.0	6146.0
272.0	5831.0
273.0	5639.0
274.0	5696.0
275.0	5738.0
276.0	5713.0
277.0	5521.0
278.0	5504.0
279.0	5478.0
280.0	5500.0
281.0	5498.0
282.0	5221.0
283.0	5247.0
284.0	5346.0
285.0	5426.0
286.0	5269.0
287.0	5224.0
288.0	5272.0
289.0	5206.0
290.0	5280.0
291.0	5163.0
292.0	5117.0
293.0	5094.0
294.0	5066.0
295.0	4984.0
296.0	4990.0
297.0	4995.0
298.0	4949.0
299.0	4790.0
300.0	4818.0
