#GC Content (%)	Sample
1.0	0.0
2.0	0.0
3.0	0.0
4.0	0.0
5.0	0.0
6.0	0.0
7.0	1.4010213445601843E-6
8.0	0.0
9.0	0.0
10.0	0.0
11.0	1.4010213445601843E-6
12.0	1.4010213445601843E-6
13.0	1.4010213445601843E-6
14.0	5.604085378240737E-6
15.0	7.005106722800922E-6
16.0	5.604085378240737E-6
17.0	9.807149411921291E-6
18.0	9.80714941192129E-6
19.0	3.362451226944442E-5
20.0	7.565515260624995E-5
21.0	1.0927966487569437E-4
22.0	1.9053890286018508E-4
23.0	3.5866146420740724E-4
24.0	5.940330500935181E-4
25.0	0.001307152914474652
26.0	0.0017568807660784712
27.0	0.003338633864086919
28.0	0.0059543407143807835
29.0	0.009525544121664694
30.0	0.015198279545788881
31.0	0.023566580036846863
32.0	0.03339754681162568
33.0	0.04383795787128816
34.0	0.054492725196668375
35.0	0.06363999355530182
36.0	0.07026402247238236
37.0	0.07431997926488411
38.0	0.07496865214741545
39.0	0.07385764222117924
40.0	0.0703789062226363
41.0	0.06540247840675852
42.0	0.05886811485572983
43.0	0.05161222531225263
44.0	0.04405091311566132
45.0	0.036467184577557044
46.0	0.029536331986017805
47.0	0.023140669548100564
48.0	0.018129216198608786
49.0	0.013853299055011103
50.0	0.010722016349919091
51.0	0.00949472165208437
52.0	0.005611090484963539
53.0	0.003992910831996525
54.0	0.0025302445482756927
55.0	0.001626585781034374
56.0	0.0010787864353113419
57.0	7.243280351376153E-4
58.0	5.08570748075347E-4
59.0	3.95088019165972E-4
60.0	2.717981408446758E-4
61.0	2.675950768109952E-4
62.0	2.2136137244050912E-4
63.0	1.358990704223379E-4
64.0	5.8842896471527746E-5
65.0	2.942144823576387E-5
66.0	8.406128067361106E-6
67.0	1.4010213445601842E-5
68.0	5.604085378240737E-6
69.0	1.4010213445601843E-6
70.0	1.4010213445601843E-6
71.0	2.8020426891203687E-6
72.0	5.604085378240737E-6
73.0	0.0
74.0	1.4010213445601843E-6
75.0	2.8020426891203687E-6
76.0	0.0
77.0	0.0
78.0	0.0
79.0	0.0
80.0	2.8020426891203687E-6
81.0	0.0
82.0	0.0
83.0	0.0
84.0	0.0
85.0	0.0
86.0	0.0
87.0	0.0
88.0	1.4010213445601843E-6
89.0	0.0
90.0	0.0
91.0	0.0
92.0	1.4010213445601843E-6
93.0	0.0
94.0	0.0
95.0	0.0
96.0	1.4010213445601843E-6
97.0	0.0
98.0	0.0
99.0	0.0
100.0	9.807149411921291E-6
