#Mapping quality	mapping quality
0.0	197568.0
1.0	167682.0
2.0	45707.0
3.0	31707.0
4.0	24167.0
5.0	21911.0
6.0	20593.0
7.0	19293.0
8.0	20165.0
9.0	24660.0
10.0	30145.0
11.0	21948.0
12.0	15487.0
13.0	13741.0
14.0	12057.0
15.0	12169.0
16.0	11480.0
17.0	11452.0
18.0	12737.0
19.0	12758.0
20.0	14393.0
21.0	15468.0
22.0	16938.0
23.0	16262.0
24.0	17622.0
25.0	16436.0
26.0	16536.0
27.0	16805.0
28.0	16510.0
29.0	16515.0
30.0	17957.0
31.0	17709.0
32.0	17205.0
33.0	17962.0
34.0	19325.0
35.0	21356.0
36.0	24129.0
37.0	31408.0
38.0	53172.0
39.0	114459.0
40.0	336793.0
41.0	1072781.0
42.0	3158949.0
43.0	5357349.0
44.0	909190.0
