#Duplication rate	Coverage
1.0	1066882.0
2.0	906203.0
3.0	319673.0
4.0	314876.0
5.0	141260.0
6.0	137565.0
7.0	72511.0
8.0	68512.0
9.0	40464.0
10.0	38600.0
11.0	24446.0
12.0	22792.0
13.0	15360.0
14.0	14425.0
15.0	10110.0
16.0	9343.0
17.0	6988.0
18.0	6455.0
19.0	4851.0
20.0	4501.0
21.0	3399.0
22.0	3251.0
23.0	2493.0
24.0	2414.0
25.0	1889.0
26.0	1789.0
27.0	1446.0
28.0	1366.0
29.0	1137.0
30.0	1064.0
31.0	925.0
32.0	857.0
33.0	678.0
34.0	673.0
35.0	578.0
36.0	578.0
37.0	488.0
38.0	450.0
39.0	399.0
40.0	347.0
41.0	309.0
42.0	297.0
43.0	258.0
44.0	279.0
45.0	250.0
46.0	230.0
47.0	201.0
48.0	183.0
49.0	188.0
50.0	4353.0
