#Insert size (bp)	insert size
138.0	1.0
140.0	1.0
141.0	1.0
142.0	4.0
143.0	4.0
144.0	1.0
145.0	5.0
146.0	11.0
147.0	8.0
148.0	9.0
149.0	22.0
150.0	50.0
151.0	22362.0
152.0	43590.0
153.0	44494.0
154.0	44156.0
155.0	44348.0
156.0	44397.0
157.0	44265.0
158.0	44255.0
159.0	44156.0
160.0	43532.0
161.0	44113.0
162.0	43453.0
163.0	43899.0
164.0	43790.0
165.0	44431.0
166.0	44865.0
167.0	44654.0
168.0	44420.0
169.0	44748.0
170.0	44322.0
171.0	44568.0
172.0	43619.0
173.0	43793.0
174.0	44055.0
175.0	44112.0
176.0	44462.0
177.0	44468.0
178.0	44738.0
179.0	44657.0
180.0	44940.0
181.0	44143.0
182.0	44152.0
183.0	43839.0
184.0	43958.0
185.0	44115.0
186.0	44523.0
187.0	44270.0
188.0	45229.0
189.0	45175.0
190.0	45642.0
191.0	45233.0
192.0	44616.0
193.0	44360.0
194.0	43635.0
195.0	44394.0
196.0	44710.0
197.0	44764.0
198.0	45425.0
199.0	45062.0
200.0	45320.0
201.0	45898.0
202.0	45701.0
203.0	44525.0
204.0	44314.0
205.0	43747.0
206.0	44221.0
207.0	44374.0
208.0	44963.0
209.0	45478.0
210.0	46146.0
211.0	46162.0
212.0	45812.0
213.0	44998.0
214.0	43910.0
215.0	43745.0
216.0	43442.0
217.0	44195.0
218.0	44328.0
219.0	45645.0
220.0	45554.0
221.0	45139.0
222.0	45562.0
223.0	45051.0
224.0	44944.0
225.0	43587.0
226.0	42906.0
227.0	42888.0
228.0	43677.0
229.0	43583.0
230.0	44197.0
231.0	44324.0
232.0	45059.0
233.0	44164.0
234.0	43265.0
235.0	42946.0
236.0	42196.0
237.0	41077.0
238.0	41326.0
239.0	42184.0
240.0	42668.0
241.0	42624.0
242.0	43177.0
243.0	43162.0
244.0	42338.0
245.0	41796.0
246.0	40763.0
247.0	39657.0
248.0	39206.0
249.0	38688.0
250.0	38969.0
251.0	39370.0
252.0	39710.0
253.0	40132.0
254.0	39070.0
255.0	38158.0
256.0	37381.0
257.0	36391.0
258.0	35067.0
259.0	34195.0
260.0	33857.0
261.0	33552.0
262.0	33440.0
263.0	33743.0
264.0	31762.0
265.0	28358.0
266.0	21737.0
267.0	15702.0
268.0	12805.0
269.0	12025.0
270.0	11425.0
271.0	11063.0
272.0	10106.0
273.0	6055.0
274.0	5972.0
275.0	5947.0
276.0	6155.0
277.0	5848.0
278.0	5755.0
279.0	5821.0
280.0	5649.0
281.0	5588.0
282.0	5567.0
283.0	5382.0
284.0	5521.0
285.0	5281.0
286.0	5187.0
287.0	5210.0
288.0	5210.0
289.0	5103.0
290.0	4971.0
291.0	5039.0
292.0	5003.0
293.0	4759.0
294.0	4836.0
295.0	4680.0
296.0	4863.0
297.0	4627.0
298.0	4470.0
299.0	4425.0
300.0	4375.0
301.0	4466.0
302.0	4374.0
303.0	4243.0
304.0	4280.0
305.0	4082.0
306.0	4391.0
307.0	4261.0
308.0	3951.0
309.0	4087.0
310.0	4015.0
311.0	3897.0
312.0	3938.0
313.0	3862.0
314.0	3775.0
315.0	3807.0
316.0	3599.0
317.0	3532.0
318.0	3620.0
319.0	3554.0
320.0	3465.0
321.0	3490.0
322.0	3504.0
323.0	3398.0
324.0	3302.0
325.0	3332.0
326.0	3303.0
327.0	3256.0
328.0	3237.0
329.0	3143.0
330.0	3124.0
331.0	3145.0
332.0	2997.0
333.0	2989.0
334.0	3046.0
335.0	2816.0
336.0	2887.0
337.0	2746.0
338.0	2920.0
339.0	2725.0
340.0	2769.0
341.0	2797.0
342.0	2725.0
343.0	2609.0
344.0	2624.0
345.0	2535.0
346.0	2631.0
347.0	2634.0
348.0	2477.0
349.0	2383.0
350.0	2382.0
351.0	2478.0
352.0	2276.0
353.0	2371.0
354.0	2360.0
355.0	2325.0
356.0	2333.0
357.0	2320.0
358.0	2181.0
359.0	2231.0
360.0	2250.0
361.0	2185.0
362.0	2105.0
363.0	2096.0
364.0	2060.0
365.0	2049.0
366.0	2007.0
367.0	2046.0
368.0	1962.0
369.0	2058.0
370.0	2002.0
371.0	1880.0
372.0	1911.0
373.0	1867.0
374.0	1771.0
375.0	1857.0
376.0	1744.0
377.0	1766.0
378.0	1686.0
379.0	1735.0
380.0	1695.0
381.0	1677.0
382.0	1739.0
383.0	1663.0
384.0	1599.0
385.0	1672.0
386.0	1549.0
387.0	1613.0
388.0	1568.0
389.0	1503.0
390.0	1482.0
