#GC Content (%)	Sample
1.0	0.0
2.0	0.0
3.0	0.0
4.0	0.0
5.0	0.0
6.0	0.0
7.0	0.0
8.0	0.0
9.0	0.0
10.0	0.0
11.0	0.0
12.0	0.0
13.0	0.0
14.0	0.0
15.0	7.777755308706886E-7
16.0	1.5555510617413772E-6
17.0	0.0
18.0	0.0
19.0	3.1111021234827545E-6
20.0	3.1111021234827545E-6
21.0	7.777755308706886E-7
22.0	7.777755308706886E-7
23.0	1.5555510617413772E-6
24.0	7.777755308706886E-7
25.0	1.2444408493931018E-5
26.0	0.0
27.0	6.222204246965509E-6
28.0	2.333326592612066E-6
29.0	8.555530839577575E-6
30.0	1.2444408493931018E-5
31.0	2.0999939333508593E-5
32.0	5.599983822268958E-5
33.0	1.5555510617413772E-4
34.0	5.242207078068441E-4
35.0	0.001848772436879627
36.0	0.00503765211344945
37.0	0.01124974527851364
38.0	0.02160660424758773
39.0	0.03591456291348492
40.0	0.052173182610805786
41.0	0.06879113460338893
42.0	0.08404953496801008
43.0	0.09356406303715122
44.0	0.09782082851760651
45.0	0.09481083721313695
46.0	0.08755419151011343
47.0	0.07740266528118919
48.0	0.06406225937569514
49.0	0.05156185104354143
50.0	0.04114043670540508
51.0	0.03424312329764381
52.0	0.02052238515755399
53.0	0.016395508190754114
54.0	0.0114869668154292
55.0	0.007933310414881024
56.0	0.005589094964836768
57.0	0.003918433124526529
58.0	0.0028715472599745826
59.0	0.002053327401498618
60.0	0.0013945515268511447
61.0	0.001108330131490731
62.0	8.765530232912661E-4
63.0	5.732205662516975E-4
64.0	3.8966554096621505E-4
65.0	2.7533253792822376E-4
66.0	2.0066608696463767E-4
67.0	1.563328817050084E-4
68.0	1.011108190131895E-4
69.0	9.255528817361195E-5
70.0	5.755538928443096E-5
71.0	4.6666531852241315E-5
72.0	4.04443276052758E-5
73.0	2.4111041456991347E-5
74.0	2.7222143580474097E-5
75.0	2.0999939333508593E-5
76.0	1.3999959555672395E-5
77.0	1.7111061679155154E-5
78.0	1.2444408493931018E-5
79.0	9.333306370448263E-6
80.0	9.333306370448263E-6
81.0	1.0111081901318952E-5
82.0	6.9999797778361966E-6
83.0	1.3999959555672395E-5
84.0	5.44442871609482E-6
85.0	1.0888857432189641E-5
86.0	4.666653185224131E-6
87.0	4.666653185224131E-6
88.0	8.555530839577575E-6
89.0	2.333326592612066E-6
90.0	1.5555510617413772E-6
91.0	5.44442871609482E-6
92.0	2.333326592612066E-6
93.0	7.777755308706886E-7
94.0	3.888877654353443E-6
95.0	1.5555510617413772E-6
96.0	5.44442871609482E-6
97.0	2.333326592612066E-6
98.0	3.1111021234827545E-6
99.0	0.0
100.0	4.5110980790499936E-5
