#Mapping quality	mapping quality
0.0	369317.0
1.0	88213.0
2.0	36275.0
3.0	24961.0
4.0	22426.0
5.0	22003.0
6.0	20675.0
7.0	21106.0
8.0	25730.0
9.0	28383.0
10.0	24266.0
11.0	23149.0
12.0	17012.0
13.0	15742.0
14.0	15174.0
15.0	14492.0
16.0	15050.0
17.0	16382.0
18.0	16649.0
19.0	18064.0
20.0	18365.0
21.0	17453.0
22.0	117361.0
23.0	50965.0
24.0	77398.0
25.0	80155.0
26.0	103318.0
27.0	101148.0
28.0	134061.0
29.0	174222.0
30.0	175681.0
31.0	196849.0
32.0	252397.0
33.0	327740.0
34.0	401857.0
35.0	495372.0
36.0	672670.0
37.0	824283.0
38.0	1077717.0
39.0	1347928.0
40.0	1592869.0
41.0	1435663.0
42.0	756245.0
43.0	181780.0
44.0	397538.0
