#Coverage	Number of genomic locations
0.0	114628.0
1.0	18784.0
2.0	35120.0
3.0	40274.0
4.0	56322.0
5.0	69043.0
6.0	91146.0
7.0	111663.0
8.0	136591.0
9.0	165881.0
10.0	202204.0
11.0	239222.0
12.0	279959.0
13.0	316518.0
14.0	354338.0
15.0	391191.0
16.0	426662.0
17.0	453016.0
18.0	475526.0
19.0	494627.0
20.0	505218.0
21.0	510533.0
22.0	513731.0
23.0	502279.0
24.0	489348.0
25.0	472486.0
26.0	448578.0
27.0	421849.0
28.0	399802.0
29.0	368306.0
30.0	341517.0
31.0	313141.0
32.0	284578.0
33.0	257947.0
34.0	232152.0
35.0	209401.0
36.0	183728.0
37.0	160443.0
38.0	141745.0
39.0	125949.0
40.0	109152.0
41.0	93947.0
42.0	82217.0
43.0	69190.0
44.0	60171.0
45.0	50393.0
46.0	44365.0
47.0	37374.0
48.0	32057.0
49.0	26982.0
50.0	23799.0
51.0	20184.0
52.0	17059.0
53.0	14871.0
54.0	12813.0
55.0	10816.0
56.0	9069.0
57.0	8038.0
58.0	6933.0
59.0	6089.0
60.0	5472.0
61.0	4679.0
62.0	4242.0
63.0	3614.0
64.0	2899.0
65.0	2602.0
66.0	2287.0
67.0	1976.0
68.0	1677.0
69.0	1454.0
70.0	1365.0
71.0	1103.0
72.0	1161.0
73.0	886.0
74.0	809.0
75.0	712.0
76.0	575.0
77.0	602.0
78.0	564.0
79.0	472.0
80.0	403.0
81.0	408.0
82.0	287.0
83.0	278.0
84.0	303.0
85.0	326.0
86.0	290.0
87.0	274.0
88.0	251.0
89.0	241.0
90.0	217.0
91.0	184.0
92.0	196.0
93.0	153.0
94.0	189.0
95.0	161.0
96.0	185.0
97.0	146.0
98.0	169.0
99.0	198.0
100.0	108.0
101.0	134.0
102.0	118.0
103.0	115.0
104.0	99.0
105.0	89.0
106.0	91.0
107.0	104.0
108.0	84.0
109.0	102.0
110.0	110.0
111.0	91.0
112.0	85.0
113.0	98.0
114.0	57.0
115.0	56.0
116.0	57.0
117.0	63.0
118.0	76.0
119.0	63.0
120.0	47.0
121.0	32.0
122.0	50.0
123.0	37.0
124.0	45.0
125.0	44.0
126.0	49.0
127.0	24.0
128.0	33.0
129.0	61.0
130.0	32.0
131.0	38.0
132.0	25.0
133.0	22.0
134.0	59.0
135.0	43.0
136.0	36.0
137.0	55.0
138.0	23.0
139.0	27.0
140.0	21.0
141.0	29.0
142.0	23.0
143.0	37.0
144.0	34.0
145.0	32.0
146.0	32.0
147.0	65.0
148.0	23.0
149.0	19.0
150.0	46.0
151.0	32.0
152.0	20.0
153.0	25.0
154.0	20.0
155.0	40.0
156.0	30.0
157.0	26.0
158.0	48.0
159.0	29.0
160.0	42.0
161.0	31.0
162.0	25.0
163.0	30.0
164.0	16.0
165.0	24.0
166.0	12.0
167.0	13.0
168.0	13.0
169.0	34.0
170.0	23.0
171.0	33.0
172.0	34.0
173.0	32.0
174.0	16.0
175.0	16.0
176.0	10.0
177.0	27.0
178.0	23.0
179.0	27.0
180.0	39.0
181.0	21.0
182.0	31.0
183.0	44.0
184.0	21.0
185.0	27.0
186.0	37.0
187.0	13.0
188.0	20.0
189.0	11.0
190.0	12.0
191.0	22.0
192.0	22.0
193.0	21.0
194.0	15.0
195.0	23.0
196.0	19.0
197.0	11.0
198.0	19.0
199.0	18.0
200.0	17.0
201.0	18.0
202.0	15.0
203.0	15.0
204.0	11.0
205.0	11.0
206.0	14.0
207.0	8.0
208.0	7.0
209.0	12.0
210.0	11.0
211.0	16.0
212.0	7.0
213.0	7.0
214.0	13.0
215.0	10.0
216.0	10.0
217.0	10.0
218.0	14.0
219.0	16.0
220.0	13.0
221.0	17.0
222.0	10.0
223.0	11.0
224.0	9.0
225.0	12.0
226.0	15.0
227.0	16.0
228.0	17.0
229.0	9.0
230.0	13.0
231.0	13.0
232.0	6.0
233.0	5.0
234.0	11.0
235.0	7.0
236.0	8.0
237.0	7.0
238.0	7.0
239.0	9.0
240.0	5.0
241.0	3.0
242.0	7.0
243.0	4.0
244.0	2.0
245.0	2.0
246.0	3.0
247.0	2.0
248.0	4.0
249.0	1.0
250.0	4.0
251.0	9.0
252.0	1.0
253.0	6.0
254.0	6.0
255.0	5.0
256.0	6.0
257.0	6.0
258.0	6.0
259.0	4.0
260.0	7.0
261.0	2.0
262.0	3.0
263.0	5.0
264.0	1.0
265.0	1.0
266.0	6.0
267.0	5.0
268.0	1.0
269.0	2.0
270.0	2.0
271.0	2.0
273.0	1.0
274.0	1.0
275.0	3.0
276.0	1.0
277.0	1.0
278.0	1.0
279.0	1.0
280.0	3.0
281.0	2.0
283.0	3.0
284.0	1.0
285.0	2.0
286.0	1.0
288.0	1.0
292.0	3.0
293.0	1.0
296.0	2.0
298.0	1.0
300.0	2.0
302.0	1.0
303.0	2.0
304.0	3.0
305.0	2.0
306.0	6.0
307.0	2.0
308.0	3.0
309.0	1.0
310.0	1.0
311.0	1.0
312.0	4.0
313.0	6.0
314.0	4.0
315.0	5.0
316.0	2.0
317.0	2.0
318.0	1.0
319.0	1.0
320.0	1.0
321.0	1.0
322.0	1.0
323.0	1.0
324.0	2.0
325.0	6.0
326.0	2.0
327.0	1.0
328.0	5.0
329.0	2.0
330.0	1.0
331.0	4.0
333.0	2.0
334.0	2.0
335.0	1.0
336.0	3.0
337.0	2.0
338.0	5.0
339.0	3.0
340.0	4.0
341.0	1.0
342.0	1.0
343.0	2.0
346.0	2.0
348.0	3.0
350.0	1.0
351.0	4.0
352.0	6.0
353.0	9.0
354.0	6.0
355.0	5.0
356.0	7.0
357.0	3.0
358.0	3.0
359.0	3.0
360.0	3.0
361.0	3.0
362.0	3.0
363.0	1.0
364.0	1.0
365.0	3.0
366.0	3.0
367.0	11.0
368.0	3.0
369.0	2.0
370.0	5.0
371.0	4.0
372.0	8.0
373.0	9.0
374.0	9.0
375.0	7.0
376.0	6.0
377.0	3.0
378.0	11.0
379.0	7.0
380.0	5.0
381.0	6.0
382.0	5.0
383.0	9.0
384.0	4.0
385.0	9.0
386.0	11.0
387.0	8.0
388.0	7.0
389.0	9.0
390.0	11.0
391.0	10.0
392.0	10.0
393.0	6.0
394.0	6.0
395.0	11.0
396.0	8.0
397.0	15.0
398.0	5.0
399.0	14.0
400.0	9.0
401.0	11.0
402.0	11.0
403.0	11.0
405.0	6.0
406.0	10.0
407.0	6.0
408.0	7.0
409.0	8.0
410.0	11.0
411.0	7.0
412.0	6.0
