#Insert size (bp)	insert size
142.0	1.0
144.0	1.0
145.0	1.0
147.0	2.0
148.0	3.0
149.0	3.0
150.0	13.0
151.0	4744.0
152.0	8991.0
153.0	9424.0
154.0	9118.0
155.0	9297.0
156.0	9290.0
157.0	9197.0
158.0	9133.0
159.0	9258.0
160.0	9149.0
161.0	9272.0
162.0	9385.0
163.0	9053.0
164.0	9219.0
165.0	8945.0
166.0	9087.0
167.0	9074.0
168.0	8973.0
169.0	9019.0
170.0	8900.0
171.0	9040.0
172.0	8969.0
173.0	9124.0
174.0	8877.0
175.0	8925.0
176.0	8747.0
177.0	8787.0
178.0	8450.0
179.0	8580.0
180.0	8749.0
181.0	8722.0
182.0	8608.0
183.0	8710.0
184.0	8790.0
185.0	8669.0
186.0	8509.0
187.0	8330.0
188.0	8404.0
189.0	8411.0
190.0	8331.0
191.0	8469.0
192.0	8294.0
193.0	8146.0
194.0	8265.0
195.0	8326.0
196.0	8368.0
197.0	8046.0
198.0	7784.0
199.0	7995.0
200.0	7942.0
201.0	7853.0
202.0	7660.0
203.0	7918.0
204.0	7837.0
205.0	7637.0
206.0	7997.0
207.0	7780.0
208.0	7437.0
209.0	7275.0
210.0	7274.0
211.0	7028.0
212.0	7247.0
213.0	7261.0
214.0	7116.0
215.0	7131.0
216.0	7160.0
217.0	7046.0
218.0	6843.0
219.0	6851.0
220.0	6702.0
221.0	6449.0
222.0	6425.0
223.0	6375.0
224.0	6623.0
225.0	6315.0
226.0	6418.0
227.0	6394.0
228.0	6215.0
229.0	6147.0
230.0	6113.0
231.0	6000.0
232.0	5772.0
233.0	5764.0
234.0	5672.0
235.0	5723.0
236.0	5483.0
237.0	5593.0
238.0	5454.0
239.0	5326.0
240.0	5185.0
241.0	5117.0
242.0	5005.0
243.0	4856.0
244.0	4930.0
245.0	4860.0
246.0	4813.0
247.0	4614.0
248.0	4904.0
249.0	4382.0
250.0	4240.0
251.0	4152.0
252.0	4185.0
253.0	4104.0
254.0	3990.0
255.0	4074.0
256.0	3856.0
257.0	3780.0
258.0	3781.0
259.0	3810.0
260.0	3597.0
261.0	3421.0
262.0	3373.0
263.0	3306.0
264.0	3262.0
265.0	3032.0
266.0	2896.0
267.0	2707.0
268.0	2588.0
269.0	2682.0
270.0	2536.0
271.0	2557.0
272.0	2385.0
273.0	2120.0
274.0	2226.0
275.0	2186.0
276.0	2341.0
277.0	2183.0
278.0	2213.0
279.0	2133.0
280.0	2231.0
281.0	2166.0
282.0	2165.0
283.0	2113.0
284.0	2099.0
285.0	2007.0
286.0	2014.0
287.0	2052.0
288.0	2039.0
289.0	2114.0
290.0	2093.0
291.0	2025.0
292.0	1901.0
293.0	1909.0
294.0	2028.0
295.0	1926.0
296.0	1935.0
297.0	1921.0
298.0	1925.0
299.0	1818.0
300.0	1782.0
301.0	1845.0
302.0	1832.0
303.0	1815.0
304.0	1839.0
305.0	1834.0
306.0	1797.0
307.0	1851.0
308.0	1716.0
309.0	1779.0
310.0	1724.0
311.0	1761.0
312.0	1815.0
313.0	1731.0
314.0	1739.0
315.0	1652.0
316.0	1671.0
317.0	1656.0
318.0	1685.0
319.0	1695.0
320.0	1591.0
321.0	1622.0
322.0	1648.0
323.0	1599.0
324.0	1590.0
325.0	1542.0
326.0	1525.0
327.0	1521.0
328.0	1542.0
329.0	1540.0
330.0	1573.0
331.0	1546.0
332.0	1509.0
333.0	1466.0
334.0	1518.0
335.0	1440.0
336.0	1369.0
337.0	1412.0
338.0	1487.0
339.0	1403.0
340.0	1426.0
341.0	1301.0
342.0	1387.0
343.0	1390.0
344.0	1315.0
345.0	1359.0
346.0	1419.0
347.0	1326.0
348.0	1337.0
349.0	1334.0
350.0	1359.0
351.0	1263.0
352.0	1263.0
353.0	1189.0
354.0	1256.0
355.0	1227.0
356.0	1241.0
357.0	1213.0
358.0	1187.0
359.0	1185.0
360.0	1183.0
361.0	1232.0
362.0	1135.0
363.0	1131.0
364.0	1270.0
