#GC Content (%)	Sample
1.0	0.0
2.0	0.0
3.0	0.0
4.0	0.0
5.0	0.0
6.0	0.0
7.0	0.0
8.0	0.0
9.0	0.0
10.0	6.654178990760673E-6
11.0	0.0
12.0	0.0
13.0	0.0
14.0	0.0
15.0	0.0
16.0	0.0
17.0	0.0
18.0	0.0
19.0	0.0
20.0	9.981268486141009E-6
21.0	0.0
22.0	0.0
23.0	9.981268486141009E-6
24.0	1.3308357981521346E-5
25.0	7.652305839374774E-5
26.0	1.3308357981521346E-4
27.0	3.2938186004265326E-4
28.0	9.814914011371993E-4
29.0	0.0019929266077328214
30.0	0.004341851791471339
31.0	0.00879349753629023
32.0	0.014383007888529191
33.0	0.022810525580327583
34.0	0.03295814854123761
35.0	0.04321889254499057
36.0	0.055961645312297255
37.0	0.06582313857660457
38.0	0.07477633640867305
39.0	0.08092479779613591
40.0	0.08359312357143095
41.0	0.08179649524392557
42.0	0.0763600310084741
43.0	0.0693199096362493
44.0	0.05961811666772025
45.0	0.05030559317015069
46.0	0.04036092266845886
47.0	0.032841700408899305
48.0	0.02590804590052668
49.0	0.019693042723156213
50.0	0.01504509869810988
51.0	0.0134680582772996
52.0	0.007891856283042157
53.0	0.00564274378416505
54.0	0.003553331581066199
55.0	0.0022624208568586286
56.0	0.0015670591523241385
57.0	9.748372221464385E-4
58.0	6.920346150391099E-4
59.0	4.5913835036248647E-4
60.0	3.5267148651031563E-4
61.0	2.8945678609808924E-4
62.0	1.7300865375977748E-4
63.0	1.1977522183369209E-4
64.0	4.6579252935324706E-5
65.0	2.3289626467662353E-5
66.0	1.6635447476901683E-5
67.0	2.661671596304269E-5
68.0	9.981268486141009E-6
69.0	0.0
70.0	3.3270894953803364E-6
71.0	0.0
72.0	0.0
73.0	9.981268486141009E-6
74.0	3.3270894953803364E-6
75.0	0.0
76.0	0.0
77.0	3.3270894953803364E-6
78.0	0.0
79.0	0.0
80.0	3.3270894953803364E-6
81.0	0.0
82.0	3.3270894953803364E-6
83.0	0.0
84.0	0.0
85.0	0.0
86.0	0.0
87.0	0.0
88.0	0.0
89.0	0.0
90.0	0.0
91.0	0.0
92.0	0.0
93.0	0.0
94.0	0.0
95.0	0.0
96.0	0.0
97.0	0.0
98.0	0.0
99.0	0.0
100.0	1.6635447476901683E-5
