#Mapping quality	mapping quality
0.0	232323.0
1.0	168709.0
2.0	39536.0
3.0	27072.0
4.0	22169.0
5.0	20315.0
6.0	19910.0
7.0	19333.0
8.0	21390.0
9.0	26584.0
10.0	24265.0
11.0	27736.0
12.0	14788.0
13.0	13799.0
14.0	12972.0
15.0	12587.0
16.0	12275.0
17.0	13126.0
18.0	14459.0
19.0	15664.0
20.0	15452.0
21.0	16123.0
22.0	18844.0
23.0	16817.0
24.0	18006.0
25.0	18167.0
26.0	18982.0
27.0	18702.0
28.0	20864.0
29.0	20563.0
30.0	21847.0
31.0	21637.0
32.0	25212.0
33.0	34280.0
34.0	44552.0
35.0	56655.0
36.0	108555.0
37.0	167021.0
38.0	316475.0
39.0	523453.0
40.0	1040170.0
41.0	1636744.0
42.0	2226739.0
43.0	3071417.0
44.0	1806188.0
