#Coverage	Number of genomic locations
0.0	653408.0
1.0	655460.0
2.0	1211401.0
3.0	1211224.0
4.0	1443926.0
5.0	1275779.0
6.0	1246027.0
7.0	996321.0
8.0	868350.0
9.0	660295.0
10.0	534391.0
11.0	386626.0
12.0	289923.0
13.0	207534.0
14.0	150163.0
15.0	105300.0
16.0	73503.0
17.0	50228.0
18.0	36183.0
19.0	24124.0
20.0	18010.0
21.0	11840.0
22.0	7730.0
23.0	5191.0
24.0	3755.0
25.0	2636.0
26.0	1815.0
27.0	1207.0
28.0	1057.0
29.0	774.0
30.0	488.0
31.0	464.0
32.0	331.0
33.0	270.0
34.0	272.0
35.0	223.0
36.0	237.0
37.0	200.0
38.0	138.0
39.0	142.0
40.0	139.0
41.0	201.0
42.0	142.0
43.0	123.0
44.0	125.0
45.0	115.0
46.0	125.0
47.0	160.0
48.0	94.0
49.0	128.0
50.0	106.0
51.0	84.0
52.0	99.0
53.0	73.0
54.0	56.0
55.0	39.0
56.0	60.0
57.0	49.0
58.0	32.0
59.0	59.0
60.0	49.0
61.0	72.0
62.0	61.0
63.0	45.0
64.0	64.0
65.0	63.0
66.0	40.0
67.0	49.0
68.0	35.0
69.0	35.0
70.0	42.0
71.0	38.0
72.0	28.0
73.0	42.0
74.0	33.0
75.0	40.0
76.0	17.0
77.0	21.0
78.0	18.0
79.0	57.0
80.0	52.0
81.0	43.0
82.0	46.0
83.0	58.0
84.0	57.0
85.0	73.0
86.0	82.0
87.0	80.0
88.0	99.0
89.0	79.0
90.0	72.0
91.0	91.0
92.0	53.0
93.0	60.0
94.0	77.0
95.0	96.0
96.0	79.0
97.0	67.0
98.0	67.0
99.0	95.0
100.0	102.0
101.0	108.0
102.0	111.0
103.0	91.0
104.0	105.0
105.0	58.0
106.0	100.0
107.0	108.0
108.0	100.0
109.0	112.0
110.0	118.0
111.0	115.0
112.0	126.0
113.0	97.0
114.0	82.0
115.0	100.0
116.0	102.0
117.0	86.0
118.0	91.0
119.0	122.0
120.0	99.0
121.0	130.0
122.0	108.0
123.0	160.0
124.0	126.0
125.0	135.0
126.0	156.0
127.0	183.0
128.0	131.0
129.0	122.0
130.0	155.0
131.0	152.0
132.0	154.0
133.0	184.0
134.0	160.0
135.0	182.0
136.0	201.0
137.0	148.0
138.0	158.0
139.0	147.0
140.0	148.0
141.0	151.0
142.0	148.0
143.0	180.0
144.0	203.0
145.0	169.0
146.0	182.0
147.0	181.0
148.0	185.0
149.0	202.0
150.0	221.0
151.0	212.0
152.0	147.0
153.0	171.0
154.0	166.0
155.0	196.0
156.0	179.0
157.0	148.0
158.0	139.0
159.0	163.0
160.0	153.0
161.0	158.0
162.0	109.0
163.0	157.0
164.0	121.0
165.0	120.0
166.0	115.0
167.0	97.0
168.0	108.0
169.0	108.0
170.0	98.0
171.0	83.0
172.0	97.0
173.0	83.0
174.0	91.0
175.0	110.0
176.0	113.0
177.0	105.0
178.0	98.0
179.0	81.0
180.0	94.0
181.0	111.0
182.0	76.0
183.0	81.0
184.0	89.0
185.0	77.0
186.0	95.0
187.0	88.0
188.0	115.0
189.0	103.0
190.0	90.0
191.0	82.0
192.0	69.0
193.0	90.0
194.0	76.0
195.0	61.0
196.0	77.0
197.0	86.0
198.0	70.0
199.0	69.0
200.0	65.0
201.0	75.0
202.0	67.0
203.0	76.0
204.0	77.0
205.0	86.0
206.0	71.0
207.0	64.0
208.0	51.0
209.0	53.0
210.0	64.0
211.0	63.0
212.0	59.0
213.0	45.0
214.0	67.0
215.0	57.0
216.0	38.0
217.0	26.0
218.0	38.0
219.0	24.0
220.0	23.0
221.0	23.0
222.0	36.0
223.0	46.0
224.0	28.0
225.0	27.0
226.0	17.0
227.0	39.0
228.0	23.0
229.0	23.0
230.0	29.0
231.0	22.0
232.0	24.0
233.0	32.0
234.0	27.0
235.0	42.0
236.0	35.0
237.0	24.0
238.0	20.0
239.0	21.0
240.0	29.0
241.0	22.0
242.0	20.0
243.0	21.0
244.0	22.0
245.0	19.0
246.0	28.0
247.0	22.0
248.0	37.0
249.0	15.0
250.0	32.0
251.0	26.0
252.0	17.0
253.0	19.0
254.0	27.0
255.0	30.0
256.0	14.0
257.0	30.0
258.0	18.0
259.0	19.0
260.0	22.0
261.0	16.0
262.0	17.0
263.0	14.0
264.0	11.0
265.0	12.0
266.0	16.0
267.0	20.0
268.0	21.0
269.0	21.0
270.0	9.0
271.0	21.0
272.0	28.0
273.0	21.0
274.0	26.0
275.0	17.0
276.0	16.0
277.0	12.0
278.0	13.0
279.0	20.0
280.0	11.0
281.0	11.0
282.0	15.0
283.0	10.0
284.0	18.0
285.0	9.0
286.0	18.0
287.0	19.0
288.0	10.0
289.0	17.0
290.0	9.0
291.0	12.0
292.0	9.0
293.0	8.0
294.0	17.0
295.0	8.0
296.0	10.0
297.0	15.0
298.0	15.0
299.0	12.0
300.0	11.0
301.0	8.0
302.0	7.0
303.0	8.0
304.0	19.0
305.0	11.0
306.0	12.0
307.0	15.0
308.0	6.0
309.0	15.0
310.0	6.0
311.0	10.0
312.0	8.0
313.0	9.0
314.0	6.0
315.0	8.0
316.0	6.0
317.0	6.0
318.0	11.0
319.0	7.0
320.0	5.0
321.0	5.0
322.0	6.0
323.0	10.0
324.0	6.0
326.0	5.0
327.0	3.0
328.0	4.0
329.0	7.0
330.0	4.0
331.0	9.0
332.0	8.0
333.0	2.0
334.0	9.0
335.0	5.0
336.0	4.0
337.0	5.0
338.0	3.0
339.0	8.0
340.0	7.0
341.0	3.0
342.0	1.0
343.0	1.0
344.0	1.0
345.0	1.0
347.0	3.0
348.0	2.0
349.0	1.0
350.0	7.0
351.0	2.0
352.0	2.0
353.0	2.0
354.0	3.0
355.0	2.0
356.0	2.0
357.0	2.0
358.0	1.0
359.0	2.0
360.0	1.0
363.0	1.0
364.0	3.0
366.0	2.0
370.0	1.0
372.0	1.0
373.0	4.0
374.0	3.0
376.0	1.0
377.0	3.0
380.0	1.0
382.0	2.0
384.0	1.0
387.0	2.0
388.0	1.0
389.0	1.0
390.0	2.0
391.0	1.0
392.0	2.0
393.0	4.0
394.0	1.0
395.0	1.0
396.0	1.0
397.0	1.0
401.0	1.0
402.0	3.0
403.0	1.0
404.0	1.0
405.0	2.0
406.0	1.0
407.0	1.0
410.0	2.0
411.0	1.0
412.0	1.0
414.0	2.0
416.0	1.0
417.0	1.0
418.0	1.0
420.0	3.0
421.0	1.0
422.0	1.0
423.0	2.0
429.0	1.0
430.0	3.0
443.0	1.0
444.0	4.0
445.0	2.0
447.0	2.0
448.0	3.0
449.0	1.0
450.0	2.0
451.0	6.0
452.0	3.0
453.0	4.0
454.0	2.0
455.0	3.0
456.0	2.0
457.0	1.0
458.0	3.0
459.0	1.0
460.0	4.0
462.0	1.0
463.0	6.0
464.0	1.0
465.0	2.0
466.0	3.0
467.0	2.0
468.0	2.0
470.0	1.0
472.0	1.0
473.0	2.0
474.0	5.0
475.0	4.0
476.0	2.0
477.0	4.0
478.0	4.0
479.0	1.0
480.0	2.0
481.0	1.0
482.0	3.0
483.0	3.0
484.0	4.0
485.0	4.0
486.0	1.0
489.0	1.0
490.0	1.0
491.0	4.0
492.0	4.0
493.0	2.0
494.0	1.0
495.0	1.0
497.0	3.0
498.0	3.0
499.0	1.0
501.0	3.0
502.0	3.0
503.0	4.0
504.0	3.0
505.0	1.0
506.0	3.0
507.0	1.0
508.0	2.0
509.0	1.0
510.0	2.0
512.0	3.0
515.0	1.0
518.0	2.0
519.0	1.0
520.0	2.0
521.0	4.0
522.0	4.0
523.0	3.0
524.0	2.0
525.0	2.0
526.0	1.0
527.0	1.0
528.0	1.0
529.0	5.0
530.0	3.0
533.0	1.0
536.0	3.0
538.0	2.0
539.0	1.0
540.0	3.0
541.0	1.0
542.0	3.0
544.0	1.0
