#Duplication rate	Coverage
1.0	863392.0
2.0	653081.0
3.0	247288.0
4.0	215568.0
5.0	107914.0
6.0	94169.0
7.0	55270.0
8.0	47534.0
9.0	31011.0
10.0	26660.0
11.0	18789.0
12.0	16266.0
13.0	11732.0
14.0	10074.0
15.0	7701.0
16.0	6817.0
17.0	5207.0
18.0	4684.0
19.0	3722.0
20.0	3266.0
21.0	2656.0
22.0	2444.0
23.0	2047.0
24.0	1863.0
25.0	1507.0
26.0	1339.0
27.0	1175.0
28.0	1037.0
29.0	895.0
30.0	783.0
31.0	686.0
32.0	585.0
33.0	555.0
34.0	547.0
35.0	469.0
36.0	421.0
37.0	386.0
38.0	338.0
39.0	306.0
40.0	305.0
41.0	261.0
42.0	233.0
43.0	222.0
44.0	204.0
45.0	161.0
46.0	179.0
47.0	146.0
48.0	140.0
49.0	150.0
50.0	3666.0
