#Insert size (bp)	insert size
142.0	5.0
143.0	1.0
144.0	2.0
145.0	3.0
146.0	3.0
147.0	1.0
148.0	7.0
149.0	20.0
150.0	55.0
151.0	27076.0
152.0	52444.0
153.0	53421.0
154.0	53335.0
155.0	52871.0
156.0	53431.0
157.0	52792.0
158.0	52616.0
159.0	53110.0
160.0	52101.0
161.0	52231.0
162.0	51768.0
163.0	52268.0
164.0	51355.0
165.0	51673.0
166.0	51594.0
167.0	51062.0
168.0	50951.0
169.0	50369.0
170.0	49744.0
171.0	50162.0
172.0	50176.0
173.0	48985.0
174.0	49010.0
175.0	49501.0
176.0	48934.0
177.0	48242.0
178.0	48095.0
179.0	47497.0
180.0	47638.0
181.0	46736.0
182.0	47138.0
183.0	45456.0
184.0	45325.0
185.0	45174.0
186.0	45067.0
187.0	44881.0
188.0	44493.0
189.0	44459.0
190.0	43829.0
191.0	42872.0
192.0	42509.0
193.0	41949.0
194.0	41273.0
195.0	41049.0
196.0	40370.0
197.0	40452.0
198.0	40019.0
199.0	39257.0
200.0	39023.0
201.0	38771.0
202.0	37550.0
203.0	37164.0
204.0	36210.0
205.0	35653.0
206.0	35244.0
207.0	34759.0
208.0	34588.0
209.0	33652.0
210.0	33563.0
211.0	32929.0
212.0	32682.0
213.0	32007.0
214.0	31311.0
215.0	29870.0
216.0	29493.0
217.0	28805.0
218.0	28768.0
219.0	28659.0
220.0	28204.0
221.0	27213.0
222.0	27363.0
223.0	26449.0
224.0	25514.0
225.0	25284.0
226.0	24796.0
227.0	24137.0
228.0	24039.0
229.0	23653.0
230.0	23494.0
231.0	23279.0
232.0	23139.0
233.0	22308.0
234.0	21607.0
235.0	21272.0
236.0	20613.0
237.0	20099.0
238.0	19787.0
239.0	19578.0
240.0	19309.0
241.0	19173.0
242.0	18945.0
243.0	18770.0
244.0	18189.0
245.0	17713.0
246.0	17182.0
247.0	16969.0
248.0	16244.0
249.0	15944.0
250.0	15653.0
251.0	15761.0
252.0	15487.0
253.0	15330.0
254.0	14877.0
255.0	14300.0
256.0	14117.0
257.0	13784.0
258.0	13115.0
259.0	12963.0
260.0	12579.0
261.0	12496.0
262.0	11977.0
263.0	11629.0
264.0	10724.0
265.0	10017.0
266.0	8591.0
267.0	7279.0
268.0	6590.0
269.0	6108.0
270.0	6009.0
271.0	5786.0
272.0	5351.0
273.0	4439.0
274.0	4299.0
275.0	4287.0
276.0	4253.0
277.0	3935.0
278.0	4118.0
279.0	4086.0
280.0	3777.0
281.0	3781.0
282.0	3761.0
283.0	3586.0
284.0	3461.0
285.0	3390.0
286.0	3436.0
287.0	3344.0
288.0	3273.0
289.0	3251.0
290.0	3071.0
291.0	3117.0
292.0	2989.0
293.0	2893.0
294.0	2945.0
295.0	2855.0
296.0	2778.0
297.0	2813.0
298.0	2710.0
299.0	2581.0
300.0	2558.0
301.0	2525.0
302.0	2369.0
303.0	2377.0
304.0	2307.0
305.0	2302.0
306.0	2280.0
307.0	2231.0
308.0	2175.0
309.0	2136.0
310.0	2094.0
311.0	1962.0
312.0	1974.0
313.0	1908.0
314.0	1897.0
315.0	1852.0
316.0	1728.0
317.0	1704.0
318.0	1745.0
319.0	1710.0
320.0	1687.0
321.0	1608.0
322.0	1581.0
323.0	1544.0
324.0	1398.0
325.0	1455.0
326.0	1389.0
327.0	1378.0
328.0	1339.0
329.0	1218.0
330.0	1234.0
331.0	1276.0
332.0	1236.0
333.0	1192.0
334.0	1195.0
335.0	1102.0
336.0	1110.0
337.0	1074.0
338.0	1066.0
339.0	1027.0
340.0	1005.0
341.0	965.0
342.0	929.0
343.0	960.0
344.0	923.0
345.0	839.0
346.0	876.0
347.0	825.0
348.0	857.0
349.0	795.0
350.0	815.0
351.0	679.0
352.0	721.0
353.0	749.0
354.0	720.0
355.0	673.0
356.0	661.0
357.0	645.0
358.0	635.0
359.0	661.0
360.0	579.0
361.0	605.0
362.0	580.0
363.0	535.0
364.0	576.0
365.0	554.0
366.0	531.0
367.0	469.0
368.0	516.0
369.0	446.0
370.0	430.0
371.0	458.0
372.0	415.0
373.0	419.0
374.0	405.0
375.0	419.0
376.0	357.0
377.0	364.0
378.0	398.0
379.0	363.0
380.0	357.0
381.0	349.0
382.0	309.0
383.0	267.0
384.0	311.0
385.0	319.0
386.0	244.0
387.0	303.0
388.0	276.0
389.0	269.0
390.0	270.0
391.0	262.0
392.0	241.0
393.0	225.0
394.0	233.0
395.0	246.0
396.0	237.0
397.0	228.0
398.0	215.0
399.0	205.0
400.0	206.0
401.0	201.0
402.0	193.0
403.0	188.0
404.0	168.0
405.0	177.0
406.0	184.0
407.0	167.0
408.0	150.0
409.0	148.0
410.0	147.0
411.0	160.0
412.0	152.0
413.0	141.0
414.0	155.0
415.0	139.0
416.0	141.0
417.0	136.0
418.0	109.0
419.0	130.0
420.0	124.0
421.0	108.0
422.0	117.0
423.0	104.0
424.0	125.0
425.0	102.0
426.0	105.0
427.0	101.0
428.0	101.0
429.0	82.0
430.0	97.0
431.0	101.0
432.0	71.0
433.0	85.0
434.0	88.0
435.0	78.0
436.0	90.0
437.0	99.0
438.0	67.0
439.0	71.0
440.0	73.0
441.0	76.0
442.0	80.0
443.0	61.0
444.0	62.0
445.0	68.0
446.0	79.0
