#GC Content (%)	Sample
1.0	0.0
2.0	0.0
3.0	0.0
4.0	0.0
5.0	0.0
6.0	0.0
7.0	0.0
8.0	0.0
9.0	0.0
10.0	0.0
11.0	0.0
12.0	9.312877287941128E-7
13.0	0.0
14.0	0.0
15.0	9.312877287941128E-7
16.0	0.0
17.0	9.312877287941128E-7
18.0	0.0
19.0	9.312877287941128E-7
20.0	2.7938631863823385E-6
21.0	0.0
22.0	1.8625754575882256E-6
23.0	1.8625754575882256E-6
24.0	0.0
25.0	6.51901410155879E-6
26.0	0.0
27.0	1.8625754575882256E-6
28.0	2.7938631863823385E-6
29.0	8.381589559147016E-6
30.0	6.519014101558789E-6
31.0	1.3969315931911693E-5
32.0	1.5831891389499917E-5
33.0	1.5831891389499917E-5
34.0	6.332756555799967E-5
35.0	2.160587530802342E-4
36.0	0.0010057907470976417
37.0	0.003518405039384158
38.0	0.009896794693895036
39.0	0.022281058911399147
40.0	0.03951733219592059
41.0	0.06090342359994859
42.0	0.08245528421970194
43.0	0.09920821917297924
44.0	0.10972525149425116
45.0	0.11023187201871515
46.0	0.10292126334768137
47.0	0.09079962226969722
48.0	0.0738725365111354
49.0	0.05795031021194247
50.0	0.04486199247147
51.0	0.036236405527378925
52.0	0.019576599346981045
53.0	0.013613564019512343
54.0	0.008169255956981957
55.0	0.005015915707285092
56.0	0.0029698765671244257
57.0	0.0017778282742679612
58.0	0.0010383858176054358
59.0	6.993970843243787E-4
60.0	4.367739448044389E-4
61.0	2.840427572822044E-4
62.0	2.1512746535144004E-4
63.0	1.1920482928564644E-4
64.0	7.170915511714668E-5
65.0	6.053370237161733E-5
66.0	4.470181098211741E-5
67.0	3.352635823658806E-5
68.0	1.955704230467637E-5
69.0	1.3038028203117579E-5
70.0	8.381589559147016E-6
71.0	7.450301830352903E-6
72.0	7.450301830352903E-6
73.0	4.656438643970564E-6
74.0	3.7251509151764512E-6
75.0	7.4503018303529024E-6
76.0	4.656438643970564E-6
77.0	6.51901410155879E-6
78.0	1.8625754575882256E-6
79.0	9.312877287941128E-7
80.0	2.7938631863823385E-6
81.0	0.0
82.0	4.656438643970564E-6
83.0	1.8625754575882256E-6
84.0	3.7251509151764512E-6
85.0	0.0
86.0	0.0
87.0	9.312877287941128E-7
88.0	9.312877287941128E-7
89.0	1.8625754575882256E-6
90.0	0.0
91.0	0.0
92.0	0.0
93.0	1.8625754575882256E-6
94.0	9.312877287941128E-7
95.0	1.8625754575882256E-6
96.0	0.0
97.0	0.0
98.0	9.312877287941128E-7
99.0	0.0
100.0	1.8625754575882256E-5
