#Mapping quality	mapping quality
0.0	329335.0
1.0	104878.0
2.0	28647.0
3.0	18273.0
4.0	14820.0
5.0	14911.0
6.0	14507.0
7.0	15140.0
8.0	16984.0
9.0	24954.0
10.0	27051.0
11.0	29745.0
12.0	15104.0
13.0	12231.0
14.0	13194.0
15.0	11070.0
16.0	12153.0
17.0	12852.0
18.0	15024.0
19.0	15636.0
20.0	16469.0
21.0	17142.0
22.0	158676.0
23.0	38039.0
24.0	69970.0
25.0	44032.0
26.0	59390.0
27.0	48695.0
28.0	93733.0
29.0	114350.0
30.0	89360.0
31.0	86699.0
32.0	112070.0
33.0	167191.0
34.0	176665.0
35.0	198969.0
36.0	314198.0
37.0	338445.0
38.0	495714.0
39.0	693817.0
40.0	1128553.0
41.0	1741626.0
42.0	2152975.0
43.0	848501.0
44.0	1014839.0
