#Coverage	Number of genomic locations
0.0	18659.0
1.0	4700.0
2.0	9693.0
3.0	13449.0
4.0	25181.0
5.0	38631.0
6.0	58914.0
7.0	88271.0
8.0	120161.0
9.0	160356.0
10.0	204434.0
11.0	251723.0
12.0	295886.0
13.0	339678.0
14.0	384117.0
15.0	412530.0
16.0	440867.0
17.0	457304.0
18.0	473506.0
19.0	478504.0
20.0	477731.0
21.0	464647.0
22.0	458097.0
23.0	438823.0
24.0	417373.0
25.0	392093.0
26.0	371034.0
27.0	346687.0
28.0	324726.0
29.0	303459.0
30.0	275937.0
31.0	253939.0
32.0	236263.0
33.0	220241.0
34.0	202315.0
35.0	189131.0
36.0	175428.0
37.0	163017.0
38.0	151405.0
39.0	138605.0
40.0	129382.0
41.0	119924.0
42.0	109888.0
43.0	102834.0
44.0	97976.0
45.0	90262.0
46.0	85247.0
47.0	79391.0
48.0	74625.0
49.0	69306.0
50.0	64613.0
51.0	61491.0
52.0	56992.0
53.0	53654.0
54.0	49960.0
55.0	45976.0
56.0	43501.0
57.0	40333.0
58.0	37667.0
59.0	34689.0
60.0	31853.0
61.0	29131.0
62.0	27161.0
63.0	24835.0
64.0	23031.0
65.0	21034.0
66.0	19674.0
67.0	17849.0
68.0	16658.0
69.0	15062.0
70.0	14352.0
71.0	13244.0
72.0	11583.0
73.0	10359.0
74.0	9318.0
75.0	8502.0
76.0	7831.0
77.0	7062.0
78.0	6532.0
79.0	5989.0
80.0	5203.0
81.0	4774.0
82.0	4480.0
83.0	4059.0
84.0	3554.0
85.0	3556.0
86.0	2940.0
87.0	2623.0
88.0	2673.0
89.0	2332.0
90.0	2080.0
91.0	1931.0
92.0	1796.0
93.0	1751.0
94.0	1475.0
95.0	1375.0
96.0	1211.0
97.0	1102.0
98.0	1065.0
99.0	968.0
100.0	964.0
101.0	896.0
102.0	888.0
103.0	790.0
104.0	687.0
105.0	565.0
106.0	577.0
107.0	524.0
108.0	465.0
109.0	484.0
110.0	388.0
111.0	406.0
112.0	372.0
113.0	383.0
114.0	348.0
115.0	310.0
116.0	296.0
117.0	285.0
118.0	363.0
119.0	289.0
120.0	250.0
121.0	246.0
122.0	285.0
123.0	246.0
124.0	241.0
125.0	211.0
126.0	277.0
127.0	215.0
128.0	228.0
129.0	203.0
130.0	214.0
131.0	219.0
132.0	181.0
133.0	200.0
134.0	217.0
135.0	188.0
136.0	221.0
137.0	214.0
138.0	183.0
139.0	186.0
140.0	214.0
141.0	206.0
142.0	231.0
143.0	217.0
144.0	241.0
145.0	187.0
146.0	193.0
147.0	197.0
148.0	227.0
149.0	208.0
150.0	243.0
151.0	207.0
152.0	178.0
153.0	189.0
154.0	203.0
155.0	164.0
156.0	219.0
157.0	175.0
158.0	206.0
159.0	195.0
160.0	186.0
