#Duplication rate	Coverage
1.0	1029507.0
2.0	335654.0
3.0	88963.0
4.0	41995.0
5.0	15648.0
6.0	8469.0
7.0	4022.0
8.0	2568.0
9.0	1521.0
10.0	1069.0
11.0	795.0
12.0	615.0
13.0	447.0
14.0	373.0
15.0	267.0
16.0	231.0
17.0	218.0
18.0	167.0
19.0	203.0
20.0	134.0
21.0	104.0
22.0	92.0
23.0	91.0
24.0	73.0
25.0	65.0
26.0	57.0
27.0	54.0
28.0	58.0
29.0	46.0
30.0	44.0
31.0	51.0
32.0	44.0
33.0	40.0
34.0	25.0
35.0	30.0
36.0	27.0
37.0	18.0
38.0	26.0
39.0	20.0
40.0	19.0
41.0	13.0
42.0	10.0
43.0	14.0
44.0	12.0
45.0	18.0
46.0	13.0
47.0	14.0
48.0	17.0
49.0	13.0
50.0	148.0
