#Insert size (bp)	insert size
142.0	1.0
144.0	1.0
145.0	1.0
148.0	2.0
149.0	9.0
150.0	21.0
151.0	4395.0
152.0	8867.0
153.0	8775.0
154.0	8831.0
155.0	8818.0
156.0	8895.0
157.0	8751.0
158.0	8715.0
159.0	8936.0
160.0	8650.0
161.0	8787.0
162.0	8887.0
163.0	8714.0
164.0	8754.0
165.0	8664.0
166.0	8804.0
167.0	8723.0
168.0	8621.0
169.0	8712.0
170.0	8521.0
171.0	8597.0
172.0	8603.0
173.0	8598.0
174.0	8356.0
175.0	8600.0
176.0	8385.0
177.0	8455.0
178.0	8342.0
179.0	8309.0
180.0	8482.0
181.0	8324.0
182.0	8252.0
183.0	8164.0
184.0	8065.0
185.0	8237.0
186.0	8259.0
187.0	8227.0
188.0	8198.0
189.0	7943.0
190.0	7929.0
191.0	7986.0
192.0	7962.0
193.0	7755.0
194.0	7552.0
195.0	7754.0
196.0	7748.0
197.0	7606.0
198.0	7641.0
199.0	7502.0
200.0	7531.0
201.0	7510.0
202.0	7651.0
203.0	7322.0
204.0	7305.0
205.0	7270.0
206.0	7118.0
207.0	7083.0
208.0	7148.0
209.0	6971.0
210.0	7088.0
211.0	6856.0
212.0	6804.0
213.0	6919.0
214.0	6971.0
215.0	6684.0
216.0	6768.0
217.0	6548.0
218.0	6703.0
219.0	6458.0
220.0	6540.0
221.0	6375.0
222.0	6360.0
223.0	6299.0
224.0	6131.0
225.0	6093.0
226.0	6165.0
227.0	5987.0
228.0	6048.0
229.0	5971.0
230.0	6112.0
231.0	5988.0
232.0	5896.0
233.0	5833.0
234.0	5753.0
235.0	5626.0
236.0	5618.0
237.0	5505.0
238.0	5292.0
239.0	5340.0
240.0	5439.0
241.0	5330.0
242.0	5300.0
243.0	5553.0
244.0	5178.0
245.0	5198.0
246.0	5012.0
247.0	4905.0
248.0	5048.0
249.0	4904.0
250.0	4820.0
251.0	4733.0
252.0	4849.0
253.0	4716.0
254.0	4747.0
255.0	4600.0
256.0	4498.0
257.0	4446.0
258.0	4448.0
259.0	4225.0
260.0	4360.0
261.0	4218.0
262.0	4344.0
263.0	4249.0
264.0	3976.0
265.0	4087.0
266.0	3929.0
267.0	3761.0
268.0	3487.0
269.0	3491.0
270.0	3547.0
271.0	3465.0
272.0	3479.0
273.0	3365.0
274.0	3310.0
275.0	3300.0
276.0	3172.0
277.0	3088.0
278.0	3176.0
279.0	3031.0
280.0	3084.0
281.0	3207.0
282.0	3068.0
283.0	3005.0
284.0	3031.0
285.0	3046.0
286.0	2916.0
287.0	2968.0
288.0	2925.0
289.0	2865.0
290.0	2846.0
291.0	2842.0
292.0	2853.0
293.0	2983.0
294.0	2838.0
295.0	2822.0
296.0	2785.0
297.0	2799.0
298.0	2799.0
299.0	2711.0
300.0	2741.0
301.0	2594.0
302.0	2658.0
303.0	2668.0
304.0	2610.0
305.0	2565.0
306.0	2483.0
307.0	2567.0
308.0	2615.0
309.0	2520.0
310.0	2461.0
311.0	2484.0
312.0	2413.0
313.0	2442.0
314.0	2277.0
315.0	2455.0
316.0	2409.0
317.0	2407.0
318.0	2249.0
319.0	2265.0
320.0	2274.0
321.0	2265.0
322.0	2202.0
323.0	2220.0
324.0	2315.0
325.0	2196.0
326.0	2208.0
327.0	2215.0
328.0	2156.0
329.0	2115.0
330.0	2135.0
331.0	2126.0
332.0	2050.0
333.0	2092.0
334.0	2011.0
335.0	2037.0
336.0	2038.0
337.0	1992.0
338.0	1947.0
339.0	1969.0
340.0	2064.0
341.0	1961.0
342.0	1934.0
343.0	1883.0
344.0	1785.0
345.0	1902.0
346.0	1927.0
347.0	1887.0
348.0	1774.0
349.0	1798.0
350.0	1796.0
351.0	1844.0
352.0	1783.0
353.0	1737.0
354.0	1826.0
355.0	1759.0
356.0	1714.0
357.0	1671.0
358.0	1671.0
359.0	1759.0
360.0	1588.0
361.0	1542.0
362.0	1642.0
363.0	1656.0
364.0	1625.0
365.0	1618.0
