#GC Content (%)	Sample
1.0	0.0
2.0	0.0
3.0	0.0
4.0	5.84180394905947E-6
5.0	8.762705923589205E-6
6.0	5.84180394905947E-6
7.0	2.6288117770767615E-5
8.0	2.628811777076762E-5
9.0	2.920901974529735E-5
10.0	4.0892627643416285E-5
11.0	5.8418039490594695E-5
12.0	5.8418039490594695E-5
13.0	8.470615726136231E-5
14.0	1.1683607898118939E-4
15.0	1.343614908283678E-4
16.0	1.8401682439537332E-4
17.0	2.2490945203878956E-4
18.0	2.7164388363126534E-4
19.0	3.2129921719827086E-4
20.0	4.84869727771936E-4
21.0	5.549713751606496E-4
22.0	7.448300035050823E-4
23.0	9.463722397476341E-4
24.0	0.0013523776142072674
25.0	0.0022987498539549013
26.0	0.002672625306694707
27.0	0.004255754176889824
28.0	0.006875803248042996
29.0	0.010001168360789812
30.0	0.01466000701016474
31.0	0.02083771468629513
32.0	0.02821007127000818
33.0	0.036768314055380294
34.0	0.0460012851968688
35.0	0.05433461853020212
36.0	0.06333683841570276
37.0	0.07030318962495619
38.0	0.07474296062624138
39.0	0.07639911204579974
40.0	0.07398644701483818
41.0	0.07065077695992522
42.0	0.06365229582895199
43.0	0.056186470382053974
44.0	0.048054679284963195
45.0	0.03929489426334853
46.0	0.03167134010982591
47.0	0.025002920901974528
48.0	0.019321766561514197
49.0	0.014946255403668653
50.0	0.011724500525762354
51.0	0.010118004439771002
52.0	0.0056344199088678585
53.0	0.004209019745297348
54.0	0.0025645519336371073
55.0	0.0019073489893679167
56.0	0.0010894964364995912
57.0	7.974062390466176E-4
58.0	5.199205514662929E-4
59.0	3.73875452739806E-4
60.0	2.687229816567356E-4
61.0	2.103049421661409E-4
62.0	1.664914125481949E-4
63.0	1.0223156910854072E-4
64.0	6.133894146512443E-5
65.0	2.336721579623788E-5
66.0	1.752541184717841E-5
67.0	2.336721579623788E-5
68.0	5.84180394905947E-6
69.0	0.0
70.0	2.920901974529735E-6
71.0	0.0
72.0	2.920901974529735E-6
73.0	0.0
74.0	0.0
75.0	2.920901974529735E-6
76.0	0.0
77.0	0.0
78.0	2.920901974529735E-6
79.0	2.920901974529735E-6
80.0	2.920901974529735E-6
81.0	0.0
82.0	2.920901974529735E-6
83.0	0.0
84.0	0.0
85.0	0.0
86.0	2.920901974529735E-6
87.0	0.0
88.0	0.0
89.0	2.920901974529735E-6
90.0	0.0
91.0	0.0
92.0	0.0
93.0	0.0
94.0	0.0
95.0	0.0
96.0	0.0
97.0	0.0
98.0	0.0
99.0	0.0
100.0	8.762705923589205E-6
