#Mapping quality	mapping quality
0.0	154885.0
1.0	232034.0
2.0	37744.0
3.0	28435.0
4.0	21973.0
5.0	18671.0
6.0	18909.0
7.0	18374.0
8.0	19894.0
9.0	24936.0
10.0	25457.0
11.0	30025.0
12.0	14817.0
13.0	13747.0
14.0	12513.0
15.0	11578.0
16.0	11692.0
17.0	11801.0
18.0	11794.0
19.0	12852.0
20.0	13380.0
21.0	16028.0
22.0	16609.0
23.0	16649.0
24.0	18681.0
25.0	19199.0
26.0	19305.0
27.0	19085.0
28.0	18653.0
29.0	19254.0
30.0	18356.0
31.0	19380.0
32.0	20027.0
33.0	22490.0
34.0	24767.0
35.0	27658.0
36.0	39419.0
37.0	54783.0
38.0	90658.0
39.0	164471.0
40.0	410694.0
41.0	896114.0
42.0	1843176.0
43.0	4051715.0
44.0	3545764.0
