#GC Content (%)	Sample
1.0	0.0
2.0	0.0
3.0	0.0
4.0	0.0
5.0	0.0
6.0	0.0
7.0	0.0
8.0	0.0
9.0	0.0
10.0	0.0
11.0	0.0
12.0	0.0
13.0	0.0
14.0	0.0
15.0	7.722007722007722E-4
16.0	0.0
17.0	7.722007722007722E-4
18.0	7.722007722007722E-4
19.0	0.0
20.0	0.0
21.0	0.0
22.0	7.722007722007722E-4
23.0	0.0
24.0	0.0015444015444015444
25.0	7.722007722007722E-4
26.0	0.0015444015444015444
27.0	0.004633204633204633
28.0	0.003861003861003861
29.0	0.004633204633204633
30.0	0.005405405405405405
31.0	0.006177606177606177
32.0	0.01081081081081081
33.0	0.011583011583011582
34.0	0.03397683397683397
35.0	0.05096525096525096
36.0	0.06254826254826254
37.0	0.08648648648648649
38.0	0.0942084942084942
39.0	0.11505791505791507
40.0	0.11583011583011583
41.0	0.10115830115830114
42.0	0.07335907335907338
43.0	0.05791505791505792
44.0	0.03938223938223938
45.0	0.030115830115830113
46.0	0.02316602316602317
47.0	0.016216216216216214
48.0	0.011583011583011582
49.0	0.01081081081081081
50.0	0.0069498069498069494
51.0	0.004633204633204633
52.0	0.0023166023166023165
53.0	0.0023166023166023165
54.0	7.722007722007722E-4
55.0	7.722007722007722E-4
56.0	0.0
57.0	0.0
58.0	7.722007722007722E-4
59.0	0.0
60.0	0.0
61.0	0.0
62.0	7.722007722007722E-4
63.0	7.722007722007722E-4
64.0	0.0
65.0	0.0
66.0	0.0
67.0	0.0
68.0	0.0
69.0	0.0
70.0	0.0
71.0	7.722007722007722E-4
72.0	0.0
73.0	7.722007722007722E-4
74.0	0.0
75.0	0.0015444015444015444
76.0	0.0
77.0	0.0
78.0	0.0
79.0	0.0
80.0	0.0
81.0	0.0
82.0	0.0
83.0	0.0
84.0	0.0
85.0	0.0
86.0	0.0
87.0	0.0
88.0	0.0
89.0	0.0
90.0	0.0
91.0	0.0
92.0	0.0
93.0	0.0
94.0	0.0
95.0	0.0
96.0	0.0
97.0	0.0
98.0	0.0
99.0	0.0
100.0	0.0
