#Mapping quality	mapping quality
0.0	3648.0
1.0	47573.0
2.0	633.0
3.0	137.0
4.0	104.0
5.0	64.0
6.0	330.0
7.0	143.0
8.0	68.0
9.0	82.0
11.0	10131.0
12.0	97.0
13.0	18.0
14.0	2599.0
15.0	63.0
16.0	184.0
17.0	1568.0
18.0	1997.0
19.0	10.0
21.0	3148.0
22.0	7753.0
23.0	357.0
24.0	6294.0
25.0	1341.0
26.0	71.0
27.0	21.0
28.0	9031.0
29.0	331.0
30.0	186.0
31.0	917.0
32.0	875.0
33.0	1766.0
34.0	2224.0
35.0	2356.0
36.0	15422.0
37.0	1686.0
38.0	2358.0
39.0	1151.0
40.0	2488.0
41.0	17724.0
42.0	21777.0
43.0	1104.0
44.0	533199.0
