#Coverage	Number of genomic locations
0.0	866702.0
1.0	209714.0
2.0	703157.0
3.0	293284.0
4.0	676400.0
5.0	358132.0
6.0	660584.0
7.0	400037.0
8.0	635332.0
9.0	418823.0
10.0	594191.0
11.0	418671.0
12.0	546322.0
13.0	396001.0
14.0	487410.0
15.0	367891.0
16.0	421589.0
17.0	328840.0
18.0	362413.0
19.0	282086.0
20.0	303354.0
21.0	243298.0
22.0	254093.0
23.0	202396.0
24.0	206079.0
25.0	164007.0
26.0	163902.0
27.0	134350.0
28.0	132666.0
29.0	106829.0
30.0	103631.0
31.0	82417.0
32.0	79652.0
33.0	65762.0
34.0	61759.0
35.0	51655.0
36.0	47250.0
37.0	39102.0
38.0	35925.0
39.0	29404.0
40.0	26922.0
41.0	22317.0
42.0	20300.0
43.0	16629.0
44.0	15117.0
45.0	12744.0
46.0	11544.0
47.0	9579.0
48.0	8583.0
49.0	7231.0
50.0	6610.0
51.0	5456.0
52.0	4729.0
53.0	4248.0
54.0	3827.0
55.0	3097.0
56.0	2957.0
57.0	2640.0
58.0	2375.0
59.0	1901.0
60.0	1733.0
61.0	1353.0
62.0	1411.0
63.0	1258.0
64.0	1114.0
65.0	882.0
66.0	870.0
67.0	647.0
68.0	625.0
69.0	495.0
70.0	549.0
71.0	359.0
72.0	405.0
73.0	410.0
74.0	437.0
75.0	297.0
76.0	291.0
77.0	299.0
78.0	248.0
79.0	217.0
80.0	206.0
81.0	192.0
82.0	194.0
83.0	163.0
84.0	147.0
85.0	99.0
86.0	119.0
87.0	113.0
88.0	82.0
89.0	82.0
90.0	79.0
91.0	113.0
92.0	76.0
93.0	61.0
94.0	55.0
95.0	69.0
96.0	59.0
97.0	73.0
98.0	54.0
99.0	62.0
100.0	64.0
101.0	49.0
102.0	72.0
103.0	66.0
104.0	75.0
105.0	73.0
106.0	66.0
107.0	51.0
108.0	51.0
109.0	68.0
110.0	43.0
111.0	60.0
112.0	50.0
113.0	51.0
114.0	56.0
115.0	50.0
116.0	58.0
117.0	49.0
118.0	63.0
119.0	33.0
120.0	45.0
121.0	56.0
122.0	62.0
123.0	39.0
124.0	51.0
125.0	41.0
126.0	46.0
127.0	64.0
128.0	47.0
129.0	50.0
130.0	40.0
131.0	48.0
132.0	63.0
133.0	41.0
134.0	48.0
135.0	57.0
136.0	47.0
137.0	39.0
138.0	57.0
139.0	64.0
140.0	52.0
141.0	66.0
142.0	66.0
143.0	74.0
144.0	79.0
145.0	67.0
146.0	62.0
147.0	66.0
148.0	53.0
149.0	65.0
150.0	55.0
151.0	61.0
152.0	64.0
153.0	59.0
154.0	54.0
155.0	39.0
156.0	63.0
157.0	55.0
158.0	71.0
159.0	83.0
160.0	90.0
161.0	92.0
162.0	67.0
163.0	74.0
164.0	97.0
165.0	88.0
166.0	80.0
167.0	80.0
168.0	72.0
169.0	86.0
170.0	81.0
171.0	77.0
172.0	76.0
173.0	70.0
174.0	78.0
175.0	75.0
176.0	63.0
177.0	86.0
178.0	73.0
179.0	64.0
180.0	76.0
181.0	67.0
182.0	83.0
183.0	59.0
184.0	58.0
185.0	71.0
186.0	64.0
187.0	72.0
188.0	79.0
189.0	84.0
190.0	85.0
191.0	71.0
192.0	92.0
193.0	101.0
194.0	89.0
195.0	95.0
196.0	95.0
197.0	92.0
198.0	104.0
199.0	81.0
200.0	91.0
201.0	91.0
202.0	58.0
203.0	56.0
204.0	98.0
205.0	73.0
206.0	89.0
207.0	80.0
208.0	78.0
209.0	60.0
210.0	76.0
211.0	62.0
212.0	75.0
213.0	56.0
214.0	92.0
215.0	48.0
216.0	36.0
217.0	43.0
218.0	51.0
219.0	62.0
220.0	54.0
221.0	56.0
222.0	45.0
223.0	57.0
224.0	43.0
225.0	49.0
226.0	47.0
227.0	44.0
228.0	41.0
229.0	52.0
230.0	47.0
231.0	40.0
232.0	34.0
233.0	42.0
234.0	39.0
235.0	43.0
236.0	42.0
237.0	26.0
238.0	29.0
239.0	23.0
240.0	38.0
241.0	19.0
242.0	48.0
243.0	32.0
244.0	36.0
245.0	27.0
246.0	37.0
247.0	25.0
248.0	39.0
249.0	37.0
250.0	37.0
251.0	38.0
252.0	38.0
253.0	38.0
254.0	51.0
255.0	57.0
256.0	36.0
257.0	34.0
258.0	33.0
259.0	18.0
260.0	35.0
261.0	32.0
262.0	42.0
263.0	45.0
264.0	27.0
265.0	40.0
266.0	44.0
267.0	37.0
268.0	41.0
269.0	43.0
270.0	41.0
271.0	42.0
272.0	38.0
273.0	60.0
274.0	33.0
275.0	38.0
276.0	40.0
277.0	43.0
278.0	29.0
279.0	26.0
280.0	45.0
281.0	33.0
282.0	32.0
283.0	36.0
284.0	47.0
285.0	33.0
286.0	40.0
287.0	26.0
288.0	40.0
289.0	30.0
290.0	41.0
291.0	25.0
292.0	32.0
293.0	32.0
294.0	26.0
295.0	26.0
296.0	23.0
297.0	35.0
298.0	36.0
299.0	56.0
300.0	48.0
301.0	54.0
302.0	28.0
303.0	25.0
304.0	29.0
305.0	41.0
306.0	32.0
307.0	44.0
308.0	30.0
309.0	36.0
310.0	26.0
311.0	29.0
312.0	39.0
313.0	29.0
314.0	24.0
315.0	37.0
316.0	44.0
317.0	35.0
318.0	35.0
319.0	33.0
320.0	37.0
321.0	28.0
322.0	35.0
323.0	28.0
324.0	26.0
325.0	31.0
326.0	23.0
327.0	28.0
328.0	39.0
329.0	22.0
330.0	33.0
331.0	18.0
332.0	28.0
333.0	12.0
334.0	18.0
335.0	15.0
336.0	17.0
337.0	19.0
338.0	30.0
339.0	27.0
340.0	21.0
341.0	15.0
342.0	13.0
343.0	15.0
344.0	23.0
345.0	29.0
346.0	34.0
347.0	23.0
348.0	17.0
349.0	22.0
350.0	14.0
351.0	24.0
352.0	30.0
353.0	29.0
354.0	33.0
355.0	37.0
356.0	31.0
357.0	25.0
358.0	32.0
359.0	31.0
360.0	41.0
361.0	34.0
362.0	34.0
363.0	37.0
364.0	38.0
365.0	29.0
366.0	34.0
367.0	23.0
368.0	23.0
369.0	29.0
370.0	32.0
371.0	32.0
372.0	23.0
373.0	38.0
374.0	33.0
375.0	32.0
376.0	28.0
377.0	28.0
378.0	31.0
379.0	21.0
380.0	35.0
381.0	23.0
382.0	23.0
383.0	27.0
384.0	19.0
385.0	21.0
386.0	24.0
387.0	22.0
388.0	24.0
389.0	36.0
390.0	31.0
391.0	23.0
392.0	25.0
393.0	27.0
394.0	26.0
395.0	23.0
396.0	26.0
397.0	22.0
398.0	15.0
399.0	10.0
400.0	15.0
401.0	21.0
402.0	21.0
403.0	28.0
404.0	13.0
405.0	16.0
406.0	31.0
407.0	17.0
408.0	28.0
409.0	28.0
410.0	32.0
411.0	19.0
412.0	33.0
413.0	26.0
414.0	37.0
415.0	17.0
416.0	22.0
417.0	22.0
418.0	25.0
419.0	34.0
420.0	31.0
421.0	25.0
422.0	19.0
423.0	24.0
424.0	24.0
425.0	14.0
426.0	19.0
427.0	26.0
428.0	19.0
429.0	16.0
430.0	13.0
431.0	22.0
432.0	28.0
433.0	25.0
434.0	16.0
435.0	21.0
436.0	16.0
437.0	21.0
438.0	24.0
439.0	17.0
440.0	10.0
441.0	11.0
442.0	10.0
443.0	16.0
444.0	20.0
445.0	14.0
446.0	18.0
447.0	21.0
448.0	32.0
449.0	23.0
450.0	15.0
451.0	12.0
452.0	11.0
453.0	6.0
454.0	17.0
455.0	12.0
456.0	8.0
457.0	14.0
458.0	11.0
459.0	10.0
460.0	19.0
461.0	8.0
462.0	20.0
463.0	14.0
464.0	14.0
465.0	23.0
466.0	12.0
467.0	9.0
468.0	18.0
469.0	27.0
470.0	14.0
471.0	17.0
472.0	19.0
473.0	16.0
474.0	33.0
475.0	16.0
476.0	18.0
477.0	14.0
478.0	24.0
479.0	13.0
480.0	15.0
481.0	17.0
482.0	16.0
483.0	14.0
484.0	22.0
485.0	21.0
486.0	11.0
487.0	8.0
488.0	13.0
489.0	17.0
490.0	18.0
491.0	14.0
492.0	14.0
493.0	9.0
494.0	21.0
495.0	13.0
496.0	13.0
497.0	9.0
498.0	9.0
499.0	11.0
500.0	5.0
501.0	8.0
502.0	10.0
503.0	6.0
504.0	11.0
505.0	3.0
506.0	8.0
507.0	11.0
508.0	7.0
509.0	11.0
510.0	8.0
511.0	5.0
512.0	4.0
513.0	6.0
514.0	6.0
515.0	6.0
516.0	10.0
517.0	6.0
518.0	9.0
519.0	10.0
520.0	11.0
