#Coverage (X)	Coverage
1.0	92.87081916295038
2.0	91.14578676420085
3.0	85.36186863566614
4.0	82.94941929020108
5.0	77.38559467899636
6.0	74.43972886637073
7.0	69.00600101751198
8.0	65.7154396544243
9.0	60.489425730879184
10.0	57.04433744711426
11.0	52.156734683133855
12.0	48.71289669703437
13.0	44.21904721559944
14.0	40.96168454578619
15.0	36.952424117419405
16.0	33.92628425928706
17.0	30.458443848268146
18.0	27.75352355680073
19.0	24.77244376847942
20.0	22.452105168130075
21.0	19.956823602329663
22.0	17.955541224658333
23.0	15.865463035813207
24.0	14.20062588914054
25.0	12.505493701008575
26.0	11.15643074564214
27.0	9.808231482741974
28.0	8.703116408059316
29.0	7.611853315406918
30.0	6.733116148951581
31.0	5.880684587325689
32.0	5.202751806453932
33.0	4.54756292719361
34.0	4.006628222755339
35.0	3.4986207653878125
36.0	3.0737252002018636
37.0	2.6850635903860365
38.0	2.3634245159517917
39.0	2.0679183078537307
40.0	1.8260515147315175
41.0	1.604600766383129
42.0	1.4210291019120262
43.0	1.2540485584355991
44.0	1.1172643487080336
45.0	0.9929173104945761
46.0	0.8880897220185346
47.0	0.7931329045854341
48.0	0.714339474735155
49.0	0.6437387848505125
50.0	0.5842591636742469
51.0	0.5298876665127068
