#Insert size (bp)	insert size
148.0	1.0
150.0	5.0
151.0	2880.0
152.0	5692.0
153.0	5700.0
154.0	5724.0
155.0	5694.0
156.0	5841.0
157.0	5831.0
158.0	5643.0
159.0	5926.0
160.0	5694.0
161.0	5648.0
162.0	5732.0
163.0	5737.0
164.0	5699.0
165.0	5761.0
166.0	5733.0
167.0	5975.0
168.0	5919.0
169.0	5889.0
170.0	5951.0
171.0	5948.0
172.0	5786.0
173.0	5843.0
174.0	5881.0
175.0	5893.0
176.0	5956.0
177.0	6086.0
178.0	6041.0
179.0	6360.0
180.0	6200.0
181.0	6016.0
182.0	6165.0
183.0	6238.0
184.0	6339.0
185.0	6151.0
186.0	6264.0
187.0	6436.0
188.0	6327.0
189.0	6529.0
190.0	6369.0
191.0	6393.0
192.0	6610.0
193.0	6587.0
194.0	6412.0
195.0	6310.0
196.0	6540.0
197.0	6586.0
198.0	6698.0
199.0	6758.0
200.0	7059.0
201.0	6987.0
202.0	6939.0
203.0	6711.0
204.0	6720.0
205.0	6796.0
206.0	6796.0
207.0	6847.0
208.0	7102.0
209.0	7173.0
210.0	7176.0
211.0	7227.0
212.0	7362.0
213.0	7255.0
214.0	7117.0
215.0	7184.0
216.0	7121.0
217.0	7098.0
218.0	7142.0
219.0	7554.0
220.0	7506.0
221.0	7598.0
222.0	7595.0
223.0	7470.0
224.0	7547.0
225.0	7281.0
226.0	7100.0
227.0	7324.0
228.0	7475.0
229.0	7442.0
230.0	7366.0
231.0	7716.0
232.0	7735.0
233.0	7704.0
234.0	7499.0
235.0	7334.0
236.0	7166.0
237.0	7003.0
238.0	7095.0
239.0	7231.0
240.0	7305.0
241.0	7415.0
242.0	7629.0
243.0	7356.0
244.0	7319.0
245.0	7259.0
246.0	6958.0
247.0	6854.0
248.0	6608.0
249.0	6697.0
250.0	6714.0
251.0	6825.0
252.0	7101.0
253.0	6805.0
254.0	6773.0
255.0	6503.0
256.0	6351.0
257.0	6228.0
258.0	5900.0
259.0	5503.0
260.0	5524.0
261.0	5577.0
262.0	5446.0
263.0	5520.0
264.0	5188.0
265.0	4624.0
266.0	3431.0
267.0	2282.0
268.0	1797.0
269.0	1615.0
270.0	1498.0
271.0	1400.0
272.0	1170.0
273.0	326.0
274.0	337.0
275.0	305.0
276.0	276.0
277.0	226.0
278.0	266.0
279.0	279.0
280.0	249.0
281.0	296.0
282.0	273.0
283.0	277.0
284.0	269.0
285.0	266.0
286.0	232.0
287.0	259.0
288.0	238.0
289.0	253.0
290.0	219.0
291.0	226.0
292.0	221.0
293.0	235.0
294.0	213.0
295.0	207.0
296.0	206.0
297.0	207.0
298.0	190.0
299.0	198.0
300.0	192.0
301.0	200.0
302.0	194.0
303.0	215.0
304.0	201.0
305.0	184.0
306.0	181.0
307.0	206.0
308.0	174.0
309.0	170.0
310.0	165.0
311.0	158.0
312.0	148.0
313.0	137.0
314.0	133.0
315.0	143.0
316.0	144.0
317.0	139.0
318.0	142.0
319.0	139.0
320.0	152.0
321.0	150.0
322.0	133.0
323.0	136.0
324.0	117.0
325.0	116.0
326.0	127.0
327.0	109.0
328.0	131.0
329.0	113.0
330.0	125.0
331.0	111.0
332.0	113.0
333.0	84.0
334.0	108.0
335.0	103.0
336.0	88.0
337.0	95.0
338.0	102.0
339.0	89.0
340.0	108.0
341.0	102.0
342.0	89.0
343.0	102.0
344.0	90.0
345.0	81.0
346.0	79.0
347.0	96.0
348.0	90.0
349.0	78.0
350.0	71.0
351.0	78.0
352.0	79.0
353.0	71.0
354.0	94.0
355.0	66.0
356.0	82.0
357.0	67.0
358.0	67.0
359.0	85.0
360.0	59.0
361.0	55.0
362.0	65.0
363.0	66.0
364.0	66.0
365.0	61.0
366.0	59.0
367.0	50.0
368.0	65.0
369.0	50.0
370.0	58.0
371.0	67.0
372.0	57.0
373.0	51.0
374.0	55.0
375.0	65.0
376.0	59.0
377.0	55.0
378.0	65.0
379.0	43.0
380.0	53.0
381.0	63.0
382.0	59.0
383.0	56.0
384.0	43.0
385.0	51.0
386.0	46.0
387.0	46.0
388.0	45.0
389.0	43.0
390.0	27.0
391.0	41.0
392.0	51.0
393.0	36.0
394.0	32.0
395.0	39.0
396.0	34.0
397.0	41.0
398.0	46.0
399.0	33.0
400.0	27.0
401.0	41.0
402.0	30.0
403.0	32.0
404.0	33.0
405.0	34.0
406.0	39.0
407.0	32.0
408.0	36.0
409.0	33.0
410.0	31.0
411.0	25.0
412.0	29.0
413.0	26.0
414.0	34.0
415.0	32.0
416.0	25.0
417.0	31.0
418.0	37.0
419.0	24.0
420.0	23.0
421.0	27.0
422.0	27.0
423.0	31.0
424.0	24.0
425.0	27.0
426.0	35.0
427.0	30.0
428.0	20.0
429.0	32.0
430.0	24.0
431.0	17.0
432.0	22.0
433.0	15.0
434.0	27.0
435.0	15.0
436.0	20.0
437.0	19.0
438.0	23.0
439.0	18.0
440.0	19.0
441.0	19.0
442.0	11.0
443.0	17.0
444.0	18.0
445.0	19.0
446.0	17.0
447.0	26.0
448.0	16.0
449.0	20.0
450.0	4.0
451.0	10.0
452.0	20.0
453.0	12.0
454.0	23.0
455.0	16.0
456.0	14.0
457.0	23.0
458.0	19.0
459.0	9.0
460.0	16.0
461.0	13.0
462.0	29.0
463.0	14.0
464.0	17.0
465.0	12.0
466.0	12.0
467.0	17.0
468.0	7.0
469.0	15.0
470.0	11.0
471.0	12.0
472.0	18.0
473.0	8.0
474.0	12.0
475.0	7.0
476.0	6.0
477.0	8.0
478.0	10.0
479.0	9.0
480.0	8.0
