#Mapping quality	mapping quality
0.0	398638.0
1.0	84477.0
2.0	31468.0
3.0	22612.0
4.0	20674.0
5.0	20719.0
6.0	21703.0
7.0	23955.0
8.0	22849.0
9.0	25011.0
10.0	16831.0
11.0	28867.0
12.0	16209.0
13.0	14930.0
14.0	17741.0
15.0	14919.0
16.0	14834.0
17.0	16483.0
18.0	14466.0
19.0	14977.0
20.0	14834.0
21.0	15545.0
22.0	269097.0
23.0	60759.0
24.0	130213.0
25.0	79007.0
26.0	107134.0
27.0	98947.0
28.0	216587.0
29.0	244646.0
30.0	255629.0
31.0	277804.0
32.0	394178.0
33.0	515391.0
34.0	602572.0
35.0	624696.0
36.0	899580.0
37.0	795094.0
38.0	880746.0
39.0	760177.0
40.0	764754.0
41.0	568977.0
42.0	568624.0
43.0	441003.0
44.0	862046.0
