#Duplication rate	Coverage
1.0	342098.0
2.0	235222.0
3.0	24978.0
4.0	32659.0
5.0	4913.0
6.0	6084.0
7.0	1352.0
8.0	1450.0
9.0	464.0
10.0	442.0
11.0	183.0
12.0	183.0
13.0	91.0
14.0	83.0
15.0	44.0
16.0	47.0
17.0	30.0
18.0	27.0
19.0	28.0
20.0	18.0
21.0	16.0
22.0	17.0
23.0	4.0
24.0	9.0
25.0	12.0
26.0	7.0
27.0	10.0
28.0	13.0
29.0	7.0
30.0	2.0
31.0	4.0
32.0	5.0
33.0	4.0
34.0	7.0
35.0	4.0
36.0	0.0
37.0	1.0
38.0	5.0
39.0	2.0
40.0	1.0
41.0	3.0
42.0	3.0
43.0	0.0
44.0	2.0
45.0	3.0
46.0	3.0
47.0	2.0
48.0	0.0
49.0	0.0
50.0	22.0
