#Coverage (X)	Coverage
1.0	94.76487206452524
2.0	92.25763041447779
3.0	86.27483270071288
4.0	81.96508132487133
5.0	75.18304727975945
6.0	69.83603415451293
7.0	63.044614651267715
8.0	57.542992348918595
9.0	51.24137695610921
10.0	46.14856086214605
11.0	40.71109034593351
12.0	36.25549010228998
13.0	31.789796995255045
14.0	28.12257523481125
15.0	24.45610200783821
16.0	21.426227707994627
17.0	18.508008279931772
18.0	16.135132500706376
19.0	13.882992702621223
20.0	12.03080009591099
21.0	10.301005050133227
22.0	8.882386061484198
23.0	7.588944900944739
24.0	6.526142531466149
25.0	5.575488572320452
26.0	4.775627092140752
27.0	4.076315866318481
28.0	3.4828933368593766
29.0	2.9693829246354113
30.0	2.549932734808152
31.0	2.1786930358831142
32.0	1.8729459028279933
33.0	1.6004056886898468
34.0	1.368853851307506
35.0	1.1675230246016355
36.0	1.009121826290027
37.0	0.8710790932544938
38.0	0.7595805086819354
39.0	0.6584051054917808
40.0	0.5787726601028567
41.0	0.5111414271736407
42.0	0.45078988788858965
43.0	0.4015100634566977
44.0	0.36224084599086837
45.0	0.330744860721353
46.0	0.30095158345673667
47.0	0.2777388202207476
48.0	0.25842501154671993
49.0	0.24180098798190386
50.0	0.22797368287925224
51.0	0.2149031368898875
