#Insert size (bp)	insert size
135.0	1.0
146.0	2.0
148.0	2.0
149.0	2.0
150.0	3.0
151.0	2761.0
152.0	5399.0
153.0	5306.0
154.0	5451.0
155.0	5405.0
156.0	5468.0
157.0	5333.0
158.0	5414.0
159.0	5387.0
160.0	5227.0
161.0	5351.0
162.0	5289.0
163.0	5249.0
164.0	5284.0
165.0	5354.0
166.0	5347.0
167.0	5480.0
168.0	5430.0
169.0	5373.0
170.0	5348.0
171.0	5333.0
172.0	5283.0
173.0	5287.0
174.0	5377.0
175.0	5450.0
176.0	5410.0
177.0	5441.0
178.0	5331.0
179.0	5235.0
180.0	5179.0
181.0	5244.0
182.0	5208.0
183.0	5249.0
184.0	5190.0
185.0	5146.0
186.0	5156.0
187.0	5309.0
188.0	5176.0
189.0	5128.0
190.0	5214.0
191.0	5176.0
192.0	5182.0
193.0	5175.0
194.0	4946.0
195.0	5101.0
196.0	4942.0
197.0	5111.0
198.0	5175.0
199.0	5010.0
200.0	5160.0
201.0	5051.0
202.0	4904.0
203.0	5093.0
204.0	5010.0
205.0	4815.0
206.0	4774.0
207.0	4892.0
208.0	5080.0
209.0	5043.0
210.0	5016.0
211.0	5031.0
212.0	4851.0
213.0	4842.0
214.0	4586.0
215.0	4751.0
216.0	4577.0
217.0	4543.0
218.0	4756.0
219.0	4695.0
220.0	4689.0
221.0	4589.0
222.0	4512.0
223.0	4608.0
224.0	4413.0
225.0	4281.0
226.0	4237.0
227.0	4261.0
228.0	4178.0
229.0	4170.0
230.0	4299.0
231.0	4246.0
232.0	4316.0
233.0	4084.0
234.0	4062.0
235.0	3998.0
236.0	3787.0
237.0	3613.0
238.0	3686.0
239.0	3711.0
240.0	3696.0
241.0	3792.0
242.0	3750.0
243.0	3772.0
244.0	3580.0
245.0	3568.0
246.0	3307.0
247.0	3241.0
248.0	3271.0
249.0	3245.0
250.0	3129.0
251.0	3200.0
252.0	3239.0
253.0	3124.0
254.0	2993.0
255.0	2956.0
256.0	2793.0
257.0	2730.0
258.0	2585.0
259.0	2644.0
260.0	2446.0
261.0	2532.0
262.0	2452.0
263.0	2454.0
264.0	2242.0
265.0	2019.0
266.0	1538.0
267.0	1073.0
268.0	979.0
269.0	892.0
270.0	823.0
271.0	816.0
272.0	666.0
273.0	448.0
274.0	453.0
275.0	451.0
276.0	434.0
277.0	391.0
278.0	415.0
279.0	344.0
280.0	417.0
281.0	400.0
282.0	396.0
283.0	379.0
284.0	374.0
285.0	353.0
286.0	366.0
287.0	348.0
288.0	342.0
289.0	311.0
290.0	340.0
291.0	359.0
292.0	313.0
293.0	330.0
294.0	317.0
295.0	295.0
296.0	285.0
297.0	271.0
298.0	308.0
299.0	294.0
300.0	290.0
301.0	280.0
302.0	275.0
303.0	247.0
304.0	294.0
305.0	273.0
306.0	256.0
307.0	279.0
308.0	249.0
309.0	230.0
310.0	266.0
311.0	242.0
312.0	240.0
313.0	241.0
314.0	225.0
315.0	213.0
316.0	228.0
317.0	179.0
318.0	199.0
319.0	196.0
320.0	183.0
321.0	201.0
322.0	186.0
323.0	190.0
324.0	166.0
325.0	201.0
326.0	175.0
327.0	200.0
328.0	183.0
329.0	163.0
330.0	155.0
331.0	151.0
332.0	159.0
333.0	168.0
334.0	158.0
335.0	172.0
336.0	148.0
337.0	148.0
338.0	140.0
339.0	176.0
340.0	138.0
341.0	146.0
342.0	148.0
343.0	138.0
344.0	164.0
345.0	137.0
346.0	132.0
347.0	132.0
348.0	126.0
349.0	109.0
350.0	126.0
351.0	115.0
352.0	119.0
353.0	106.0
354.0	120.0
355.0	123.0
356.0	99.0
357.0	119.0
358.0	101.0
359.0	137.0
360.0	102.0
361.0	105.0
362.0	86.0
363.0	91.0
364.0	107.0
365.0	108.0
366.0	108.0
367.0	94.0
368.0	86.0
369.0	81.0
370.0	88.0
371.0	56.0
372.0	81.0
373.0	85.0
374.0	75.0
375.0	81.0
376.0	86.0
377.0	77.0
378.0	82.0
379.0	99.0
380.0	81.0
381.0	74.0
382.0	71.0
383.0	71.0
384.0	77.0
385.0	86.0
386.0	66.0
387.0	70.0
388.0	61.0
389.0	76.0
390.0	85.0
391.0	61.0
392.0	87.0
393.0	56.0
394.0	65.0
395.0	51.0
396.0	52.0
397.0	56.0
398.0	47.0
399.0	39.0
400.0	51.0
401.0	52.0
402.0	61.0
403.0	52.0
404.0	49.0
405.0	46.0
406.0	61.0
407.0	44.0
408.0	60.0
409.0	48.0
410.0	46.0
411.0	40.0
412.0	50.0
413.0	52.0
414.0	45.0
415.0	50.0
416.0	47.0
417.0	41.0
418.0	37.0
419.0	26.0
420.0	56.0
421.0	33.0
422.0	40.0
423.0	48.0
424.0	37.0
425.0	34.0
426.0	32.0
427.0	46.0
428.0	36.0
429.0	23.0
430.0	35.0
431.0	25.0
432.0	27.0
433.0	31.0
434.0	29.0
435.0	34.0
436.0	30.0
437.0	26.0
438.0	31.0
439.0	37.0
440.0	37.0
441.0	23.0
442.0	24.0
443.0	30.0
444.0	31.0
445.0	30.0
446.0	24.0
447.0	32.0
448.0	32.0
449.0	30.0
450.0	36.0
451.0	34.0
452.0	23.0
453.0	26.0
454.0	17.0
455.0	30.0
456.0	24.0
457.0	21.0
458.0	17.0
459.0	13.0
460.0	23.0
461.0	23.0
462.0	26.0
463.0	17.0
464.0	22.0
465.0	25.0
466.0	27.0
