#Mapping quality	mapping quality
0.0	299732.0
1.0	166220.0
2.0	27083.0
3.0	20829.0
4.0	17487.0
5.0	18389.0
6.0	20327.0
7.0	21166.0
8.0	20529.0
9.0	21992.0
10.0	12282.0
11.0	44428.0
12.0	14647.0
13.0	12512.0
14.0	15715.0
15.0	13585.0
16.0	13872.0
17.0	16661.0
18.0	14657.0
19.0	13397.0
20.0	14104.0
21.0	17039.0
22.0	112280.0
23.0	27863.0
24.0	68092.0
25.0	35554.0
26.0	46678.0
27.0	37377.0
28.0	106330.0
29.0	122954.0
30.0	115692.0
31.0	113434.0
32.0	171202.0
33.0	273839.0
34.0	310342.0
35.0	322874.0
36.0	600327.0
37.0	566269.0
38.0	736530.0
39.0	747840.0
40.0	976830.0
41.0	828280.0
42.0	1016350.0
43.0	1144637.0
44.0	2202438.0
