#Duplication rate	Coverage
1.0	915026.0
2.0	711149.0
3.0	195503.0
4.0	185655.0
5.0	67680.0
6.0	62993.0
7.0	28830.0
8.0	25673.0
9.0	13250.0
10.0	11811.0
11.0	6762.0
12.0	6067.0
13.0	3809.0
14.0	3351.0
15.0	2165.0
16.0	1866.0
17.0	1252.0
18.0	1193.0
19.0	823.0
20.0	689.0
21.0	556.0
22.0	531.0
23.0	400.0
24.0	316.0
25.0	285.0
26.0	213.0
27.0	178.0
28.0	176.0
29.0	169.0
30.0	132.0
31.0	145.0
32.0	112.0
33.0	83.0
34.0	95.0
35.0	84.0
36.0	76.0
37.0	63.0
38.0	51.0
39.0	52.0
40.0	53.0
41.0	59.0
42.0	49.0
43.0	42.0
44.0	51.0
45.0	37.0
46.0	31.0
47.0	39.0
48.0	39.0
49.0	33.0
50.0	847.0
