#GC Content (%)	Sample
1.0	0.0
2.0	0.0
3.0	0.0
4.0	0.0
5.0	0.0
6.0	0.0
7.0	0.0
8.0	0.0
9.0	0.0
10.0	0.0
11.0	0.0
12.0	0.0
13.0	0.0
14.0	0.0
15.0	0.0
16.0	0.0
17.0	0.0
18.0	0.0
19.0	0.0
20.0	6.1666443125810335E-6
21.0	0.0
22.0	0.0
23.0	3.0833221562905167E-6
24.0	0.0
25.0	6.1666443125810335E-6
26.0	4.624983234435775E-6
27.0	4.624983234435775E-6
28.0	6.1666443125810335E-6
29.0	6.1666443125810335E-6
30.0	1.0791627547016809E-5
31.0	3.545820479734095E-5
32.0	9.249966468871551E-5
33.0	3.5766537012969996E-4
34.0	0.0012919119834857266
35.0	0.0036891949600016036
36.0	0.009672381604283352
37.0	0.019486596027756063
38.0	0.035626245854858775
39.0	0.05506659205027049
40.0	0.07501722806254826
41.0	0.09239945671863607
42.0	0.1045477460144207
43.0	0.10868248102600628
44.0	0.10373374896516
45.0	0.09203408304311564
46.0	0.07667759704371073
47.0	0.06169727634737324
48.0	0.04615424935751275
49.0	0.034170917797089646
50.0	0.02512907557376771
51.0	0.019321638292394524
52.0	0.011112293051271021
53.0	0.008314178194437378
54.0	0.005449771911243489
55.0	0.0033885710497632776
56.0	0.002255450157326513
57.0	0.0014445364302221068
58.0	9.41954918746753E-4
59.0	6.08956125867377E-4
60.0	4.4091506834954386E-4
61.0	3.5612370905155474E-4
62.0	2.4358245034695084E-4
63.0	1.5879109104896164E-4
64.0	8.324969821984396E-5
65.0	4.7791493422503015E-5
66.0	3.083322156290517E-5
67.0	3.699986587548621E-5
68.0	1.2333288625162067E-5
69.0	1.5416610781452585E-5
70.0	1.0791627547016809E-5
71.0	1.0791627547016809E-5
72.0	1.0791627547016809E-5
73.0	4.624983234435775E-6
74.0	6.1666443125810335E-6
75.0	4.624983234435775E-6
76.0	3.0833221562905167E-6
77.0	3.0833221562905167E-6
78.0	3.0833221562905167E-6
79.0	6.1666443125810335E-6
80.0	3.0833221562905167E-6
81.0	6.1666443125810335E-6
82.0	1.5416610781452584E-6
83.0	0.0
84.0	3.0833221562905167E-6
85.0	3.0833221562905167E-6
86.0	0.0
87.0	3.0833221562905167E-6
88.0	3.0833221562905167E-6
89.0	1.5416610781452584E-6
90.0	0.0
91.0	0.0
92.0	3.0833221562905167E-6
93.0	0.0
94.0	0.0
95.0	3.0833221562905167E-6
96.0	0.0
97.0	0.0
98.0	0.0
99.0	0.0
100.0	3.237488264105042E-5
