#Mapping quality	mapping quality
0.0	382932.0
1.0	83376.0
2.0	33076.0
3.0	22375.0
4.0	19957.0
5.0	18853.0
6.0	19061.0
7.0	20067.0
8.0	22681.0
9.0	27968.0
10.0	24231.0
11.0	22607.0
12.0	15980.0
13.0	15084.0
14.0	14472.0
15.0	14059.0
16.0	14852.0
17.0	15906.0
18.0	17133.0
19.0	17291.0
20.0	17234.0
21.0	18162.0
22.0	126999.0
23.0	37847.0
24.0	61158.0
25.0	49315.0
26.0	65895.0
27.0	64063.0
28.0	97985.0
29.0	127955.0
30.0	121372.0
31.0	131574.0
32.0	178709.0
33.0	246429.0
34.0	297958.0
35.0	372858.0
36.0	555094.0
37.0	694230.0
38.0	981025.0
39.0	1290071.0
40.0	1685469.0
41.0	1689050.0
42.0	1175127.0
43.0	436956.0
44.0	401048.0
